chr	start	end	coverage	methylation_level
chr1	100022	100023	22	0.9336
chr1	100063	100064	33	0.9081
chr1	100110	100111	30	0.7457
chr1	100149	100150	28	0.7969
chr1	100191	100192	23	0.6535
chr1	100217	100218	25	0.8725
chr1	100237	100238	34	0.8251
chr1	100278	100279	34	0.8318
chr1	100293	100294	28	0.9785
chr1	100336	100337	32	0.7918
chr1	100375	100376	33	0.7679
chr1	100397	100398	38	0.8889
chr1	100430	100431	32	0.9156
chr1	100451	100452	26	0.9022
chr1	100470	100471	26	0.8098
chr1	100518	100519	24	0.7842
chr1	100551	100552	37	0.9606
chr1	100601	100602	26	0.8776
chr1	100651	100652	21	0.7872
chr1	100657	100658	32	1.0
chr1	100757	100758	25	0.7592
chr1	100857	100858	39	0.8296
chr1	100907	100908	23	0.8021
chr1	100957	100958	33	0.8103
chr1	101049	101050	33	0.9027
chr1	101149	101150	27	0.9374
chr1	101249	101250	30	0.7028
chr1	101347	101348	39	0.8937
chr1	101353	101354	23	0.1187
chr1	101403	101404	30	0.0425
chr1	101445	101446	26	0.0791
chr1	101464	101465	30	0.1077
chr1	101514	101515	26	0.0
chr1	101534	101535	29	0.1122
chr1	101584	101585	18	0.1614
chr1	101633	101634	34	0.1392
chr1	101675	101676	26	0.0361
chr1	101725	101726	27	0.1018
chr1	101750	101751	21	0.207
chr1	101781	101782	34	0.2419
chr1	101790	101791	33	0.0
chr1	101890	101891	23	0.0479
chr1	101990	101991	24	0.0574
chr1	102040	102041	20	0.0248
chr1	102090	102091	36	0.0
chr1	102146	102147	32	0.062
chr1	102158	102159	32	0.1253
chr1	102172	102173	37	0.0276
chr1	102260	102261	23	0.0681
chr1	102270	102271	34	0.0633
chr1	102486	102487	35	0.0718
chr1	102500	102501	40	0.0993
chr1	102548	102549	34	0.1426
chr1	102632	102633	31	0.1619
chr1	102660	102661	16	0.9361
chr1	102703	102704	30	0.8783
chr1	102732	102733	19	0.9498
chr1	102769	102770	33	0.8677
chr1	102803	102804	25	0.8421
chr1	102830	102831	39	0.9455
chr1	102856	102857	25	0.8331
chr1	102906	102907	30	0.926
chr1	102944	102945	30	0.9746
chr1	102972	102973	33	0.9643
chr1	103017	103018	40	0.8694
chr1	103058	103059	24	0.7953
chr1	103079	103080	31	0.8369
chr1	103097	103098	31	0.8424
chr1	103122	103123	35	0.8469
chr1	103199	103200	24	0.8373
chr1	103299	103300	36	0.9568
chr1	103349	103350	34	0.8491
chr1	103404	103405	25	0.7263
chr1	103454	103455	36	0.8805
chr1	103521	103522	24	0.9937
chr1	103621	103622	32	0.7857
chr1	103665	103666	38	0.8326
chr1	103700	103701	30	0.7607
chr1	103718	103719	32	0.6583
chr1	103753	103754	37	0.8273
chr1	103770	103771	34	0.7226
chr1	103795	103796	30	0.8939
chr1	103829	103830	27	0.9154
chr1	103852	103853	30	0.6346
chr1	103870	103871	18	0.671
chr1	103885	103886	34	0.7584
chr1	103930	103931	29	0.809
chr1	103954	103955	40	0.772
chr1	103994	103995	27	0.6996
chr1	104043	104044	37	0.761
chr1	104064	104065	36	0.6839
chr1	104114	104115	29	0.6372
chr1	104141	104142	28	0.7108
chr1	104241	104242	30	0.7389
chr1	104341	104342	39	0.8471
chr1	104441	104442	23	0.6493
chr1	104495	104496	22	0.8895
chr1	104556	104557	22	0.8541
chr1	104578	104579	27	0.8006
chr1	104630	104631	36	0.9938
chr1	104636	104637	31	0.7017
chr1	104651	104652	28	0.9916
chr1	104695	104696	33	0.6462
chr1	104716	104717	34	0.9397
chr1	104742	104743	26	0.8032
chr1	104776	104777	25	0.7988
chr1	104808	104809	28	0.7827
chr1	104830	104831	28	0.7662
chr1	104880	104881	27	0.7881
chr1	104913	104914	29	0.7814
chr1	104928	104929	28	0.7522
chr1	104965	104966	19	0.7849
chr1	104980	104981	33	0.7754
chr1	105027	105028	26	0.853
chr1	105064	105065	21	0.9395
chr1	105114	105115	20	0.7977
chr1	105115	105116	40	0.8
chr1	105209	105210	29	0.8229
chr1	105309	105310	28	0.8132
chr1	105409	105410	27	0.8152
chr1	105509	105510	24	0.6888
chr1	105559	105560	36	0.7036
chr1	105595	105596	39	0.736
chr1	105711	105712	39	0.8478
chr1	105739	105740	31	0.848
chr1	105761	105762	36	0.7479
chr1	105783	105784	25	0.7408
chr1	105831	105832	38	0.808
chr1	105871	105872	34	0.8402
chr1	105957	105958	29	0.7135
chr1	105987	105988	33	0.7834
chr1	106022	106023	31	0.9704
chr1	106053	106054	32	0.98
chr1	106073	106074	30	0.9448
chr1	106098	106099	28	0.9124
chr1	106122	106123	23	0.9392
chr1	106149	106150	29	0.9605
chr1	106166	106167	24	1.0
chr1	106181	106182	31	0.8901
chr1	106205	106206	27	0.9057
chr1	106222	106223	31	0.9393
chr1	106250	106251	27	0.9386
chr1	106284	106285	31	0.9727
chr1	106315	106316	34	1.0
chr1	106358	106359	35	0.8957
chr1	106387	106388	41	0.9458
chr1	106411	106412	29	1.0
chr1	106434	106435	38	0.869
chr1	106466	106467	31	0.8355
chr1	106486	106487	29	0.9052
chr1	106515	106516	33	0.881
chr1	106575	106576	34	0.977
chr1	106675	106676	31	0.9185
chr1	106775	106776	20	0.9621
chr1	106875	106876	24	0.9202
chr1	106955	106956	29	0.9867
chr1	107005	107006	29	0.9126
chr1	107099	107100	32	0.9691
