chr	start	end	coverage	methylation_level
chr1	100036	100037	31	0.0267
chr1	100064	100065	23	0.1838
chr1	100114	100115	28	0.2791
chr1	100130	100131	37	0.0881
chr1	100174	100175	30	0.1953
chr1	100189	100190	30	0.3801
chr1	100216	100217	34	0.3007
chr1	100243	100244	33	0.2019
chr1	100293	100294	29	0.0961
chr1	100323	100324	23	0.2577
chr1	100345	100346	27	0.1696
chr1	100395	100396	21	0.1745
chr1	100445	100446	27	0.2752
chr1	100466	100467	23	0.1944
chr1	100508	100509	31	0.0864
chr1	100532	100533	20	0.2071
chr1	100533	100534	23	0.0396
chr1	100633	100634	31	0.1788
chr1	100683	100684	29	0.2154
chr1	100783	100784	23	0.1023
chr1	100836	100837	38	0.2334
chr1	100891	100892	36	0.189
chr1	100967	100968	23	0.175
chr1	101017	101018	24	0.1401
chr1	101075	101076	27	0.0
chr1	101101	101102	27	0.1826
chr1	101148	101149	23	0.1097
chr1	101168	101169	29	0.0662
chr1	101191	101192	26	0.0
chr1	101238	101239	25	0.1017
chr1	101258	101259	29	0.0049
chr1	101308	101309	20	0.1209
chr1	101342	101343	31	0.0884
chr1	101382	101383	25	0.1012
chr1	101398	101399	24	0.0034
chr1	101434	101435	31	0.0345
chr1	101463	101464	34	0.2446
chr1	101483	101484	28	0.0782
chr1	101509	101510	25	0.1426
chr1	101548	101549	36	0.1291
chr1	101563	101564	31	0.0939
chr1	101584	101585	25	0.0
chr1	101614	101615	27	0.0
chr1	101714	101715	29	0.0803
chr1	101786	101787	27	0.0347
chr1	101886	101887	37	0.0
chr1	101936	101937	29	0.1082
chr1	102036	102037	35	0.1935
chr1	102084	102085	36	0.0
chr1	102124	102125	35	0.2016
chr1	102141	102142	30	0.8473
chr1	102167	102168	27	0.8069
chr1	102187	102188	24	0.9568
chr1	102231	102232	32	0.8007
chr1	102267	102268	34	0.7475
chr1	102296	102297	30	0.9582
chr1	102326	102327	29	0.6588
chr1	102341	102342	31	0.924
chr1	102369	102370	25	0.9577
