chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100086	4	-0.011	non-DMR
chr1	101579	102483	4	-0.013	non-DMR
chr1	105966	106063	4	-0.025	non-DMR
chr1	110999	111076	4	0.004	non-DMR
chr1	112698	112751	4	0.02	non-DMR
chr1	118601	119491	34	0.23	good-DMR
chr1	121215	121253	4	0.006	non-DMR
chr1	123453	123470	4	0.05	non-DMR
chr1	135952	136039	4	0.005	non-DMR
chr1	138852	138925	4	-0.017	non-DMR
chr1	140997	141070	4	-0.041	non-DMR
chr1	158970	159725	4	0.042	non-DMR
chr1	165254	165312	4	-0.011	non-DMR
chr1	171383	171462	4	0.027	non-DMR
chr1	174220	174295	4	-0.011	non-DMR
chr1	179032	179908	33	0.194	good-DMR
chr1	187147	187205	4	0.041	non-DMR
chr1	189223	189289	4	0.03	non-DMR
chr1	201396	202255	33	0.24	notable-DMR
chr1	203375	204449	49	0.356	good-DMR
chr1	206209	206311	4	0.0	non-DMR
chr1	207685	207790	4	-0.05	non-DMR
chr1	210549	210613	4	-0.042	non-DMR
chr1	212160	212190	4	0.072	non-DMR
chr1	214649	214748	4	-0.065	non-DMR
chr1	223522	223581	4	-0.029	non-DMR
chr1	226100	226181	4	-0.04	non-DMR
chr1	230565	231602	40	-0.264	good-DMR
chr1	233577	233654	4	0.047	non-DMR
chr1	237789	237892	4	-0.071	non-DMR
chr1	240683	241586	4	0.023	non-DMR
chr1	242162	242209	4	0.054	non-DMR
chr1	245824	246569	33	-0.235	good-DMR
chr1	253329	253402	4	-0.012	non-DMR
chr1	262089	262173	4	0.011	non-DMR
chr1	266206	266245	4	0.018	non-DMR
chr1	269108	269199	4	0.064	non-DMR
chr1	270591	271473	41	0.294	good-DMR
chr1	279347	280311	35	-0.261	good-DMR
chr1	284018	284049	4	-0.032	non-DMR
chr1	287065	287166	4	0.036	non-DMR
chr1	291858	291884	4	-0.003	non-DMR
chr1	303037	303094	4	-0.056	non-DMR
chr1	305434	305552	4	0.048	non-DMR
chr1	308409	308493	4	0.035	non-DMR
chr1	310904	310992	4	-0.015	non-DMR
chr1	317483	317585	4	-0.048	non-DMR
chr1	324330	324394	4	0.013	non-DMR
chr1	326388	326451	4	0.015	non-DMR
chr1	328930	328978	4	0.036	non-DMR
chr1	339256	339375	4	0.019	non-DMR
chr1	342130	343176	41	0.236	good-DMR
chr1	347256	348229	42	0.143	inconsistent-DMR
chr1	351885	351965	4	0.061	non-DMR
chr1	354558	354623	4	-0.048	non-DMR
chr1	358599	359674	5	0.102	good-DMR
chr1	368824	369709	4	-0.094	non-DMR
chr1	384361	384417	4	0.01	non-DMR
chr1	386362	386403	4	0.087	non-DMR
chr1	391028	391803	33	0.26	good-DMR
chr1	393111	393209	4	-0.086	non-DMR
chr1	395065	395166	4	0.009	non-DMR
chr1	412450	412516	4	-0.097	non-DMR
chr1	415211	415320	4	0.047	non-DMR
chr1	420215	420340	4	0.003	non-DMR
chr1	422931	422972	4	-0.031	non-DMR
chr1	432728	433659	41	-0.211	good-DMR
chr1	434903	435686	6	-0.052	non-DMR
chr1	447319	448289	43	0.349	good-DMR
chr1	449524	450333	4	0.022	non-DMR
chr1	455794	455834	4	-0.014	non-DMR
chr1	458450	458532	4	-0.003	non-DMR
chr1	461005	461070	4	-0.05	non-DMR
chr1	475289	475337	4	0.007	non-DMR
chr1	477691	478396	4	-0.047	non-DMR
chr1	489288	489397	4	-0.087	non-DMR
chr1	496102	496129	4	-0.084	non-DMR
chr1	498415	498479	4	-0.036	non-DMR
chr1	500967	501896	3	0.099	non-DMR
chr1	506989	507050	4	-0.01	non-DMR
chr1	510688	510763	4	-0.052	non-DMR
chr1	517893	518857	6	0.02	non-DMR
chr1	530370	530455	4	-0.026	non-DMR
chr1	537485	537555	4	-0.008	non-DMR
chr1	540270	540335	4	0.091	non-DMR
chr1	542872	543412	4	0.028	non-DMR
chr1	550034	550108	4	0.011	non-DMR
chr1	560790	561937	6	0.226	sub-DMR
chr1	563579	564530	42	0.22	good-DMR
chr1	565353	566223	5	-0.043	non-DMR
chr1	567065	567885	4	0.042	non-DMR
chr1	568792	568851	4	0.003	non-DMR
chr1	587277	587352	4	-0.002	non-DMR
chr1	591693	591787	4	0.083	non-DMR
chr1	594476	594539	4	0.04	non-DMR
chr1	603663	604550	36	0.279	good-DMR
chr1	611738	611835	4	-0.019	non-DMR
chr1	632901	632954	4	-0.064	non-DMR
chr1	643625	643692	4	0.065	non-DMR
chr1	645837	645901	4	-0.056	non-DMR
chr1	649740	649806	4	0.037	non-DMR
chr1	652358	653196	35	0.201	good-DMR
chr1	653968	654964	35	0.224	good-DMR
chr1	663576	663656	4	0.088	non-DMR
chr1	670574	670655	4	0.1	non-DMR
