chr1	100000	+	17	13	CG	CGC
chr1	100498	+	23	13	CG	CGC
chr1	100915	+	19	12	CG	CGC
chr1	101005	+	21	11	CG	CGC
chr1	109610	+	10	19	CG	CGC
chr1	109679	+	9	21	CG	CGC
chr1	109784	+	7	15	CG	CGC
chr1	110139	+	10	20	CG	CGC
chr1	111833	+	10	18	CG	CGC
chr1	111862	+	13	20	CG	CGC
chr1	111864	+	29	9	CG	CGC
chr1	111899	+	17	17	CG	CGC
chr1	114313	+	2	26	CG	CGC
chr1	114740	+	7	21	CG	CGC
chr1	115133	+	0	21	CG	CGC
chr1	115208	+	6	22	CG	CGC
chr1	121699	+	15	18	CG	CGC
chr1	121957	+	10	19	CG	CGC
chr1	122201	+	10	19	CG	CGC
chr1	125700	+	16	13	CG	CGC
chr1	125703	+	17	15	CG	CGC
chr1	125744	+	21	13	CG	CGC
chr1	125755	+	19	10	CG	CGC
chr1	127337	+	6	24	CG	CGC
chr1	127352	+	9	25	CG	CGC
chr1	127429	+	8	19	CG	CGC
chr1	129602	+	10	31	CG	CGC
chr1	130034	+	6	26	CG	CGC
chr1	130451	+	11	21	CG	CGC
chr1	131228	+	8	19	CG	CGC
chr1	131653	+	16	12	CG	CGC
chr1	131970	+	11	14	CG	CGC
chr1	132158	+	8	8	CG	CGC
chr1	134051	+	6	16	CG	CGC
chr1	134348	+	7	18	CG	CGC
chr1	134636	+	7	21	CG	CGC
chr1	134909	+	6	23	CG	CGC
chr1	136165	+	5	28	CG	CGC
chr1	136259	+	7	19	CG	CGC
chr1	136451	+	8	28	CG	CGC
chr1	136731	+	6	17	CG	CGC
chr1	136843	+	4	14	CG	CGC
chr1	136989	+	4	22	CG	CGC
chr1	138761	+	10	15	CG	CGC
chr1	139064	+	5	20	CG	CGC
chr1	139549	+	9	21	CG	CGC
chr1	139682	+	16	19	CG	CGC
chr1	141334	+	28	4	CG	CGC
chr1	141558	+	18	8	CG	CGC
chr1	141751	+	22	16	CG	CGC
chr1	142106	+	25	12	CG	CGC
chr1	142335	+	25	12	CG	CGC
chr1	142389	+	26	8	CG	CGC
chr1	143951	+	20	8	CG	CGC
chr1	143969	+	21	10	CG	CGC
chr1	143985	+	20	8	CG	CGC
chr1	143994	+	15	21	CG	CGC
chr1	160635	+	32	6	CG	CGC
chr1	160692	+	28	6	CG	CGC
chr1	160877	+	20	10	CG	CGC
chr1	161201	+	23	11	CG	CGC
chr1	161282	+	17	7	CG	CGC
chr1	161390	+	13	18	CG	CGC
chr1	163124	+	13	24	CG	CGC
chr1	163364	+	18	9	CG	CGC
chr1	163469	+	13	20	CG	CGC
chr1	163864	+	17	17	CG	CGC
chr1	169714	+	10	13	CG	CGC
chr1	169877	+	26	10	CG	CGC
chr1	170241	+	11	9	CG	CGC
chr1	170313	+	25	14	CG	CGC
chr1	170735	+	20	19	CG	CGC
chr1	177572	+	12	18	CG	CGC
chr1	177575	+	7	19	CG	CGC
chr1	177606	+	18	12	CG	CGC
chr1	177612	+	7	27	CG	CGC
chr1	180237	+	11	17	CG	CGC
chr1	180614	+	16	10	CG	CGC
chr1	180877	+	9	23	CG	CGC
chr1	181075	+	14	16	CG	CGC
chr1	182108	+	9	26	CG	CGC
chr1	182245	+	4	33	CG	CGC
chr1	182705	+	5	24	CG	CGC
chr1	183071	+	13	15	CG	CGC
chr1	189232	+	2	25	CG	CGC
