chr	start	end	coverage	methylation_level
chr1	100000	100001	27	0.4293
chr1	100498	100499	40	0.6362
chr1	100915	100916	31	0.6212
chr1	101005	101006	27	0.6151
chr1	109610	109611	34	0.3529
chr1	109679	109680	29	0.3052
chr1	109784	109785	25	0.3032
chr1	110139	110140	25	0.3626
chr1	111833	111834	29	0.3665
chr1	111862	111863	34	0.4324
chr1	111864	111865	26	0.7529
chr1	111899	111900	27	0.4958
chr1	114313	114314	24	0.087
chr1	114740	114741	34	0.2001
chr1	115133	115134	30	0.0253
chr1	115208	115209	25	0.2681
chr1	121699	121700	25	0.456
chr1	121774	121775	18	0.4328
chr1	121957	121958	26	0.2878
chr1	122201	122202	28	0.378
chr1	125700	125701	29	0.5098
chr1	125703	125704	26	0.5326
chr1	125744	125745	33	0.5805
chr1	125755	125756	24	0.6403
chr1	127337	127338	26	0.2225
chr1	127352	127353	37	0.3099
chr1	127383	127384	42	0.2342
chr1	127429	127430	24	0.3564
chr1	129602	129603	24	0.2488
chr1	130034	130035	26	0.1992
chr1	130451	130452	28	0.3781
chr1	131228	131229	27	0.3735
chr1	131653	131654	23	0.6353
chr1	131970	131971	27	0.4847
chr1	132158	132159	36	0.5972
chr1	134051	134052	36	0.3144
chr1	134348	134349	32	0.3148
chr1	134636	134637	22	0.1927
chr1	134909	134910	34	0.1903
chr1	136165	136166	41	0.1559
chr1	136259	136260	35	0.3188
chr1	136451	136452	22	0.252
chr1	136731	136732	39	0.2862
chr1	136989	136990	33	0.157
chr1	138761	138762	26	0.3887
chr1	139549	139550	26	0.3345
chr1	139682	139683	24	0.4812
chr1	141334	141335	30	0.9402
chr1	141558	141559	34	0.6613
chr1	141751	141752	25	0.5915
chr1	142106	142107	29	0.6711
chr1	142335	142336	29	0.7679
chr1	142389	142390	27	0.6889
chr1	143951	143952	31	0.7187
chr1	143969	143970	20	0.7506
chr1	143985	143986	35	0.7223
chr1	143994	143995	31	0.4309
chr1	160635	160636	39	0.8297
chr1	160692	160693	33	0.7856
chr1	161201	161202	28	0.7119
chr1	161282	161283	26	0.6275
chr1	161390	161391	31	0.5439
chr1	163124	163125	26	0.2956
chr1	163364	163365	33	0.6989
chr1	163469	163470	36	0.3952
chr1	163864	163865	31	0.5233
chr1	169714	169715	25	0.4693
chr1	169877	169878	26	0.7219
chr1	170241	170242	32	0.4895
chr1	170313	170314	27	0.5862
chr1	170735	170736	28	0.5375
chr1	177572	177573	27	0.383
chr1	177575	177576	40	0.3338
chr1	177612	177613	30	0.2278
chr1	180237	180238	34	0.3888
chr1	180614	180615	25	0.6336
chr1	180877	180878	21	0.2889
chr1	181075	181076	27	0.5265
chr1	182108	182109	29	0.2514
chr1	182245	182246	15	0.147
chr1	182705	182706	32	0.2191
chr1	189232	189233	26	0.0375
chr1	189507	189508	28	0.9926
chr1	189793	189794	27	0.9866
chr1	189987	189988	25	0.8343
chr1	190136	190137	18	0.9336
chr1	190990	190991	24	0.4459
chr1	191110	191111	24	0.3433
chr1	191606	191607	30	0.4031
chr1	191784	191785	33	0.0915
chr1	192626	192627	28	0.5476
chr1	192821	192822	27	0.7668
chr1	192913	192914	29	0.7179
chr1	193353	193354	34	0.4423
chr1	194630	194631	35	0.3196
chr1	195105	195106	29	0.0512
chr1	195378	195379	37	0.2876
chr1	195439	195440	32	0.2951
chr1	196498	196499	41	0.2064
chr1	196545	196546	31	0.0972
chr1	196588	196589	36	0.2498
chr1	196611	196612	30	0.1284
chr1	198042	198043	30	0.4716
chr1	198333	198334	19	0.5335
chr1	198739	198740	22	0.5719
chr1	199001	199002	30	0.598
chr1	200983	200984	21	0.3661
chr1	201073	201074	25	0.3798
chr1	201132	201133	19	0.2011
chr1	201313	201314	27	0.3435
chr1	203040	203041	25	0.5153
chr1	203462	203463	37	0.38
chr1	203823	203824	29	0.3666
chr1	203940	203941	28	0.3351
chr1	210683	210684	40	0.4319
chr1	210860	210861	29	0.3794
chr1	210968	210969	35	0.2914
chr1	211031	211032	33	0.2446
chr1	211457	211458	25	0.3115
chr1	211554	211555	23	0.1714
chr1	211635	211636	31	0.4133
chr1	212381	212382	28	0.5772
chr1	212682	212683	26	0.2319
chr1	212834	212835	27	0.3542
chr1	212946	212947	30	0.4715
chr1	214060	214061	24	0.7411
chr1	214475	214476	31	0.8297
chr1	214752	214753	34	0.5958
chr1	214846	214847	17	0.7152
chr1	215070	215071	19	0.5677
chr1	216962	216963	31	0.7714
chr1	216998	216999	28	0.7535
chr1	217018	217019	23	0.5531
chr1	217039	217040	21	0.7056
chr1	217051	217052	38	0.6193
chr1	217098	217099	33	0.6449
chr1	217145	217146	25	0.6982
chr1	217191	217192	23	0.5435
chr1	217233	217234	31	0.5201
chr1	217246	217247	28	0.4596
chr1	217271	217272	33	0.6066
chr1	217305	217306	24	0.4353
chr1	217321	217322	31	0.5596
chr1	217330	217331	33	0.5103
chr1	217344	217345	32	0.6234
chr1	217354	217355	24	0.6235
chr1	217371	217372	31	0.7339
chr1	217404	217405	32	0.5269
chr1	217407	217408	30	0.4872
chr1	217432	217433	29	0.3916
chr1	217469	217470	44	0.5109
chr1	217507	217508	36	0.6346
chr1	217532	217533	28	0.3726
chr1	217563	217564	36	0.3675
chr1	217600	217601	31	0.6819
chr1	217610	217611	27	0.5005
chr1	217651	217652	36	0.567
chr1	217658	217659	30	0.5768
chr1	217664	217665	35	0.5395
chr1	217712	217713	28	0.6954
chr1	217759	217760	33	0.548
chr1	217839	217840	41	0.7409
chr1	217874	217875	25	0.3324
chr1	217930	217931	35	0.6033
chr1	217974	217975	30	0.6661
chr1	218006	218007	44	0.6011
chr1	218018	218019	31	0.408
chr1	218020	218021	29	0.6415
chr1	218853	218854	24	0.665
chr1	219080	219081	28	0.7831
chr1	219395	219396	24	0.5079
chr1	219590	219591	28	0.6137
chr1	219748	219749	28	0.5634
chr1	222887	222888	28	0.7367
chr1	223359	223360	30	0.7629
chr1	223851	223852	25	0.6238
chr1	223908	223909	26	0.568
chr1	223968	223969	26	0.6639
chr1	224018	224019	32	0.7236
chr1	225711	225712	31	0.2734
chr1	225749	225750	36	0.1594
chr1	225777	225778	33	0.2933
chr1	225818	225819	27	0.3923
chr1	228221	228222	22	0.3519
chr1	228599	228600	30	0.3236
chr1	228803	228804	26	0.3665
chr1	229100	229101	29	0.5771
chr1	229181	229182	29	0.4093
chr1	230325	230326	24	0.734
chr1	230455	230456	28	0.7956
chr1	230730	230731	33	0.8404
chr1	230992	230993	28	0.56
chr1	231289	231290	33	0.8567
chr1	231368	231369	27	0.7866
chr1	233126	233127	22	0.5979
chr1	233242	233243	31	0.5399
chr1	233681	233682	28	0.3397
chr1	233920	233921	31	0.501
chr1	234002	234003	41	0.5296
chr1	245156	245157	28	0.5229
chr1	245398	245399	32	0.1266
chr1	245489	245490	23	0.3311
chr1	245888	245889	24	0.24
chr1	246022	246023	33	0.2632
chr1	248705	248706	24	0.2354
chr1	248896	248897	27	0.2912
chr1	249042	249043	31	0.1854
chr1	249540	249541	35	0.1975
chr1	251676	251677	19	0.3193
chr1	251720	251721	38	0.4033
chr1	251748	251749	32	0.5102
chr1	251789	251790	29	0.3552
chr1	254918	254919	22	0.9247
chr1	255363	255364	25	0.6832
chr1	255757	255758	27	0.9382
chr1	255817	255818	31	0.849
chr1	262383	262384	23	0.6034
chr1	262462	262463	28	0.6963
chr1	262799	262800	27	0.7573
chr1	263060	263061	23	0.5634
chr1	264968	264969	25	0.7877
chr1	265451	265452	27	0.7856
chr1	265690	265691	35	0.8064
chr1	265751	265752	29	0.77
chr1	265809	265810	32	0.8492
chr1	271530	271531	43	0.7571
chr1	271969	271970	24	0.8732
chr1	272182	272183	25	0.7879
chr1	272284	272285	27	0.8146
chr1	272357	272358	32	0.8592
