chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	126153	126563	4	0.094	non-DMR
chr1	134642	134763	4	0.084	non-DMR
chr1	141607	142345	4	-0.022	non-DMR
chr1	144432	144463	4	-0.023	non-DMR
chr1	147074	148059	5	-0.06	non-DMR
chr1	154915	155939	6	0.186	good-DMR
chr1	156616	157591	39	0.28	good-DMR
chr1	163787	163869	4	0.002	non-DMR
chr1	165244	166271	6	0.29	good-DMR
chr1	170262	171048	5	0.209	good-DMR
chr1	171719	172676	4	-0.029	non-DMR
chr1	176940	177002	4	-0.038	non-DMR
chr1	182708	183506	5	0.045	non-DMR
chr1	184504	185524	5	0.308	good-DMR
chr1	187084	188123	43	0.302	notable-DMR
chr1	191441	191538	4	-0.049	non-DMR
chr1	193412	194341	38	0.2	good-DMR
chr1	195090	195183	4	-0.065	non-DMR
chr1	197288	198426	7	0.022	non-DMR
chr1	201596	202083	4	0.047	non-DMR
chr1	203823	204527	4	0.053	non-DMR
chr1	205862	206716	4	0.08	non-DMR
chr1	211190	212237	7	0.214	good-DMR
chr1	214225	214667	4	-0.027	non-DMR
chr1	216579	217366	4	-0.072	non-DMR
chr1	218217	219151	6	-0.333	good-DMR
chr1	220729	221484	4	0.055	non-DMR
chr1	231084	231766	4	-0.04	non-DMR
chr1	233744	233778	4	0.005	non-DMR
chr1	236374	236479	4	0.069	non-DMR
chr1	239125	240099	6	-0.007	non-DMR
chr1	241463	241515	4	-0.031	non-DMR
chr1	245519	246363	5	0.035	non-DMR
chr1	247228	247310	4	-0.024	non-DMR
chr1	249487	249548	4	-0.087	non-DMR
chr1	252499	253045	4	0.025	non-DMR
chr1	254303	255113	6	0.025	non-DMR
chr1	258476	259416	38	0.236	good-DMR
chr1	261037	261996	7	-0.007	non-DMR
chr1	262623	263503	4	0.018	non-DMR
chr1	264552	265517	8	0.294	good-DMR
chr1	268344	269229	4	0.05	non-DMR
chr1	275521	275636	4	-0.032	non-DMR
chr1	277055	277131	4	0.038	non-DMR
