chr	start	end	CpG_count	mean_delta_methylation	category
chr1	101575	102366	4	-0.017	non-DMR
chr1	103426	104404	4	0.05	non-DMR
chr1	109049	109841	4	0.064	non-DMR
chr1	110672	110746	4	0.018	non-DMR
chr1	116977	117077	4	0.014	non-DMR
chr1	119529	119576	4	0.009	non-DMR
chr1	125027	126083	6	0.001	non-DMR
chr1	128840	129689	4	0.024	non-DMR
chr1	131116	131978	6	0.051	non-DMR
chr1	132837	133906	4	-0.035	non-DMR
chr1	135019	135698	4	0.004	non-DMR
chr1	137241	137323	4	0.037	non-DMR
chr1	146329	146407	4	0.044	non-DMR
chr1	153834	154854	5	0.118	inconsistent-DMR
chr1	163052	163845	4	-0.07	non-DMR
chr1	165892	166885	5	0.142	good-DMR
chr1	174558	175420	3	0.008	non-DMR
chr1	180212	180287	4	0.017	non-DMR
chr1	182588	182649	4	-0.04	non-DMR
chr1	184134	184209	4	0.001	non-DMR
chr1	192531	193360	4	-0.039	non-DMR
chr1	195260	196149	4	0.03	non-DMR
chr1	197069	197765	4	-0.044	non-DMR
chr1	199493	199933	4	-0.07	non-DMR
chr1	205708	206409	4	0.071	non-DMR
chr1	213245	214160	3	0.071	non-DMR
chr1	215914	216459	4	0.012	non-DMR
chr1	217793	217861	4	0.085	non-DMR
chr1	226430	227330	4	0.005	non-DMR
chr1	239720	239760	4	0.003	non-DMR
chr1	242486	242579	4	0.005	non-DMR
chr1	244588	245245	4	-0.016	non-DMR
chr1	249116	249164	4	-0.096	non-DMR
chr1	252033	252765	4	0.068	non-DMR
chr1	256198	256308	4	0.019	non-DMR
chr1	258781	259269	4	-0.07	non-DMR
chr1	260526	261415	4	0.022	non-DMR
chr1	268764	269620	4	-0.036	non-DMR
chr1	270729	270829	4	-0.027	non-DMR
chr1	274766	274850	4	0.031	non-DMR
chr1	276269	277218	5	-0.287	good-DMR
chr1	279071	280133	6	-0.039	non-DMR
chr1	281331	282153	4	0.085	non-DMR
chr1	287761	288755	4	0.019	non-DMR
chr1	289930	290663	4	0.059	non-DMR
chr1	294269	295059	4	0.023	non-DMR
chr1	299254	300429	6	0.065	non-DMR
chr1	303822	304759	4	0.001	non-DMR
chr1	305454	305510	4	0.079	non-DMR
chr1	307266	307371	4	-0.005	non-DMR
chr1	311766	311822	4	-0.089	non-DMR
chr1	314004	314867	4	0.079	non-DMR
chr1	316869	317182	4	-0.001	non-DMR
chr1	321213	321237	4	-0.032	non-DMR
chr1	324031	324128	4	-0.012	non-DMR
chr1	326390	327199	4	0.089	non-DMR
chr1	331084	331178	4	0.002	non-DMR
chr1	332701	332759	4	0.035	non-DMR
chr1	335358	336316	4	0.013	non-DMR
chr1	344625	344700	4	0.071	non-DMR
chr1	347234	347315	4	0.089	non-DMR
chr1	353937	354949	4	-0.065	non-DMR
chr1	356602	357546	5	0.036	non-DMR
chr1	368182	368266	4	0.055	non-DMR
chr1	372911	373960	4	0.015	non-DMR
chr1	374830	375884	7	-0.034	non-DMR
chr1	376940	377552	4	-0.036	non-DMR
chr1	379284	380136	4	-0.087	non-DMR
chr1	382211	382984	4	-0.072	non-DMR
chr1	387711	388308	4	0.004	non-DMR
chr1	389551	390361	5	0.022	inconsistent-DMR
chr1	397365	398143	4	-0.036	non-DMR
chr1	404559	405628	7	0.234	good-DMR
chr1	410595	411554	4	-0.1	non-DMR
chr1	413556	413929	4	0.078	non-DMR
chr1	415489	415542	4	-0.054	non-DMR
chr1	422467	422606	4	-0.094	non-DMR
chr1	429951	430012	4	0.061	non-DMR
chr1	433345	433398	4	0.049	non-DMR
chr1	438483	438579	4	0.074	non-DMR
chr1	443766	444382	4	0.062	non-DMR
chr1	446000	446084	4	0.023	non-DMR
chr1	453024	453057	4	0.014	non-DMR
chr1	454923	454976	4	0.034	non-DMR
chr1	459586	460683	4	0.074	non-DMR
chr1	462451	463123	4	-0.1	non-DMR
chr1	465380	466227	4	0.034	non-DMR
chr1	469388	469444	4	0.001	non-DMR
chr1	472842	473788	7	-0.207	good-DMR
chr1	482106	483100	5	-0.008	non-DMR
chr1	486112	486958	4	0.064	non-DMR
chr1	488259	488295	4	0.065	non-DMR
chr1	490051	491038	4	0.06	non-DMR
chr1	495900	496842	5	0.042	non-DMR
chr1	499989	501111	4	-0.004	non-DMR
chr1	502861	503652	5	0.01	non-DMR
chr1	505482	506487	5	0.016	non-DMR
chr1	515782	516575	4	0.053	non-DMR
chr1	517920	518367	4	-0.073	non-DMR
chr1	529542	529650	4	0.079	non-DMR
chr1	531478	531566	4	0.09	non-DMR
chr1	532905	533837	5	0.079	non-DMR
chr1	539292	539345	4	-0.082	non-DMR
chr1	541006	541093	4	0.066	non-DMR
chr1	543739	543834	4	0.043	non-DMR
chr1	546722	546782	4	0.03	non-DMR
chr1	549207	550063	6	-0.01	non-DMR
chr1	558307	559204	4	0.034	non-DMR
chr1	561921	561997	4	0.011	non-DMR
chr1	563964	564094	4	-0.044	non-DMR
chr1	565649	565733	4	-0.017	non-DMR
chr1	567917	568314	4	0.084	non-DMR
chr1	578916	579002	4	-0.05	non-DMR
chr1	583638	583728	4	-0.006	non-DMR
chr1	589335	589416	4	-0.008	non-DMR
chr1	600203	600260	4	0.049	non-DMR
chr1	602582	603475	6	0.05	non-DMR
chr1	607442	607516	4	-0.051	non-DMR
chr1	609545	610232	4	0.071	non-DMR
chr1	616727	616805	4	0.085	non-DMR
chr1	618955	619466	4	-0.057	non-DMR
chr1	621607	621703	4	0.059	non-DMR
chr1	624224	625108	4	0.05	non-DMR
chr1	632615	632658	4	0.0	non-DMR
chr1	634772	635701	4	-0.068	non-DMR
chr1	636284	636348	4	-0.022	non-DMR
chr1	640435	641407	4	0.003	non-DMR
chr1	642113	643133	6	0.232	good-DMR
chr1	644812	644857	4	0.056	non-DMR
chr1	647420	648146	4	-0.053	non-DMR
chr1	652197	653195	6	-0.013	non-DMR
chr1	656849	656943	4	0.028	non-DMR
chr1	660733	661574	4	-0.009	non-DMR
chr1	662505	662593	4	0.016	non-DMR
chr1	665468	666293	4	0.007	non-DMR
chr1	671884	672791	4	-0.1	non-DMR
chr1	673873	673982	4	0.046	non-DMR
chr1	676084	676173	4	0.091	non-DMR
chr1	680309	681247	4	0.09	non-DMR
chr1	682617	682691	4	-0.08	non-DMR
chr1	687415	688266	4	0.029	non-DMR
chr1	702052	702854	4	-0.029	non-DMR
chr1	704872	705734	4	-0.003	non-DMR
chr1	715671	716132	4	-0.073	non-DMR
chr1	720819	721314	4	-0.053	non-DMR
chr1	723701	723775	4	-0.045	non-DMR
chr1	730304	730376	4	-0.089	non-DMR
chr1	732505	732582	4	0.017	non-DMR
chr1	734174	734250	4	0.06	non-DMR
chr1	736263	736983	4	0.046	non-DMR
chr1	738576	739456	5	-0.052	non-DMR
chr1	740980	741100	4	0.059	non-DMR
chr1	746270	746327	4	-0.058	non-DMR
chr1	750036	750857	5	0.012	non-DMR
chr1	751457	752314	4	-0.044	non-DMR
chr1	754197	755076	4	-0.04	non-DMR
chr1	756114	757017	3	0.091	non-DMR
chr1	760537	761470	7	0.138	good-DMR
chr1	762737	763664	5	0.048	non-DMR
chr1	766854	767573	4	0.004	non-DMR
chr1	768967	769047	4	-0.094	non-DMR
chr1	774458	775106	4	-0.09	non-DMR
chr1	776241	776335	4	-0.055	non-DMR
chr1	778811	779452	4	0.034	non-DMR
chr1	804118	804186	4	-0.096	non-DMR
chr1	812167	812223	4	-0.058	non-DMR
chr1	821078	822233	6	-0.026	non-DMR
chr1	828788	828841	4	0.032	non-DMR
chr1	830405	831212	4	0.095	non-DMR
chr1	834810	835531	4	-0.005	non-DMR
chr1	836795	837865	5	0.202	good-DMR
chr1	843786	843871	4	0.001	non-DMR
chr1	847097	847167	4	0.061	non-DMR
chr1	849894	850894	4	0.085	non-DMR
chr1	852540	853288	4	-0.092	non-DMR
chr1	854379	854488	4	0.015	non-DMR
chr1	865297	866381	4	0.011	non-DMR
chr1	867026	867779	4	-0.017	non-DMR
chr1	870344	871279	4	-0.01	non-DMR
chr1	879666	880538	4	-0.055	non-DMR
chr1	881756	881826	4	-0.084	non-DMR
chr1	887409	887539	4	-0.085	non-DMR
chr1	889104	889189	4	-0.0	non-DMR
chr1	897828	898748	4	-0.019	non-DMR
chr1	902192	903231	6	-0.013	non-DMR
chr1	915035	915746	4	0.057	non-DMR
chr1	917395	918418	4	-0.024	non-DMR
chr1	919340	920191	4	0.028	non-DMR
chr1	929974	930046	4	0.028	non-DMR
chr1	932238	932269	4	-0.033	non-DMR
chr1	934797	934903	4	0.006	non-DMR
chr1	940243	941066	4	0.06	non-DMR
chr1	946761	947749	4	0.021	non-DMR
chr1	954223	954282	4	-0.005	non-DMR
chr1	955962	956006	4	-0.025	non-DMR
chr1	958818	959608	4	0.066	non-DMR
chr1	965376	966294	6	-0.05	non-DMR
chr1	972530	972655	4	0.049	non-DMR
chr1	974476	974569	4	-0.038	non-DMR
chr1	981036	981982	5	0.035	non-DMR
chr1	983838	984880	5	0.188	good-DMR
chr1	993040	993872	4	0.084	non-DMR
chr1	995076	996005	7	0.024	non-DMR
chr1	997930	998798	7	-0.083	non-DMR
chr1	1002181	1002824	4	-0.053	non-DMR
chr1	1004628	1005567	4	0.06	non-DMR
chr1	1007606	1008418	4	0.089	non-DMR
chr1	1009842	1010596	4	-0.023	non-DMR
chr1	1012744	1012795	4	-0.008	non-DMR
chr1	1015573	1016609	6	0.039	non-DMR
chr1	1019420	1020499	4	0.032	non-DMR
chr1	1022231	1022329	4	0.008	non-DMR
chr1	1025019	1025072	4	-0.061	non-DMR
chr1	1026970	1027907	4	0.07	non-DMR
chr1	1031707	1032760	4	-0.052	non-DMR
chr1	1033547	1033665	4	-0.013	non-DMR
chr1	1035203	1035915	4	-0.006	non-DMR
chr1	1039276	1040397	6	-0.004	non-DMR
chr1	1041758	1041844	4	-0.056	non-DMR
chr1	1047981	1048958	4	-0.049	non-DMR
chr1	1050865	1050953	4	-0.044	non-DMR
chr1	1052814	1053827	4	-0.053	non-DMR
chr1	1059139	1059729	4	0.075	non-DMR
chr1	1060972	1061062	4	-0.005	non-DMR
chr1	1062815	1063603	5	0.011	non-DMR
chr1	1066317	1067115	4	0.016	non-DMR
chr1	1069242	1069657	4	0.045	non-DMR
chr1	1070744	1071459	4	-0.025	non-DMR
chr1	1075676	1075760	4	-0.016	non-DMR
chr1	1082133	1082164	4	0.036	non-DMR
chr1	1084697	1085719	7	0.031	non-DMR
chr1	1086338	1086405	4	0.051	non-DMR
chr1	1091334	1091383	4	-0.044	non-DMR
chr1	1093808	1094713	3	-0.038	non-DMR
chr1	1099222	1100193	6	-0.013	non-DMR
chr1	1108175	1109126	6	-0.018	non-DMR
chr1	1109724	1109840	4	0.076	non-DMR
chr1	1111588	1111650	4	-0.09	non-DMR
chr1	1114543	1115254	4	-0.06	non-DMR
chr1	1118466	1119515	38	0.268	good-DMR
chr1	1120151	1121103	4	0.057	non-DMR
chr1	1121907	1121996	4	0.059	non-DMR
chr1	1126047	1126953	3	0.007	non-DMR
chr1	1131213	1132091	5	0.064	non-DMR
chr1	1133793	1133818	4	0.058	non-DMR
chr1	1140726	1140761	4	0.015	non-DMR
chr1	1144640	1145217	4	-0.073	non-DMR
chr1	1147345	1147409	4	-0.055	non-DMR
chr1	1148825	1148887	4	0.023	non-DMR
