chr	start	end	CpG_count	mean_delta_methylation	category
chr1	101510	101925	4	0.013	non-DMR
chr1	104061	104192	4	0.044	non-DMR
chr1	111891	112417	4	0.056	non-DMR
chr1	115831	116364	21	-0.295	good-DMR
chr1	117897	118239	4	-0.036	non-DMR
chr1	119570	119635	4	-0.062	non-DMR
chr1	126017	126483	3	-0.09	non-DMR
chr1	127129	127555	2	-0.052	non-DMR
chr1	128593	129112	21	0.337	good-DMR
chr1	130487	130593	4	-0.006	non-DMR
chr1	132341	132836	4	-0.093	non-DMR
chr1	133730	133810	4	0.003	non-DMR
chr1	136002	136053	4	0.002	non-DMR
chr1	137359	137745	3	0.017	non-DMR
chr1	148573	149023	21	0.271	good-DMR
chr1	152391	152749	4	-0.03	non-DMR
chr1	159454	159512	4	-0.031	non-DMR
chr1	161285	161383	4	-0.042	non-DMR
chr1	162911	162977	4	0.019	non-DMR
chr1	164425	164969	4	-0.03	non-DMR
chr1	166743	166817	4	-0.051	non-DMR
chr1	168383	168468	4	0.077	non-DMR
chr1	172378	172859	4	-0.082	non-DMR
chr1	176791	177221	4	-0.086	non-DMR
chr1	178117	178698	3	-0.012	non-DMR
chr1	180263	180756	4	-0.06	non-DMR
chr1	183534	183923	3	-0.039	non-DMR
chr1	184707	185134	5	0.307	good-DMR
chr1	192208	192762	3	0.047	non-DMR
chr1	193585	193656	4	-0.057	non-DMR
chr1	195197	195313	4	0.017	non-DMR
chr1	199596	200046	4	0.084	non-DMR
chr1	200909	200991	4	0.086	non-DMR
chr1	202440	202544	4	-0.054	non-DMR
chr1	207757	208253	4	0.079	non-DMR
chr1	209102	209198	4	0.029	non-DMR
chr1	210587	211163	4	0.016	non-DMR
chr1	214949	215420	4	-0.064	non-DMR
chr1	217090	217481	3	0.076	non-DMR
chr1	219060	219511	3	0.092	non-DMR
chr1	221378	221907	3	0.087	non-DMR
chr1	225506	225573	4	0.061	non-DMR
chr1	229429	229925	22	0.257	good-DMR
chr1	231355	231889	4	0.022	non-DMR
chr1	235233	235705	4	-0.068	non-DMR
chr1	238780	239279	2	-0.037	non-DMR
chr1	241110	241499	4	0.017	non-DMR
chr1	247874	248242	2	-0.092	non-DMR
chr1	249736	250203	3	0.018	non-DMR
chr1	251085	251130	4	-0.039	non-DMR
chr1	255459	255557	4	-0.024	non-DMR
chr1	260390	260818	2	-0.045	non-DMR
chr1	271186	271224	4	-0.033	non-DMR
chr1	273263	273739	3	-0.028	non-DMR
chr1	274923	275017	4	-0.058	non-DMR
chr1	284013	284112	4	-0.098	non-DMR
chr1	285667	286147	2	0.074	non-DMR
chr1	287722	287845	4	-0.033	non-DMR
chr1	291228	291648	4	0.071	non-DMR
chr1	293414	293532	4	-0.084	non-DMR
chr1	295870	296282	4	0.048	non-DMR
chr1	307340	307422	4	0.027	non-DMR
chr1	308675	309216	4	-0.085	non-DMR
chr1	310967	311431	5	-0.014	non-DMR
chr1	312664	313102	3	0.001	non-DMR
chr1	319915	320338	4	-0.074	non-DMR
chr1	321231	321709	4	-0.038	non-DMR
chr1	323557	324071	21	0.242	good-DMR
chr1	325145	325701	4	0.018	non-DMR
chr1	326879	326917	4	0.064	non-DMR
chr1	333369	333749	4	0.0	non-DMR
chr1	335747	335850	4	0.038	non-DMR
chr1	336803	337313	4	-0.029	non-DMR
chr1	341209	341660	19	0.204	good-DMR
chr1	345238	345274	4	-0.018	non-DMR
chr1	347524	348029	4	0.001	non-DMR
chr1	352280	352810	20	0.311	good-DMR
chr1	356336	356860	3	0.037	non-DMR
chr1	358166	358651	2	0.046	non-DMR
chr1	359504	359880	4	0.025	non-DMR
chr1	361884	361913	4	-0.1	non-DMR
chr1	363204	363319	4	-0.011	non-DMR
chr1	364678	365116	3	-0.096	non-DMR
chr1	367462	367559	4	0.018	non-DMR
chr1	369395	369456	4	-0.078	non-DMR
chr1	374302	374739	3	-0.05	non-DMR
chr1	375880	376459	20	0.332	good-DMR
chr1	383658	384102	4	-0.032	non-DMR
chr1	386021	386518	4	-0.003	non-DMR
chr1	387140	387591	4	0.037	non-DMR
chr1	390905	391373	2	-0.036	non-DMR
chr1	392462	392890	2	0.038	non-DMR
chr1	393742	393846	4	-0.095	non-DMR
chr1	399488	399973	4	-0.096	non-DMR
chr1	401446	401548	4	-0.03	non-DMR
chr1	403783	403903	4	-0.028	non-DMR
chr1	405004	405075	4	0.074	non-DMR
chr1	407612	408108	4	0.039	non-DMR
chr1	408870	408943	4	0.094	non-DMR
chr1	410885	411354	4	0.05	non-DMR
chr1	411936	412326	3	-0.057	non-DMR
chr1	416621	416673	4	-0.013	non-DMR
chr1	418395	418849	4	-0.029	non-DMR
chr1	419631	420192	24	0.295	good-DMR
chr1	421202	421258	4	0.035	non-DMR
chr1	422424	422863	2	-0.091	non-DMR
chr1	429458	429867	3	0.078	non-DMR
chr1	434684	434810	4	-0.04	non-DMR
chr1	436673	437133	4	-0.017	non-DMR
chr1	438459	438586	4	0.091	non-DMR
chr1	439987	440510	3	-0.093	non-DMR
chr1	441690	442242	4	-0.084	non-DMR
chr1	442899	443382	3	0.076	non-DMR
chr1	445415	445474	4	-0.057	non-DMR
chr1	447954	448065	4	-0.074	non-DMR
chr1	451494	451988	3	0.008	non-DMR
chr1	456016	456560	5	0.241	good-DMR
chr1	457913	458389	4	-0.009	non-DMR
chr1	459173	459633	20	0.331	good-DMR
chr1	462351	462397	4	-0.096	non-DMR
chr1	465806	466277	5	0.096	non-DMR
chr1	471977	472486	4	0.02	non-DMR
chr1	479535	480040	6	0.2	good-DMR
chr1	483220	483657	3	0.099	non-DMR
chr1	487735	488245	6	0.288	good-DMR
chr1	492106	492594	4	-0.066	non-DMR
