chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	106925	107024	4	0.035	non-DMR
chr1	109864	111063	55	0.3	good-DMR
chr1	116968	117592	4	0.059	non-DMR
chr1	119865	120742	5	-0.014	non-DMR
chr1	122981	123544	4	-0.006	non-DMR
chr1	125735	125783	4	-0.021	non-DMR
chr1	128163	128187	4	-0.028	non-DMR
chr1	132469	133231	4	-0.024	non-DMR
chr1	141983	142577	4	-0.03	non-DMR
chr1	144535	144617	4	-0.044	non-DMR
chr1	147261	147312	4	0.017	non-DMR
chr1	149665	150661	5	0.282	inconsistent-DMR
chr1	154067	155035	5	-0.334	good-DMR
chr1	167436	167493	4	-0.004	non-DMR
chr1	169340	170168	4	0.073	non-DMR
chr1	172746	173722	6	0.22	good-DMR
chr1	175296	176362	6	0.402	notable-DMR
chr1	177557	178419	5	0.292	good-DMR
chr1	181634	182517	35	0.245	good-DMR
chr1	183402	184298	5	0.273	good-DMR
chr1	191361	192217	6	0.241	good-DMR
chr1	195868	196837	43	-0.011	non-DMR
chr1	197776	198510	4	0.048	non-DMR
chr1	199607	199698	4	-0.059	non-DMR
chr1	203722	203812	4	-0.064	non-DMR
chr1	206298	207417	50	0.317	good-DMR
chr1	207951	208061	4	0.047	non-DMR
chr1	211871	212877	4	-0.037	non-DMR
chr1	214707	214764	4	0.073	non-DMR
chr1	216839	217042	4	-0.052	non-DMR
chr1	219756	219791	4	-0.09	non-DMR
chr1	221804	221879	4	0.084	non-DMR
chr1	224089	225015	7	-0.355	good-DMR
chr1	226550	227542	5	0.06	non-DMR
chr1	229545	230606	4	0.025	non-DMR
chr1	237252	238407	5	0.05	non-DMR
chr1	239081	239960	4	-0.092	non-DMR
chr1	240799	241385	4	-0.09	non-DMR
chr1	248360	248999	4	0.096	non-DMR
chr1	250272	250965	4	-0.052	non-DMR
chr1	260440	261449	4	0.03	non-DMR
chr1	262460	262528	4	0.054	non-DMR
chr1	267038	267735	4	-0.003	non-DMR
chr1	268697	269587	5	0.024	non-DMR
chr1	270134	270177	4	-0.027	non-DMR
chr1	274195	275238	6	0.095	non-DMR
chr1	279367	280406	4	-0.011	non-DMR
chr1	281956	282859	35	0.325	good-DMR
chr1	286959	287917	6	0.27	good-DMR
chr1	289799	290855	4	-0.046	non-DMR
chr1	292690	293767	8	0.041	non-DMR
chr1	299429	300536	5	0.079	non-DMR
chr1	302248	302887	4	-0.057	non-DMR
chr1	306123	306943	4	-0.046	non-DMR
chr1	311320	311448	4	-0.002	non-DMR
chr1	326095	326150	4	-0.093	non-DMR
chr1	328511	329427	6	0.25	good-DMR
chr1	333311	334308	7	0.33	good-DMR
chr1	336098	336203	4	0.088	non-DMR
chr1	338285	339204	5	0.306	good-DMR
chr1	343634	343694	4	0.012	non-DMR
chr1	346473	347457	4	-0.09	non-DMR
chr1	351714	352602	4	-0.087	non-DMR
chr1	357619	358694	7	-0.235	good-DMR
chr1	366157	367218	8	0.338	good-DMR
chr1	368484	369214	4	-0.039	non-DMR
chr1	370093	370149	4	-0.02	non-DMR
chr1	371747	371798	4	0.069	non-DMR
chr1	378456	379475	5	0.219	good-DMR
chr1	383006	383772	4	0.016	non-DMR
chr1	385730	386877	45	0.201	good-DMR
chr1	387943	388861	4	-0.07	non-DMR
chr1	399535	399632	4	-0.003	non-DMR
chr1	401081	401124	4	0.009	non-DMR
chr1	407025	408003	35	0.252	good-DMR
chr1	412861	413856	42	0.305	good-DMR
chr1	414847	415661	5	-0.249	good-DMR
chr1	417422	418422	4	0.051	non-DMR
chr1	420177	420291	4	0.013	non-DMR
chr1	421989	422752	4	-0.054	non-DMR
