chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	101855	102585	4	-0.072	non-DMR
chr1	104971	106036	5	0.309	good-DMR
chr1	106597	106679	4	0.079	non-DMR
chr1	109095	109159	4	0.015	non-DMR
chr1	111417	111480	4	0.028	non-DMR
chr1	113172	113789	3	0.046	non-DMR
chr1	129053	129136	4	0.051	non-DMR
chr1	131425	132415	4	-0.001	non-DMR
chr1	134416	135411	4	-0.064	non-DMR
chr1	136130	136168	4	0.03	non-DMR
chr1	140324	140417	4	-0.043	non-DMR
chr1	142483	143464	5	0.034	non-DMR
chr1	147688	148197	4	-0.012	non-DMR
chr1	149279	150182	4	0.058	non-DMR
chr1	150779	151771	5	-0.262	good-DMR
chr1	155067	156089	6	-0.006	non-DMR
chr1	156718	156816	4	0.023	non-DMR
chr1	159482	160433	4	-0.066	non-DMR
chr1	164170	164260	4	0.026	non-DMR
chr1	166151	167316	7	0.35	good-DMR
chr1	170907	172001	7	0.189	good-DMR
chr1	173447	174404	36	-0.326	good-DMR
chr1	176243	176789	4	-0.016	non-DMR
chr1	179216	179930	6	0.198	good-DMR
chr1	181221	182169	40	0.241	good-DMR
chr1	183030	183098	4	-0.047	non-DMR
chr1	185155	186068	7	-0.01	non-DMR
chr1	187114	187175	4	-0.088	non-DMR
chr1	188726	188771	4	-0.003	non-DMR
chr1	191724	192789	46	0.23	good-DMR
chr1	193810	194559	4	0.094	non-DMR
chr1	197555	198428	4	-0.046	non-DMR
chr1	204701	205678	4	-0.006	non-DMR
chr1	206616	207616	8	-0.026	non-DMR
chr1	208528	209559	6	0.268	good-DMR
chr1	210910	211952	6	0.059	non-DMR
chr1	212878	212938	4	0.066	non-DMR
chr1	215126	215765	4	0.016	non-DMR
chr1	217891	218584	4	-0.007	non-DMR
chr1	220894	220950	4	0.068	non-DMR
chr1	223567	224545	5	-0.005	non-DMR
chr1	225218	226056	34	0.043	non-DMR
chr1	226730	227678	6	-0.089	non-DMR
chr1	228319	229388	6	-0.051	non-DMR
chr1	230315	230382	4	0.045	non-DMR
chr1	234963	235063	4	-0.04	non-DMR
chr1	236695	237841	7	0.153	good-DMR
chr1	239263	239361	4	-0.057	non-DMR
chr1	241254	241346	4	0.047	non-DMR
chr1	242840	243864	8	-0.045	non-DMR
chr1	245651	246578	5	-0.012	non-DMR
chr1	250966	252087	8	0.051	non-DMR
chr1	255533	256443	6	-0.08	non-DMR
chr1	259914	260689	4	0.092	non-DMR
chr1	263323	264297	5	0.052	non-DMR
chr1	267164	268301	5	0.023	non-DMR
chr1	270192	271093	4	0.014	non-DMR
chr1	273689	273806	4	0.048	non-DMR
chr1	276497	276560	4	-0.054	non-DMR
chr1	278331	279350	41	-0.243	good-DMR
