chr	start	end	CpG_count	mean_delta_methylation	category
chr1	106717	106914	4	0.027	non-DMR
chr1	110789	110969	2	-0.04	non-DMR
chr1	112538	112715	8	-0.019	non-DMR
chr1	114278	114452	7	0.391	good-DMR
chr1	115774	115962	4	-0.055	non-DMR
chr1	121366	121537	2	0.06	non-DMR
chr1	122527	122696	2	-0.01	non-DMR
chr1	124699	124742	4	0.082	non-DMR
chr1	126854	126919	4	0.04	non-DMR
chr1	128788	129001	2	-0.007	non-DMR
chr1	130130	130337	13	0.318	good-DMR
chr1	137798	138000	3	-0.042	non-DMR
chr1	139326	139572	12	-0.179	good-DMR
chr1	140360	140527	3	0.052	non-DMR
chr1	144444	144550	4	-0.029	non-DMR
chr1	145237	145413	3	-0.082	non-DMR
chr1	147247	147420	2	0.085	non-DMR
chr1	148084	148278	3	0.036	non-DMR
chr1	150299	150477	3	-0.015	non-DMR
chr1	151134	151170	4	0.032	non-DMR
chr1	152180	152347	3	0.091	non-DMR
chr1	162526	162589	4	0.028	non-DMR
chr1	164485	164639	2	-0.043	non-DMR
chr1	165453	165647	10	0.363	good-DMR
chr1	167488	167539	4	-0.024	non-DMR
chr1	168577	168762	3	-0.007	non-DMR
chr1	170437	170504	4	0.052	non-DMR
chr1	171526	171680	2	-0.081	non-DMR
chr1	173123	173254	2	-0.08	non-DMR
chr1	175557	175609	4	-0.006	non-DMR
chr1	176326	176468	2	0.045	non-DMR
chr1	178458	178596	7	-0.005	non-DMR
chr1	179710	179886	10	0.272	good-DMR
chr1	180880	180977	4	0.044	non-DMR
chr1	182489	182724	11	-0.27	good-DMR
chr1	186531	186713	3	0.001	non-DMR
chr1	188454	188672	3	0.002	non-DMR
chr1	189936	190113	3	0.014	non-DMR
chr1	190665	190872	9	0.297	good-DMR
chr1	196195	196386	9	0.047	non-DMR
chr1	198499	198540	4	-0.04	non-DMR
chr1	202594	202740	3	-0.055	non-DMR
chr1	203385	203521	2	-0.074	non-DMR
chr1	205281	205373	4	0.038	non-DMR
chr1	207860	207909	4	0.055	non-DMR
chr1	208614	208793	8	0.048	non-DMR
chr1	210101	210286	2	0.059	non-DMR
chr1	212711	212924	4	0.019	non-DMR
chr1	214077	214147	4	-0.048	non-DMR
chr1	223599	223775	2	-0.048	non-DMR
chr1	225366	225447	4	-0.003	non-DMR
chr1	227023	227182	3	-0.038	non-DMR
chr1	227743	227777	4	0.092	non-DMR
chr1	230539	230723	8	-0.029	non-DMR
chr1	235423	235502	4	-0.039	non-DMR
chr1	237578	237771	2	0.048	non-DMR
chr1	240087	240288	2	-0.073	non-DMR
chr1	242218	242333	2	0.071	non-DMR
chr1	243812	243866	4	-0.058	non-DMR
chr1	245769	245852	4	0.013	non-DMR
chr1	249492	249691	3	0.011	non-DMR
chr1	253106	253323	3	0.049	non-DMR
chr1	255318	255378	4	-0.088	non-DMR
chr1	256272	256404	2	0.087	non-DMR
chr1	257020	257158	3	-0.035	non-DMR
chr1	258956	259138	4	-0.003	non-DMR
chr1	260340	260550	10	-0.349	good-DMR
chr1	261166	261214	4	-0.028	non-DMR
chr1	264868	265040	2	-0.043	non-DMR
chr1	265700	265778	4	0.041	non-DMR
chr1	273587	273805	3	0.053	non-DMR
chr1	275616	275833	3	0.062	non-DMR
chr1	276733	276937	10	0.261	good-DMR
chr1	280464	280617	3	0.06	non-DMR
chr1	282074	282281	4	-0.031	non-DMR
chr1	282977	283075	4	0.042	non-DMR
chr1	285934	286019	4	-0.029	non-DMR
chr1	289253	289459	11	0.282	good-DMR
chr1	291262	291471	11	0.24	good-DMR
chr1	294421	294578	3	0.007	non-DMR
chr1	297333	297501	2	0.08	non-DMR
chr1	299119	299206	4	-0.066	non-DMR
chr1	300671	300818	2	-0.055	non-DMR
chr1	303043	303246	2	-0.093	non-DMR
chr1	304424	304583	2	-0.052	non-DMR
chr1	306864	307072	3	0.02	non-DMR
chr1	308113	308319	10	0.299	good-DMR
chr1	309357	309430	4	0.091	non-DMR
chr1	310842	310987	3	0.009	non-DMR
chr1	312390	312571	12	0.246	good-DMR
