chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100086	4	-0.011	non-DMR
chr1	101579	102483	4	-0.013	non-DMR
chr1	105966	106063	4	-0.025	non-DMR
chr1	110999	111076	4	0.004	non-DMR
chr1	112698	112751	4	0.02	non-DMR
chr1	123717	123778	4	0.027	non-DMR
chr1	127670	127784	4	-0.052	non-DMR
chr1	137885	137939	4	-0.007	non-DMR
chr1	140510	140563	4	0.068	non-DMR
chr1	146005	146069	4	0.086	non-DMR
chr1	153521	153612	4	-0.007	non-DMR
chr1	156146	156199	4	0.011	non-DMR
chr1	158503	159526	43	0.256	good-DMR
chr1	169512	170470	4	-0.019	non-DMR
chr1	175237	175261	4	-0.033	non-DMR
chr1	177741	178684	4	0.086	non-DMR
chr1	180690	180738	4	-0.069	non-DMR
chr1	186422	186479	4	0.019	non-DMR
chr1	189024	189130	4	-0.097	non-DMR
chr1	196118	196185	4	0.023	non-DMR
chr1	198612	199531	36	0.247	good-DMR
chr1	203982	204036	4	0.011	non-DMR
chr1	209629	209704	4	0.044	non-DMR
chr1	215171	215248	4	-0.015	non-DMR
chr1	216667	216734	4	-0.007	non-DMR
chr1	224027	224137	4	-0.007	non-DMR
chr1	226852	226972	4	0.065	non-DMR
chr1	229105	229887	4	-0.043	non-DMR
chr1	230925	231007	4	0.044	non-DMR
chr1	237595	238495	6	0.206	good-DMR
chr1	239475	239533	4	-0.081	non-DMR
chr1	242711	243372	4	-0.078	non-DMR
chr1	247962	248023	4	0.006	non-DMR
chr1	254348	254410	4	0.004	non-DMR
chr1	259368	260161	35	-0.284	good-DMR
chr1	261669	261767	4	0.075	non-DMR
chr1	268633	269380	31	0.263	good-DMR
chr1	274404	275243	31	0.297	notable-DMR
chr1	278916	279953	4	0.088	non-DMR
chr1	287313	288498	41	0.356	good-DMR
chr1	289961	290079	4	0.092	non-DMR
chr1	292757	292846	4	-0.046	non-DMR
chr1	294224	295249	38	0.253	good-DMR
chr1	295891	295925	4	0.02	non-DMR
chr1	301516	302607	5	0.234	good-DMR
chr1	304193	304250	4	0.043	non-DMR
chr1	306594	306684	4	-0.076	non-DMR
chr1	312923	313020	4	-0.027	non-DMR
chr1	315178	315268	4	-0.077	non-DMR
chr1	326631	327785	51	0.265	good-DMR
chr1	328358	328408	4	0.091	non-DMR
chr1	332643	332704	4	0.05	non-DMR
chr1	334449	335463	41	0.293	notable-DMR
chr1	337127	337161	4	-0.022	non-DMR
chr1	340281	340380	4	-0.036	non-DMR
chr1	342820	342912	4	-0.002	non-DMR
chr1	344771	345630	38	-0.267	good-DMR
chr1	347238	348193	34	-0.288	notable-DMR
chr1	352676	352761	4	0.096	non-DMR
chr1	355387	355469	4	0.011	non-DMR
chr1	365755	365829	4	-0.019	non-DMR
chr1	368121	368868	4	0.054	non-DMR
chr1	374581	374677	4	0.059	non-DMR
chr1	377400	377461	4	-0.019	non-DMR
chr1	379354	379465	4	0.09	non-DMR
chr1	388250	388344	4	0.033	non-DMR
chr1	397360	397446	4	-0.035	non-DMR
chr1	401923	402002	4	0.02	non-DMR
chr1	408686	408769	4	-0.039	non-DMR
chr1	410465	410936	4	-0.046	non-DMR
chr1	415551	416653	43	-0.211	good-DMR
chr1	418596	418673	4	-0.048	non-DMR
chr1	423670	423749	4	0.003	non-DMR
chr1	426094	426155	4	0.012	non-DMR
chr1	428925	428997	4	-0.1	non-DMR
chr1	430912	431024	4	-0.026	non-DMR
chr1	435772	436632	34	0.344	good-DMR
chr1	438551	439468	35	-0.283	good-DMR
chr1	442667	442724	4	-0.05	non-DMR
chr1	444838	445326	4	-0.013	non-DMR
chr1	450314	451418	45	0.316	good-DMR
chr1	456727	456790	4	-0.041	non-DMR
chr1	461883	461961	4	0.063	non-DMR
chr1	464800	464870	4	-0.036	non-DMR
chr1	467606	468355	4	0.022	non-DMR
chr1	471794	471882	4	0.054	non-DMR
chr1	475940	476015	4	0.082	non-DMR
chr1	477857	477940	4	0.047	non-DMR
chr1	487142	487162	4	-0.027	non-DMR
chr1	498017	498048	4	0.092	non-DMR
chr1	505048	505112	4	-0.002	non-DMR
chr1	508983	509019	4	0.026	non-DMR
chr1	513613	513715	4	-0.05	non-DMR
chr1	515589	515683	4	-0.006	non-DMR
chr1	520139	520240	4	0.079	non-DMR
chr1	525503	525566	4	0.05	non-DMR
chr1	541355	541436	4	-0.099	non-DMR
chr1	548199	549046	41	0.346	good-DMR
chr1	550650	550740	4	0.066	non-DMR
chr1	553072	553108	4	-0.032	non-DMR
chr1	555429	555512	4	-0.025	non-DMR
chr1	556894	557913	42	0.272	good-DMR
chr1	558847	558907	4	0.069	non-DMR
chr1	561869	561944	4	-0.007	non-DMR
chr1	564593	565440	4	-0.009	non-DMR
