chr	start	end	coverage	methylation_level
chr1	100005	100006	21	0.6892	good-DMR
chr1	100046	100047	23	0.4482	good-DMR
chr1	100096	100097	36	0.5943	good-DMR
chr1	100123	100124	33	0.5063	good-DMR
chr1	100150	100151	36	0.5135	good-DMR
chr1	100200	100201	21	0.5918	good-DMR
chr1	100244	100245	34	0.6225	good-DMR
chr1	100268	100269	28	0.7303	good-DMR
chr1	100307	100308	40	0.5956	good-DMR
chr1	100331	100332	26	0.6501	good-DMR
chr1	100355	100356	23	0.639	good-DMR
chr1	100389	100390	21	0.5396	good-DMR
chr1	100404	100405	40	0.6919	good-DMR
chr1	100419	100420	27	0.6393	good-DMR
chr1	100442	100443	38	0.6985	good-DMR
chr1	100460	100461	24	0.6645	good-DMR
chr1	100495	100496	29	0.6683	good-DMR
chr1	100514	100515	31	0.3505	good-DMR
chr1	100529	100530	28	0.5789	good-DMR
chr1	100629	100630	22	0.7311	good-DMR
chr1	100716	100717	22	0.5311	good-DMR
chr1	100816	100817	36	0.6698	good-DMR
chr1	100866	100867	32	0.4913	good-DMR
chr1	100938	100939	40	0.5358	good-DMR
chr1	101038	101039	30	0.699	good-DMR
chr1	101074	101075	33	0.899	flank-DMR
chr1	101182	101183	29	0.9151	flank-DMR
chr1	101194	101195	21	0.9924	flank-DMR
chr1	101250	101251	28	0.7971	flank-DMR
chr1	101344	101345	30	0.9373	flank-DMR
chr1	101380	101381	39	0.8066	flank-DMR
chr1	101386	101387	29	0.359	good-DMR
chr1	101425	101426	30	0.2843	good-DMR
chr1	101464	101465	35	0.4361	good-DMR
chr1	101481	101482	29	0.3163	good-DMR
chr1	101529	101530	27	0.4578	good-DMR
chr1	101544	101545	29	0.5866	good-DMR
chr1	101594	101595	23	0.2903	good-DMR
chr1	101610	101611	37	0.2925	good-DMR
chr1	101637	101638	26	0.407	good-DMR
chr1	101687	101688	26	0.4563	good-DMR
chr1	101719	101720	33	0.3066	good-DMR
chr1	101764	101765	40	0.2797	good-DMR
chr1	101805	101806	33	0.385	good-DMR
chr1	101808	101809	36	0.5481	good-DMR
chr1	101908	101909	30	0.2773	good-DMR
chr1	101984	101985	32	0.3951	good-DMR
chr1	102084	102085	40	0.3418	good-DMR
chr1	102134	102135	28	0.2912	good-DMR
chr1	102188	102189	23	0.1704	flank-DMR
chr1	102314	102315	36	0.0442	flank-DMR
chr1	102356	102357	24	0.1808	flank-DMR
chr1	102456	102457	35	0.1459	flank-DMR
chr1	102472	102473	34	0.1432	flank-DMR
chr1	102478	102479	22	0.1131	flank-DMR
chr1	102498	102499	28	0.2885	flank-DMR
chr1	102504	102505	36	0.2008	flank-DMR
chr1	102620	102621	32	0.2693	flank-DMR
chr1	102636	102637	24	0.3451	non-DMR
chr1	102684	102685	26	0.0343	non-DMR
chr1	102715	102716	31	0.2723	non-DMR
chr1	102749	102750	26	0.266	non-DMR
chr1	102799	102800	26	0.2637	non-DMR
chr1	102838	102839	35	0.1663	non-DMR
chr1	102877	102878	34	0.1016	non-DMR
chr1	102927	102928	28	0.2577	non-DMR
chr1	102952	102953	25	0.2736	non-DMR
chr1	102972	102973	26	0.3269	non-DMR
chr1	102990	102991	38	0.1052	non-DMR
chr1	103005	103006	30	0.2768	non-DMR
chr1	103055	103056	31	0.2068	non-DMR
chr1	103072	103073	24	0.3741	non-DMR
chr1	103099	103100	31	0.3955	non-DMR
chr1	103103	103104	32	0.3218	non-DMR
chr1	103203	103204	35	0.4721	non-DMR
chr1	103303	103304	21	0.1442	non-DMR
chr1	103403	103404	30	0.3832	non-DMR
chr1	103473	103474	39	0.28	non-DMR
chr1	103563	103564	36	0.2145	non-DMR
chr1	103597	103598	34	0.0882	flank-DMR
chr1	103612	103613	23	0.6973	non-DMR
chr1	103638	103639	33	0.7736	non-DMR
chr1	103653	103654	22	0.7245	non-DMR
chr1	103690	103691	33	0.6402	non-DMR
chr1	103723	103724	27	0.8172	non-DMR
chr1	103757	103758	21	0.7547	non-DMR
chr1	103804	103805	31	0.8635	non-DMR
chr1	103854	103855	35	0.7426	non-DMR
chr1	103879	103880	35	0.6977	non-DMR
chr1	103917	103918	28	0.668	non-DMR
chr1	103952	103953	29	0.713	non-DMR
chr1	103988	103989	24	0.6609	non-DMR
chr1	104025	104026	35	0.8262	non-DMR
chr1	104075	104076	34	0.788	non-DMR
chr1	104151	104152	27	0.8021	non-DMR
chr1	104201	104202	24	0.8787	non-DMR
chr1	104267	104268	30	0.7297	non-DMR
chr1	104367	104368	26	0.7299	non-DMR
chr1	104467	104468	32	0.5868	non-DMR
chr1	104541	104542	28	0.9261	flank-DMR
chr1	104563	104564	30	0.8544	flank-DMR
chr1	104607	104608	34	0.6314	non-DMR
chr1	104629	104630	28	0.6347	non-DMR
chr1	104659	104660	28	0.6835	non-DMR
chr1	104688	104689	28	0.6534	non-DMR
chr1	104703	104704	34	0.4417	non-DMR
chr1	104722	104723	36	0.7407	non-DMR
chr1	104745	104746	20	0.5972	non-DMR
chr1	104760	104761	19	0.5722	non-DMR
chr1	104791	104792	35	0.5681	non-DMR
chr1	104817	104818	32	0.6	non-DMR
chr1	104832	104833	31	0.7413	non-DMR
chr1	104869	104870	32	0.5585	non-DMR
chr1	104912	104913	23	0.5935	non-DMR
chr1	104946	104947	35	0.4369	non-DMR
chr1	104972	104973	25	0.6927	non-DMR
chr1	105012	105013	28	0.4905	non-DMR
chr1	105054	105055	31	0.6471	non-DMR
chr1	105089	105090	30	0.7843	non-DMR
chr1	105109	105110	28	0.5835	non-DMR
chr1	105143	105144	17	0.6747	non-DMR
chr1	105158	105159	34	0.6469	non-DMR
chr1	105228	105229	34	0.677	non-DMR
chr1	105328	105329	26	0.5742	non-DMR
chr1	105401	105402	34	0.4838	non-DMR
chr1	105501	105502	38	0.4678	non-DMR
chr1	105568	105569	22	0.8269	non-DMR
chr1	105668	105669	31	0.5267	non-DMR
chr1	105676	105677	32	0.6782	flank-DMR
chr1	105762	105763	34	0.655	flank-DMR
chr1	105768	105769	30	0.4244	good-DMR
chr1	105810	105811	30	0.6458	good-DMR
chr1	105839	105840	35	0.4528	good-DMR
chr1	105883	105884	25	0.2784	good-DMR
chr1	105924	105925	38	0.3079	good-DMR
chr1	105951	105952	29	0.5899	good-DMR
chr1	105966	105967	31	0.3162	good-DMR
chr1	105989	105990	30	0.4913	good-DMR
chr1	106039	106040	36	0.3997	good-DMR
chr1	106075	106076	34	0.3767	good-DMR
chr1	106097	106098	25	0.293	good-DMR
chr1	106131	106132	21	0.3959	good-DMR
chr1	106173	106174	24	0.4661	good-DMR
chr1	106195	106196	32	0.5191	good-DMR
chr1	106235	106236	30	0.4347	good-DMR
chr1	106335	106336	26	0.3691	good-DMR
chr1	106387	106388	26	0.5134	good-DMR
chr1	106487	106488	36	0.6046	good-DMR
chr1	106565	106566	30	0.6799	good-DMR
chr1	106655	106656	28	0.4554	good-DMR
chr1	106679	106680	39	0.7236	flank-DMR
chr1	106735	106736	22	0.818	flank-DMR
chr1	106787	106788	26	0.6997	flank-DMR
chr1	106915	106916	35	0.8251	flank-DMR
chr1	106975	106976	24	0.6945	flank-DMR
chr1	106977	106978	34	0.654	flank-DMR
chr1	106987	106988	28	0.7398	flank-DMR
chr1	107013	107014	22	0.686	flank-DMR
chr1	107061	107062	34	0.6945	flank-DMR
chr1	107149	107150	30	0.7315	flank-DMR
chr1	107168	107169	26	0.671	non-DMR
chr1	107190	107191	30	0.7613	non-DMR
chr1	107231	107232	24	0.6511	non-DMR
chr1	107281	107282	36	0.6779	non-DMR
chr1	107301	107302	26	0.7986	non-DMR
chr1	107335	107336	26	0.5825	non-DMR
chr1	107385	107386	33	0.8723	non-DMR
chr1	107400	107401	32	0.6836	non-DMR
chr1	107445	107446	29	0.8443	non-DMR
chr1	107462	107463	31	0.6836	non-DMR
chr1	107495	107496	28	0.697	non-DMR
chr1	107545	107546	31	0.5999	non-DMR
chr1	107560	107561	32	0.7495	non-DMR
chr1	107604	107605	14	0.7087	non-DMR
chr1	107654	107655	32	0.8356	non-DMR
chr1	107677	107678	19	0.7723	non-DMR
chr1	107717	107718	30	0.7696	non-DMR
chr1	107767	107768	22	0.7036	non-DMR
chr1	107773	107774	27	0.6562	non-DMR
chr1	107873	107874	26	0.8807	non-DMR
chr1	107973	107974	20	0.6449	non-DMR
chr1	108073	108074	31	0.7933	non-DMR
chr1	108173	108174	21	0.5653	non-DMR
chr1	108228	108229	28	0.6948	non-DMR
chr1	108328	108329	28	0.8733	non-DMR
chr1	108408	108409	28	0.866	flank-DMR
chr1	108416	108417	28	0.7227	flank-DMR
chr1	108431	108432	29	0.7694	non-DMR
chr1	108468	108469	39	0.8338	non-DMR
chr1	108500	108501	26	0.6829	non-DMR
chr1	108534	108535	34	0.6804	non-DMR
chr1	108584	108585	24	0.8288	non-DMR
chr1	108622	108623	33	0.6085	non-DMR
chr1	108672	108673	26	0.7227	non-DMR
chr1	108696	108697	35	0.6855	non-DMR
chr1	108711	108712	31	0.9202	non-DMR
chr1	108732	108733	37	0.7423	non-DMR
chr1	108755	108756	19	0.7989	non-DMR
chr1	108805	108806	34	0.7622	non-DMR
chr1	108848	108849	34	0.6644	non-DMR
chr1	108870	108871	24	0.7485	non-DMR
chr1	108915	108916	25	0.6404	non-DMR
chr1	108943	108944	29	0.7297	non-DMR
chr1	108993	108994	24	0.6995	non-DMR
chr1	108995	108996	19	0.7761	non-DMR
chr1	109045	109046	30	0.6429	non-DMR
chr1	109134	109135	21	0.898	non-DMR
chr1	109216	109217	38	0.7133	non-DMR
chr1	109266	109267	37	0.8779	non-DMR
chr1	109366	109367	27	0.6377	non-DMR
chr1	109466	109467	27	0.8683	non-DMR
chr1	109517	109518	36	0.8159	non-DMR
chr1	109599	109600	29	0.8524	flank-DMR
chr1	109601	109602	34	0.7132	flank-DMR
chr1	109613	109614	25	0.8787	non-DMR
chr1	109636	109637	35	0.7524	non-DMR
chr1	109668	109669	34	0.8384	non-DMR
chr1	109697	109698	22	0.7113	non-DMR
chr1	109747	109748	37	0.707	non-DMR
chr1	109773	109774	29	0.8876	non-DMR
chr1	109805	109806	29	0.7657	non-DMR
chr1	109820	109821	30	0.9093	non-DMR
chr1	109855	109856	30	0.7718	non-DMR
chr1	109875	109876	35	0.9332	non-DMR
chr1	109890	109891	29	0.7407	non-DMR
chr1	109940	109941	27	0.9048	non-DMR
chr1	109969	109970	32	0.8326	non-DMR
chr1	109984	109985	26	0.7695	non-DMR
chr1	110004	110005	34	0.8409	non-DMR
chr1	110034	110035	23	0.9982	non-DMR
chr1	110065	110066	33	0.8426	non-DMR
chr1	110088	110089	34	0.8618	non-DMR
chr1	110103	110104	34	0.892	non-DMR
chr1	110126	110127	30	0.8953	non-DMR
chr1	110127	110128	22	0.9019	non-DMR
chr1	110227	110228	25	0.639	non-DMR
chr1	110296	110297	28	0.7239	non-DMR
chr1	110396	110397	29	0.8964	non-DMR
chr1	110446	110447	34	0.7987	non-DMR
chr1	110508	110509	28	0.7785	non-DMR
chr1	110608	110609	32	0.7771	non-DMR
chr1	110666	110667	32	0.7791	flank-DMR
chr1	110716	110717	26	0.7858	non-DMR
chr1	110741	110742	34	0.6986	non-DMR
chr1	110768	110769	25	0.9575	non-DMR
chr1	110788	110789	14	0.8246	non-DMR
chr1	110810	110811	37	0.7915	non-DMR
chr1	110860	110861	33	0.8066	non-DMR
chr1	110908	110909	25	0.7057	non-DMR
chr1	110923	110924	38	0.7118	non-DMR
chr1	110973	110974	20	0.9239	non-DMR
chr1	111023	111024	29	0.7591	non-DMR
chr1	111049	111050	18	0.5486	non-DMR
chr1	111084	111085	31	0.7828	non-DMR
chr1	111114	111115	27	0.8035	non-DMR
chr1	111164	111165	26	0.7747	non-DMR
chr1	111184	111185	27	0.7413	non-DMR
chr1	111216	111217	20	0.7436	non-DMR
chr1	111240	111241	35	0.7171	non-DMR
chr1	111255	111256	30	0.8935	non-DMR
chr1	111305	111306	30	0.716	non-DMR
chr1	111318	111319	36	0.7354	non-DMR
chr1	111418	111419	23	0.7548	non-DMR
chr1	111468	111469	31	0.8603	non-DMR
chr1	111547	111548	33	0.7787	non-DMR
chr1	111647	111648	26	0.9269	non-DMR
chr1	111708	111709	39	0.8312	non-DMR
chr1	111808	111809	29	0.818	non-DMR
chr1	111893	111894	30	0.7391	non-DMR
chr1	111931	111932	30	0.765	flank-DMR
chr1	111971	111972	21	1.0	flank-DMR
chr1	111995	111996	30	0.0422	non-DMR
chr1	112029	112030	27	0.106	non-DMR
chr1	112067	112068	25	0.0763	non-DMR
chr1	112103	112104	29	0.1285	non-DMR
chr1	112128	112129	26	0.0705	non-DMR
chr1	112170	112171	30	0.1538	non-DMR
chr1	112186	112187	17	0.0538	non-DMR
chr1	112233	112234	25	0.0363	non-DMR
chr1	112257	112258	31	0.1106	non-DMR
chr1	112292	112293	38	0.1803	non-DMR
chr1	112317	112318	33	0.0	non-DMR
chr1	112367	112368	26	0.1608	non-DMR
chr1	112404	112405	27	0.2341	non-DMR
chr1	112435	112436	32	0.1616	non-DMR
chr1	112535	112536	26	0.1263	non-DMR
chr1	112622	112623	30	0.2236	non-DMR
chr1	112722	112723	25	0.0479	non-DMR
chr1	112822	112823	30	0.1241	non-DMR
chr1	112920	112921	25	0.0	flank-DMR
chr1	112928	112929	30	0.1867	good-DMR
chr1	112978	112979	32	0.1421	good-DMR
chr1	113006	113007	40	0.3059	good-DMR
chr1	113021	113022	34	0.1885	good-DMR
chr1	113045	113046	31	0.5695	good-DMR
chr1	113081	113082	32	0.3399	good-DMR
chr1	113104	113105	26	0.3044	good-DMR
chr1	113134	113135	26	0.3944	good-DMR
chr1	113177	113178	30	0.3699	good-DMR
chr1	113204	113205	24	0.3073	good-DMR
chr1	113223	113224	28	0.257	good-DMR
chr1	113249	113250	32	0.1083	good-DMR
chr1	113299	113300	33	0.2735	good-DMR
chr1	113349	113350	31	0.1431	good-DMR
chr1	113364	113365	30	0.3752	good-DMR
chr1	113414	113415	23	0.289	good-DMR
chr1	113448	113449	33	0.3923	good-DMR
chr1	113461	113462	28	0.3626	good-DMR
chr1	113533	113534	38	0.3968	good-DMR
chr1	113583	113584	35	0.2585	good-DMR
chr1	113683	113684	30	0.2461	good-DMR
chr1	113740	113741	33	0.282	good-DMR
chr1	113790	113791	31	0.3393	good-DMR
chr1	113840	113841	31	0.2269	good-DMR
chr1	113940	113941	31	0.3855	good-DMR
chr1	113960	113961	27	0.159	flank-DMR
chr1	114012	114013	20	0.0396	flank-DMR
chr1	114032	114033	31	0.1048	flank-DMR
chr1	114086	114087	33	0.035	flank-DMR
chr1	114096	114097	35	0.1748	flank-DMR
chr1	114116	114117	37	0.1716	flank-DMR
chr1	114216	114217	29	0.1014	flank-DMR
chr1	114298	114299	24	0.1675	flank-DMR
chr1	114404	114405	26	0.1178	flank-DMR
chr1	114437	114438	33	0.6068	non-DMR
chr1	114452	114453	30	0.7121	non-DMR
chr1	114496	114497	32	0.6333	non-DMR
chr1	114524	114525	44	0.7041	non-DMR
chr1	114553	114554	24	0.7166	non-DMR
chr1	114603	114604	24	0.6261	non-DMR
chr1	114618	114619	31	0.7036	non-DMR
chr1	114635	114636	29	0.6295	non-DMR
chr1	114670	114671	26	0.5796	non-DMR
chr1	114685	114686	30	0.666	non-DMR
chr1	114707	114708	19	0.5488	non-DMR
chr1	114756	114757	24	0.7279	non-DMR
chr1	114784	114785	28	0.6561	non-DMR
chr1	114799	114800	25	0.7877	non-DMR
chr1	114832	114833	27	0.624	non-DMR
chr1	114857	114858	29	0.7173	non-DMR
chr1	114878	114879	29	0.7332	non-DMR
chr1	114928	114929	29	0.6827	non-DMR
chr1	114951	114952	30	0.6343	non-DMR
chr1	115035	115036	38	0.7818	non-DMR
chr1	115135	115136	27	0.6414	non-DMR
chr1	115219	115220	33	0.627	non-DMR
chr1	115292	115293	30	0.5953	non-DMR
chr1	115392	115393	31	0.6939	non-DMR
chr1	115462	115463	30	0.7299	flank-DMR
chr1	115464	115465	31	0.7057	flank-DMR
chr1	115491	115492	27	0.7342	non-DMR
chr1	115528	115529	29	0.5979	non-DMR
chr1	115563	115564	37	0.4288	non-DMR
chr1	115582	115583	23	0.4178	non-DMR
chr1	115602	115603	25	0.7682	non-DMR
chr1	115652	115653	32	0.4567	non-DMR
chr1	115692	115693	29	0.6002	non-DMR
chr1	115739	115740	39	0.524	non-DMR
chr1	115772	115773	16	0.5269	non-DMR
chr1	115809	115810	34	0.5192	non-DMR
chr1	115837	115838	33	0.7089	non-DMR
chr1	115867	115868	23	0.6437	non-DMR
chr1	115891	115892	37	0.6318	non-DMR
chr1	115941	115942	32	0.5709	non-DMR
chr1	115962	115963	21	0.5329	non-DMR
chr1	115997	115998	39	0.6513	non-DMR
chr1	116025	116026	22	0.5411	non-DMR
chr1	116059	116060	25	0.6447	non-DMR
chr1	116159	116160	28	0.5464	non-DMR
chr1	116259	116260	32	0.7074	non-DMR
chr1	116359	116360	28	0.5691	non-DMR
chr1	116414	116415	38	0.4464	non-DMR
chr1	116514	116515	34	0.4998	non-DMR
chr1	116608	116609	33	0.6877	non-DMR
chr1	116626	116627	30	0.4977	flank-DMR
chr1	116676	116677	34	0.7202	non-DMR
chr1	116726	116727	22	0.5322	non-DMR
chr1	116744	116745	31	0.6043	non-DMR
chr1	116764	116765	32	0.5284	non-DMR
chr1	116814	116815	24	0.7214	non-DMR
chr1	116832	116833	35	0.5923	non-DMR
chr1	116855	116856	30	0.5517	non-DMR
chr1	116905	116906	31	0.4524	non-DMR
chr1	116955	116956	29	0.5969	non-DMR
chr1	116970	116971	31	0.6223	non-DMR
chr1	117014	117015	32	0.6245	non-DMR
chr1	117041	117042	33	0.5588	non-DMR
chr1	117069	117070	31	0.7752	non-DMR
chr1	117119	117120	31	0.6704	non-DMR
chr1	117144	117145	36	0.6155	non-DMR
chr1	117167	117168	24	0.3845	non-DMR
chr1	117193	117194	27	0.6469	non-DMR
chr1	117202	117203	34	0.7336	non-DMR
chr1	117302	117303	34	0.6623	non-DMR
chr1	117402	117403	33	0.8127	non-DMR
chr1	117502	117503	33	0.7666	non-DMR
chr1	117601	117602	29	0.6191	non-DMR
chr1	117701	117702	35	0.7467	non-DMR
chr1	117745	117746	23	0.7993	flank-DMR
chr1	117750	117751	37	0.571	good-DMR
chr1	117765	117766	35	0.393	good-DMR
chr1	117809	117810	34	0.3794	good-DMR
chr1	117846	117847	35	0.5081	good-DMR
chr1	117891	117892	35	0.4361	good-DMR
chr1	117932	117933	26	0.499	good-DMR
chr1	117965	117966	28	0.5519	good-DMR
chr1	118009	118010	23	0.5061	good-DMR
chr1	118033	118034	31	0.4938	good-DMR
chr1	118073	118074	24	0.5372	good-DMR
chr1	118096	118097	31	0.5594	good-DMR
chr1	118137	118138	20	0.4733	good-DMR
chr1	118164	118165	38	0.6397	good-DMR
chr1	118202	118203	30	0.4895	good-DMR
chr1	118209	118210	28	0.3988	good-DMR
chr1	118294	118295	27	0.4829	good-DMR
chr1	118381	118382	32	0.5847	good-DMR
chr1	118431	118432	29	0.5498	good-DMR
chr1	118531	118532	34	0.5668	good-DMR
chr1	118631	118632	33	0.4154	good-DMR
chr1	118633	118634	32	0.9557	flank-DMR
chr1	118717	118718	25	0.9257	flank-DMR
chr1	118803	118804	33	0.9127	flank-DMR
chr1	118807	118808	33	0.7152	flank-DMR
chr1	119041	119042	23	0.9117	flank-DMR
chr1	119053	119054	29	0.0093	non-DMR
chr1	119068	119069	27	0.0602	non-DMR
chr1	119092	119093	33	0.019	non-DMR
chr1	119110	119111	34	0.1022	non-DMR
chr1	119160	119161	32	0.086	non-DMR
chr1	119206	119207	30	0.0865	non-DMR
chr1	119224	119225	35	0.0152	non-DMR
chr1	119263	119264	36	0.1408	non-DMR
chr1	119280	119281	28	0.0	non-DMR
chr1	119295	119296	31	0.1526	non-DMR
chr1	119316	119317	30	0.1919	non-DMR
chr1	119344	119345	39	0.2183	non-DMR
chr1	119380	119381	34	0.1381	non-DMR
chr1	119426	119427	24	0.1815	non-DMR
chr1	119451	119452	26	0.1275	non-DMR
chr1	119493	119494	31	0.0	non-DMR
chr1	119508	119509	21	0.1735	non-DMR
chr1	119546	119547	26	0.0632	non-DMR
chr1	119596	119597	30	0.0867	non-DMR
chr1	119670	119671	32	0.1564	non-DMR
chr1	119736	119737	30	0.1319	non-DMR
chr1	119786	119787	30	0.2173	non-DMR
chr1	119886	119887	27	0.1278	non-DMR
chr1	119986	119987	29	0.2237	non-DMR
chr1	120036	120037	30	0.1813	non-DMR
chr1	120046	120047	31	0.2337	flank-DMR
chr1	120088	120089	31	0.0479	flank-DMR
chr1	120134	120135	26	0.8804	non-DMR
chr1	120184	120185	29	0.73	non-DMR
chr1	120225	120226	36	0.9455	non-DMR
chr1	120256	120257	24	0.7089	non-DMR
chr1	120284	120285	28	0.7657	non-DMR
chr1	120333	120334	29	0.6671	non-DMR
chr1	120355	120356	29	0.682	non-DMR
chr1	120370	120371	32	0.6643	non-DMR
chr1	120401	120402	28	0.7947	non-DMR
chr1	120451	120452	25	0.7345	non-DMR
