chr	start	end	coverage	methylation_level
chr1	100005	100006	28	0.9366	good-DMR
chr1	100046	100047	29	0.6884	good-DMR
chr1	100096	100097	23	0.9067	good-DMR
chr1	100123	100124	20	0.735	good-DMR
chr1	100150	100151	37	0.9312	good-DMR
chr1	100200	100201	29	0.8527	good-DMR
chr1	100244	100245	30	0.9764	good-DMR
chr1	100268	100269	32	0.9345	good-DMR
chr1	100307	100308	28	0.795	good-DMR
chr1	100331	100332	33	0.9313	good-DMR
chr1	100355	100356	20	0.941	good-DMR
chr1	100389	100390	26	0.8836	good-DMR
chr1	100404	100405	33	0.8685	good-DMR
chr1	100419	100420	32	0.8266	good-DMR
chr1	100442	100443	27	0.8974	good-DMR
chr1	100460	100461	34	0.8358	good-DMR
chr1	100495	100496	26	0.8952	good-DMR
chr1	100514	100515	34	0.8266	good-DMR
chr1	100529	100530	31	0.8831	good-DMR
chr1	100629	100630	26	0.9618	good-DMR
chr1	100716	100717	32	0.7815	good-DMR
chr1	100816	100817	21	0.881	good-DMR
chr1	100866	100867	26	0.9081	good-DMR
chr1	100938	100939	37	0.823	good-DMR
chr1	101038	101039	27	0.9721	good-DMR
chr1	101074	101075	30	0.9465	flank-DMR
chr1	101182	101183	27	0.9365	flank-DMR
chr1	101194	101195	28	0.9427	flank-DMR
chr1	101250	101251	28	0.8163	flank-DMR
chr1	101344	101345	39	0.9503	flank-DMR
chr1	101380	101381	21	0.8317	flank-DMR
chr1	101386	101387	25	0.0556	good-DMR
chr1	101425	101426	29	0.0621	good-DMR
chr1	101464	101465	37	0.2829	good-DMR
chr1	101481	101482	28	0.1203	good-DMR
chr1	101529	101530	31	0.1869	good-DMR
chr1	101544	101545	28	0.2179	good-DMR
chr1	101594	101595	24	0.1209	good-DMR
chr1	101610	101611	38	0.15	good-DMR
chr1	101637	101638	27	0.1066	good-DMR
chr1	101687	101688	36	0.1272	good-DMR
chr1	101719	101720	30	0.0867	good-DMR
chr1	101764	101765	33	0.1117	good-DMR
chr1	101805	101806	34	0.1638	good-DMR
chr1	101808	101809	35	0.2032	good-DMR
chr1	101908	101909	36	0.0749	good-DMR
chr1	101984	101985	40	0.1045	good-DMR
chr1	102084	102085	38	0.1199	good-DMR
chr1	102134	102135	26	0.0518	good-DMR
chr1	102188	102189	28	0.2832	flank-DMR
chr1	102314	102315	32	0.1193	flank-DMR
chr1	102356	102357	29	0.2071	flank-DMR
chr1	102456	102457	38	0.1858	flank-DMR
chr1	102472	102473	30	0.109	flank-DMR
chr1	102478	102479	33	0.0489	flank-DMR
chr1	102498	102499	28	0.1576	flank-DMR
chr1	102504	102505	31	0.1324	flank-DMR
chr1	102620	102621	27	0.2887	flank-DMR
chr1	102636	102637	25	0.3103	non-DMR
chr1	102684	102685	23	0.1417	non-DMR
chr1	102715	102716	35	0.2173	non-DMR
chr1	102749	102750	31	0.2598	non-DMR
chr1	102799	102800	31	0.3305	non-DMR
chr1	102838	102839	24	0.138	non-DMR
chr1	102877	102878	20	0.0	non-DMR
chr1	102927	102928	29	0.2222	non-DMR
chr1	102952	102953	38	0.315	non-DMR
chr1	102972	102973	36	0.3514	non-DMR
chr1	102990	102991	30	0.0474	non-DMR
chr1	103005	103006	29	0.3075	non-DMR
chr1	103055	103056	34	0.0627	non-DMR
chr1	103072	103073	29	0.4184	non-DMR
chr1	103099	103100	33	0.3878	non-DMR
chr1	103103	103104	27	0.3036	non-DMR
chr1	103203	103204	21	0.293	non-DMR
chr1	103303	103304	34	0.1738	non-DMR
chr1	103403	103404	32	0.4166	non-DMR
chr1	103473	103474	31	0.2225	non-DMR
chr1	103563	103564	23	0.2329	non-DMR
chr1	103597	103598	38	0.2022	flank-DMR
chr1	103612	103613	26	0.7616	non-DMR
chr1	103638	103639	33	0.8761	non-DMR
chr1	103653	103654	22	0.7278	non-DMR
chr1	103690	103691	30	0.69	non-DMR
chr1	103723	103724	27	0.813	non-DMR
chr1	103757	103758	33	0.7771	non-DMR
chr1	103804	103805	29	1.0	non-DMR
chr1	103854	103855	22	0.7774	non-DMR
chr1	103879	103880	33	0.7011	non-DMR
chr1	103917	103918	28	0.6959	non-DMR
chr1	103952	103953	28	0.7889	non-DMR
chr1	103988	103989	34	0.7981	non-DMR
chr1	104025	104026	22	0.8254	non-DMR
chr1	104075	104076	15	0.6825	non-DMR
chr1	104151	104152	34	0.8108	non-DMR
chr1	104201	104202	28	0.9089	non-DMR
chr1	104267	104268	26	0.7822	non-DMR
chr1	104367	104368	33	0.7682	non-DMR
chr1	104467	104468	31	0.7486	non-DMR
chr1	104541	104542	27	0.849	flank-DMR
chr1	104563	104564	44	0.8218	flank-DMR
chr1	104607	104608	29	0.6463	non-DMR
chr1	104629	104630	29	0.8039	non-DMR
chr1	104659	104660	28	0.6853	non-DMR
chr1	104688	104689	31	0.7669	non-DMR
chr1	104703	104704	35	0.5483	non-DMR
chr1	104722	104723	31	0.731	non-DMR
chr1	104745	104746	24	0.7342	non-DMR
chr1	104760	104761	23	0.5972	non-DMR
chr1	104817	104818	38	0.7272	non-DMR
chr1	104832	104833	28	0.73	non-DMR
chr1	104869	104870	28	0.6416	non-DMR
chr1	104912	104913	25	0.602	non-DMR
chr1	104946	104947	30	0.5456	non-DMR
chr1	104972	104973	25	0.6792	non-DMR
chr1	105012	105013	25	0.5574	non-DMR
chr1	105054	105055	30	0.8194	non-DMR
chr1	105089	105090	30	0.6956	non-DMR
chr1	105109	105110	26	0.6022	non-DMR
chr1	105143	105144	24	0.7616	non-DMR
chr1	105158	105159	30	0.7456	non-DMR
chr1	105228	105229	27	0.7062	non-DMR
chr1	105328	105329	32	0.6736	non-DMR
chr1	105401	105402	29	0.6894	non-DMR
chr1	105501	105502	33	0.4565	non-DMR
chr1	105568	105569	26	0.8231	non-DMR
chr1	105668	105669	34	0.6286	non-DMR
chr1	105676	105677	33	0.7703	flank-DMR
chr1	105762	105763	33	0.5991	flank-DMR
chr1	105768	105769	20	0.7999	good-DMR
chr1	105810	105811	24	0.718	good-DMR
chr1	105839	105840	23	0.669	good-DMR
chr1	105883	105884	23	0.5671	good-DMR
chr1	105924	105925	26	0.6489	good-DMR
chr1	105951	105952	31	0.9131	good-DMR
chr1	105966	105967	36	0.6872	good-DMR
chr1	105989	105990	28	0.7089	good-DMR
chr1	106039	106040	20	0.7189	good-DMR
chr1	106075	106076	34	0.6062	good-DMR
chr1	106097	106098	22	0.5486	good-DMR
chr1	106131	106132	30	0.6428	good-DMR
chr1	106173	106174	35	0.7025	good-DMR
chr1	106195	106196	26	0.7708	good-DMR
chr1	106235	106236	30	0.6604	good-DMR
chr1	106335	106336	33	0.7203	good-DMR
chr1	106387	106388	25	0.675	good-DMR
chr1	106487	106488	26	0.8274	good-DMR
chr1	106565	106566	41	0.8178	good-DMR
chr1	106655	106656	29	0.8251	good-DMR
chr1	106679	106680	26	0.6992	flank-DMR
chr1	106735	106736	29	0.5768	flank-DMR
chr1	106787	106788	23	0.7561	flank-DMR
chr1	106915	106916	36	0.7534	flank-DMR
chr1	106975	106976	27	0.6856	flank-DMR
chr1	106977	106978	21	0.7649	flank-DMR
chr1	106987	106988	22	0.7374	flank-DMR
chr1	107013	107014	25	0.6209	flank-DMR
chr1	107061	107062	31	0.6657	flank-DMR
chr1	107149	107150	31	0.6904	flank-DMR
chr1	107168	107169	35	0.7831	non-DMR
chr1	107190	107191	35	0.7788	non-DMR
chr1	107231	107232	35	0.7409	non-DMR
chr1	107281	107282	29	0.7121	non-DMR
chr1	107301	107302	25	0.6832	non-DMR
chr1	107335	107336	36	0.6959	non-DMR
chr1	107385	107386	28	0.8195	non-DMR
chr1	107400	107401	28	0.8037	non-DMR
chr1	107445	107446	36	0.8545	non-DMR
chr1	107462	107463	38	0.836	non-DMR
chr1	107495	107496	27	0.802	non-DMR
chr1	107545	107546	32	0.7371	non-DMR
chr1	107560	107561	34	0.8163	non-DMR
chr1	107604	107605	25	0.746	non-DMR
chr1	107654	107655	28	0.6385	non-DMR
chr1	107677	107678	31	0.8433	non-DMR
chr1	107717	107718	27	0.7683	non-DMR
chr1	107767	107768	22	0.707	non-DMR
chr1	107773	107774	28	0.7451	non-DMR
chr1	107873	107874	30	0.7935	non-DMR
chr1	107973	107974	30	0.6805	non-DMR
chr1	108073	108074	31	0.8744	non-DMR
chr1	108173	108174	35	0.6509	non-DMR
chr1	108228	108229	35	0.7687	non-DMR
chr1	108328	108329	26	0.8444	non-DMR
chr1	108408	108409	31	0.8593	flank-DMR
chr1	108416	108417	30	0.6883	flank-DMR
chr1	108431	108432	27	0.7805	non-DMR
chr1	108468	108469	22	0.7513	non-DMR
chr1	108500	108501	28	0.7048	non-DMR
chr1	108534	108535	30	0.8061	non-DMR
chr1	108584	108585	45	0.8932	non-DMR
chr1	108622	108623	24	0.7753	non-DMR
chr1	108672	108673	31	0.6943	non-DMR
chr1	108696	108697	34	0.6584	non-DMR
chr1	108711	108712	29	0.8935	non-DMR
chr1	108732	108733	25	0.5865	non-DMR
chr1	108755	108756	31	0.9114	non-DMR
chr1	108805	108806	34	0.8449	non-DMR
chr1	108848	108849	33	0.73	non-DMR
chr1	108870	108871	31	0.8585	non-DMR
chr1	108915	108916	30	0.8164	non-DMR
chr1	108943	108944	26	0.8824	non-DMR
chr1	108993	108994	33	0.7381	non-DMR
chr1	108995	108996	33	0.7971	non-DMR
chr1	109045	109046	34	0.7558	non-DMR
chr1	109134	109135	23	0.8731	non-DMR
chr1	109216	109217	30	0.729	non-DMR
chr1	109266	109267	24	0.9056	non-DMR
chr1	109366	109367	31	0.6646	non-DMR
chr1	109466	109467	32	0.7666	non-DMR
chr1	109517	109518	26	0.8924	non-DMR
chr1	109599	109600	29	0.6603	flank-DMR
chr1	109601	109602	26	0.7598	flank-DMR
chr1	109613	109614	23	0.9858	non-DMR
chr1	109636	109637	27	0.8018	non-DMR
chr1	109668	109669	33	0.7868	non-DMR
chr1	109697	109698	27	0.7212	non-DMR
chr1	109747	109748	30	0.8006	non-DMR
chr1	109773	109774	26	0.8069	non-DMR
chr1	109805	109806	28	0.8306	non-DMR
chr1	109820	109821	28	1.0	non-DMR
chr1	109855	109856	34	0.8318	non-DMR
chr1	109875	109876	31	0.887	non-DMR
chr1	109890	109891	28	0.908	non-DMR
chr1	109940	109941	33	0.9516	non-DMR
chr1	109969	109970	24	0.9084	non-DMR
chr1	109984	109985	32	0.7391	non-DMR
chr1	110004	110005	34	0.945	non-DMR
chr1	110034	110035	26	0.8925	non-DMR
chr1	110065	110066	35	1.0	non-DMR
chr1	110088	110089	38	0.8279	non-DMR
chr1	110103	110104	34	0.954	non-DMR
chr1	110126	110127	28	0.9697	non-DMR
chr1	110127	110128	20	0.7517	non-DMR
chr1	110227	110228	21	0.7795	non-DMR
chr1	110296	110297	32	0.8013	non-DMR
chr1	110396	110397	38	0.9304	non-DMR
chr1	110446	110447	22	0.7664	non-DMR
chr1	110508	110509	25	0.8697	non-DMR
chr1	110608	110609	29	0.8429	non-DMR
chr1	110666	110667	38	0.8089	flank-DMR
chr1	110716	110717	26	0.9517	non-DMR
chr1	110741	110742	32	0.8225	non-DMR
chr1	110768	110769	28	0.8986	non-DMR
chr1	110788	110789	18	0.8873	non-DMR
chr1	110810	110811	29	0.6777	non-DMR
chr1	110860	110861	34	0.817	non-DMR
chr1	110908	110909	36	0.7768	non-DMR
chr1	110923	110924	36	0.7755	non-DMR
chr1	110973	110974	29	0.9338	non-DMR
chr1	111023	111024	29	0.7862	non-DMR
chr1	111049	111050	20	0.676	non-DMR
chr1	111084	111085	29	0.7557	non-DMR
chr1	111114	111115	33	0.8134	non-DMR
chr1	111164	111165	34	0.8083	non-DMR
chr1	111184	111185	27	0.7982	non-DMR
chr1	111216	111217	38	0.8379	non-DMR
chr1	111240	111241	36	0.8252	non-DMR
chr1	111255	111256	34	0.8436	non-DMR
chr1	111305	111306	39	0.7409	non-DMR
chr1	111318	111319	32	0.6693	non-DMR
chr1	111418	111419	32	0.7513	non-DMR
chr1	111468	111469	31	0.9509	non-DMR
chr1	111547	111548	33	0.8989	non-DMR
chr1	111647	111648	28	0.8248	non-DMR
chr1	111708	111709	26	0.9285	non-DMR
chr1	111808	111809	29	0.9595	non-DMR
chr1	111893	111894	33	0.97	non-DMR
chr1	111931	111932	24	0.8072	flank-DMR
chr1	111971	111972	34	0.8942	flank-DMR
chr1	111995	111996	25	0.1519	non-DMR
chr1	112029	112030	37	0.0699	non-DMR
chr1	112067	112068	34	0.03	non-DMR
chr1	112103	112104	35	0.0503	non-DMR
chr1	112128	112129	32	0.0493	non-DMR
chr1	112170	112171	29	0.09	non-DMR
chr1	112186	112187	29	0.0703	non-DMR
chr1	112233	112234	24	0.0	non-DMR
chr1	112257	112258	29	0.1728	non-DMR
chr1	112292	112293	26	0.0996	non-DMR
chr1	112317	112318	30	0.0753	non-DMR
chr1	112367	112368	28	0.0692	non-DMR
chr1	112404	112405	34	0.1661	non-DMR
chr1	112435	112436	27	0.0601	non-DMR
chr1	112535	112536	32	0.0764	non-DMR
chr1	112622	112623	27	0.0975	non-DMR
chr1	112722	112723	28	0.1429	non-DMR
chr1	112822	112823	31	0.0068	non-DMR
chr1	112920	112921	27	0.0281	flank-DMR
chr1	112928	112929	27	0.1442	good-DMR
chr1	112978	112979	36	0.087	good-DMR
chr1	113006	113007	36	0.0762	good-DMR
chr1	113021	113022	31	0.0501	good-DMR
chr1	113045	113046	31	0.3209	good-DMR
chr1	113081	113082	33	0.2322	good-DMR
chr1	113104	113105	13	0.1998	good-DMR
chr1	113134	113135	20	0.1347	good-DMR
chr1	113177	113178	27	0.1583	good-DMR
chr1	113204	113205	25	0.1284	good-DMR
chr1	113223	113224	31	0.1745	good-DMR
chr1	113249	113250	25	0.0562	good-DMR
chr1	113299	113300	26	0.0	good-DMR
chr1	113349	113350	30	0.1647	good-DMR
chr1	113364	113365	35	0.1985	good-DMR
chr1	113414	113415	23	0.1021	good-DMR
chr1	113448	113449	34	0.1517	good-DMR
chr1	113461	113462	31	0.2171	good-DMR
chr1	113533	113534	26	0.09	good-DMR
chr1	113583	113584	38	0.1422	good-DMR
chr1	113683	113684	23	0.0485	good-DMR
chr1	113740	113741	25	0.2179	good-DMR
chr1	113790	113791	25	0.1106	good-DMR
chr1	113840	113841	26	0.0088	good-DMR
chr1	113940	113941	31	0.1714	good-DMR
chr1	113960	113961	32	0.1654	flank-DMR
chr1	114012	114013	26	0.1201	flank-DMR
chr1	114032	114033	37	0.1676	flank-DMR
chr1	114086	114087	32	0.0989	flank-DMR
chr1	114096	114097	22	0.3074	flank-DMR
chr1	114116	114117	34	0.1465	flank-DMR
chr1	114216	114217	29	0.1299	flank-DMR
chr1	114298	114299	34	0.19	flank-DMR
chr1	114404	114405	34	0.1402	flank-DMR
chr1	114437	114438	21	0.6857	non-DMR
chr1	114452	114453	38	0.7555	non-DMR
chr1	114496	114497	26	0.749	non-DMR
chr1	114524	114525	35	0.8061	non-DMR
chr1	114553	114554	24	0.7779	non-DMR
chr1	114603	114604	29	0.7411	non-DMR
chr1	114618	114619	41	0.777	non-DMR
chr1	114635	114636	25	0.6879	non-DMR
chr1	114670	114671	38	0.6798	non-DMR
chr1	114685	114686	26	0.6539	non-DMR
chr1	114707	114708	30	0.6124	non-DMR
chr1	114756	114757	31	0.7275	non-DMR
chr1	114784	114785	23	0.7611	non-DMR
chr1	114799	114800	34	0.7896	non-DMR
chr1	114832	114833	28	0.7408	non-DMR
chr1	114857	114858	24	0.7533	non-DMR
chr1	114878	114879	35	0.7814	non-DMR
chr1	114928	114929	29	0.6783	non-DMR
chr1	114951	114952	22	0.6801	non-DMR
chr1	115035	115036	29	0.7173	non-DMR
chr1	115135	115136	27	0.7574	non-DMR
chr1	115219	115220	32	0.6617	non-DMR
chr1	115292	115293	33	0.6157	non-DMR
chr1	115392	115393	37	0.6523	non-DMR
chr1	115462	115463	31	0.5467	flank-DMR
chr1	115464	115465	28	0.7506	flank-DMR
chr1	115491	115492	27	0.6505	non-DMR
chr1	115528	115529	25	0.5204	non-DMR
chr1	115563	115564	29	0.4609	non-DMR
chr1	115582	115583	37	0.4099	non-DMR
chr1	115602	115603	33	0.7528	non-DMR
chr1	115652	115653	29	0.5046	non-DMR
