chr	start	end	coverage	methylation_level
chr1	100005	100006	33	0.9311	good-DMR
chr1	100046	100047	31	0.6946	good-DMR
chr1	100096	100097	35	0.9146	good-DMR
chr1	100123	100124	34	0.8533	good-DMR
chr1	100150	100151	25	0.9341	good-DMR
chr1	100200	100201	34	0.8458	good-DMR
chr1	100244	100245	31	0.8719	good-DMR
chr1	100268	100269	30	0.9326	good-DMR
chr1	100307	100308	37	0.7924	good-DMR
chr1	100331	100332	36	0.9744	good-DMR
chr1	100355	100356	31	0.8858	good-DMR
chr1	100389	100390	24	0.703	good-DMR
chr1	100404	100405	30	0.8222	good-DMR
chr1	100419	100420	29	0.8053	good-DMR
chr1	100442	100443	21	0.9049	good-DMR
chr1	100460	100461	27	0.863	good-DMR
chr1	100495	100496	25	0.8963	good-DMR
chr1	100514	100515	37	0.7604	good-DMR
chr1	100529	100530	32	0.7905	good-DMR
chr1	100629	100630	41	1.0	good-DMR
chr1	100716	100717	36	0.8584	good-DMR
chr1	100816	100817	30	0.9641	good-DMR
chr1	100866	100867	35	0.8186	good-DMR
chr1	100938	100939	27	0.7615	good-DMR
chr1	101038	101039	26	1.0	good-DMR
chr1	101074	101075	28	0.8841	flank-DMR
chr1	101182	101183	31	0.8084	flank-DMR
chr1	101194	101195	34	0.9633	flank-DMR
chr1	101250	101251	31	0.9296	flank-DMR
chr1	101344	101345	23	0.9892	flank-DMR
chr1	101380	101381	26	0.79	flank-DMR
chr1	101386	101387	37	0.0547	good-DMR
chr1	101425	101426	27	0.2141	good-DMR
chr1	101464	101465	22	0.1291	good-DMR
chr1	101481	101482	32	0.0939	good-DMR
chr1	101529	101530	24	0.3244	good-DMR
chr1	101544	101545	31	0.2238	good-DMR
chr1	101594	101595	23	0.1786	good-DMR
chr1	101610	101611	33	0.113	good-DMR
chr1	101637	101638	39	0.0245	good-DMR
chr1	101687	101688	22	0.0464	good-DMR
chr1	101719	101720	29	0.1312	good-DMR
chr1	101764	101765	28	0.1096	good-DMR
chr1	101805	101806	23	0.2042	good-DMR
chr1	101808	101809	29	0.2859	good-DMR
chr1	101908	101909	31	0.0878	good-DMR
chr1	101984	101985	32	0.1614	good-DMR
chr1	102084	102085	33	0.1765	good-DMR
chr1	102134	102135	30	0.1115	good-DMR
chr1	102188	102189	29	0.334	flank-DMR
chr1	102314	102315	26	0.238	flank-DMR
chr1	102356	102357	29	0.0285	flank-DMR
chr1	102456	102457	30	0.1299	flank-DMR
