chr1	100005	100006	28	0.6324	good-DMR
chr1	100046	100047	36	0.4481	good-DMR
chr1	100096	100097	22	0.669	good-DMR
chr1	100123	100124	24	0.5695	good-DMR
chr1	100150	100151	29	0.556	good-DMR
chr1	100200	100201	34	0.6111	good-DMR
chr1	100244	100245	35	0.5318	good-DMR
chr1	100268	100269	24	0.6888	good-DMR
chr1	100307	100308	26	0.5538	good-DMR
chr1	100331	100332	30	0.6789	good-DMR
chr1	100355	100356	26	0.6415	good-DMR
chr1	100389	100390	26	0.5457	good-DMR
chr1	100404	100405	29	0.6638	good-DMR
chr1	100419	100420	42	0.5576	good-DMR
chr1	100442	100443	36	0.487	good-DMR
chr1	100460	100461	19	0.577	good-DMR
chr1	100495	100496	24	0.6382	good-DMR
chr1	100514	100515	31	0.4563	good-DMR
chr1	100529	100530	29	0.5954	good-DMR
chr1	100629	100630	34	0.6357	good-DMR
chr1	100716	100717	28	0.5675	good-DMR
chr1	100816	100817	32	0.6754	good-DMR
chr1	100866	100867	29	0.5805	good-DMR
chr1	100938	100939	26	0.5146	good-DMR
chr1	101038	101039	30	0.6835	good-DMR
chr1	101074	101075	32	0.9223	flank-DMR
chr1	101182	101183	28	0.9365	flank-DMR
chr1	101194	101195	34	0.896	flank-DMR
chr1	101250	101251	31	0.7976	flank-DMR
chr1	101344	101345	38	0.9036	flank-DMR
chr1	101380	101381	26	0.7621	flank-DMR
chr1	101386	101387	30	0.3295	good-DMR
chr1	101425	101426	35	0.3567	good-DMR
chr1	101464	101465	29	0.4849	good-DMR
chr1	101481	101482	36	0.3909	good-DMR
chr1	101529	101530	30	0.4364	good-DMR
chr1	101544	101545	24	0.4857	good-DMR
chr1	101594	101595	26	0.3617	good-DMR
chr1	101610	101611	30	0.3295	good-DMR
chr1	101637	101638	29	0.3793	good-DMR
chr1	101687	101688	30	0.2662	good-DMR
chr1	101719	101720	25	0.3238	good-DMR
chr1	101764	101765	23	0.34	good-DMR
chr1	101805	101806	37	0.4309	good-DMR
chr1	101808	101809	28	0.5445	good-DMR
chr1	101908	101909	30	0.2981	good-DMR
chr1	101984	101985	26	0.4139	good-DMR
chr1	102084	102085	28	0.3435	good-DMR
chr1	102134	102135	30	0.2822	good-DMR
chr1	102188	102189	32	0.2785	flank-DMR
chr1	102314	102315	34	0.0028	flank-DMR
chr1	102356	102357	17	0.2007	flank-DMR
chr1	102456	102457	23	0.0988	flank-DMR
chr1	102472	102473	24	0.0909	flank-DMR
chr1	102478	102479	32	0.076	flank-DMR
chr1	102498	102499	27	0.1714	flank-DMR
chr1	102504	102505	27	0.1926	flank-DMR
chr1	102620	102621	22	0.1702	flank-DMR
chr1	102636	102637	23	0.3211	non-DMR
chr1	102684	102685	30	0.1018	non-DMR
chr1	102715	102716	24	0.2663	non-DMR
chr1	102749	102750	35	0.3029	non-DMR
chr1	102799	102800	22	0.2281	non-DMR
