chr	start	end	coverage	methylation_level
chr1	100000	100001	36	0.6586
chr1	100498	100499	32	0.3052
chr1	100915	100916	24	0.6077
chr1	101005	101006	28	0.5814
chr1	109610	109611	24	0.5364
chr1	109679	109680	25	0.4672
chr1	109784	109785	32	0.3657
chr1	110139	110140	34	0.3808
chr1	111833	111834	26	0.3652
chr1	111862	111863	29	0.4838
chr1	111864	111865	28	0.6845
chr1	111899	111900	39	0.4915
chr1	114313	114314	29	0.3882
chr1	114740	114741	34	0.2938
chr1	115133	115134	30	0.0871
chr1	115208	115209	33	0.1945
chr1	121699	121700	27	0.456
chr1	121774	121775	26	0.3739
chr1	121957	121958	36	0.1776
chr1	122201	122202	29	0.5306
chr1	125700	125701	23	0.6686
chr1	125703	125704	33	0.6252
chr1	125744	125745	28	0.6764
chr1	125755	125756	25	0.4997
chr1	127337	127338	31	0.1339
chr1	127352	127353	33	0.349
chr1	127429	127430	29	0.252
chr1	129602	129603	30	0.1484
chr1	130034	130035	28	0.2957
chr1	130451	130452	36	0.1773
chr1	131228	131229	28	0.6356
chr1	131653	131654	33	0.5303
chr1	131970	131971	28	0.3519
chr1	132158	132159	36	0.3554
chr1	134051	134052	37	0.1915
chr1	134348	134349	35	0.4677
chr1	134636	134637	36	0.367
chr1	134909	134910	25	0.3411
chr1	136165	136166	28	0.3965
chr1	136259	136260	24	0.1657
chr1	136451	136452	25	0.177
chr1	136731	136732	29	0.2257
chr1	136843	136844	23	0.1901
chr1	136989	136990	35	0.242
chr1	138761	138762	29	0.3475
chr1	139064	139065	35	0.266
chr1	139549	139550	22	0.2743
chr1	139682	139683	28	0.3127
chr1	141334	141335	32	1.0
chr1	141558	141559	35	1.0
chr1	141751	141752	28	1.0
chr1	142106	142107	22	1.0
chr1	142335	142336	29	1.0
chr1	142389	142390	42	1.0
chr1	143951	143952	23	0.6837
chr1	143969	143970	32	0.6423
chr1	143985	143986	33	0.5982
chr1	143994	143995	24	0.5618
chr1	160635	160636	33	1.0
chr1	160692	160693	26	1.0
chr1	160877	160878	25	1.0
chr1	161201	161202	29	1.0
chr1	161282	161283	30	1.0
chr1	161390	161391	26	1.0
chr1	163124	163125	26	0.3521
chr1	163364	163365	29	0.3728
chr1	163469	163470	25	0.3934
chr1	163864	163865	23	0.5244
chr1	169714	169715	32	0.5129
chr1	169877	169878	32	0.529
chr1	170241	170242	27	0.6041
chr1	170313	170314	33	0.5916
chr1	170735	170736	40	0.7398
chr1	177572	177573	34	0.3148
chr1	177575	177576	23	0.4747
chr1	177612	177613	27	0.2669
chr1	180237	180238	22	0.683
chr1	180614	180615	29	0.461
chr1	180877	180878	33	0.3163
chr1	181075	181076	27	0.5901
chr1	182108	182109	24	0.1448
chr1	182245	182246	32	0.2793
chr1	182705	182706	24	0.2454
chr1	183071	183072	32	0.4566
chr1	189232	189233	34	0.0
chr1	189507	189508	32	1.0
chr1	189793	189794	32	0.995
chr1	190136	190137	31	1.0
chr1	190990	190991	27	0.2425
chr1	191110	191111	32	0.266
chr1	191606	191607	23	0.3572
chr1	191784	191785	31	0.4837
chr1	192626	192627	25	0.2999
chr1	192821	192822	29	0.6904
chr1	192913	192914	32	0.7409
chr1	193353	193354	22	0.542
chr1	194630	194631	28	0.2011
chr1	195105	195106	42	0.0841
chr1	195378	195379	31	0.3
chr1	195439	195440	29	0.3351
chr1	196498	196499	28	0.2544
chr1	196545	196546	27	0.1726
chr1	196588	196589	28	0.1979
chr1	196611	196612	29	0.2802
chr1	198042	198043	30	0.5302
chr1	198333	198334	38	0.4785
chr1	198739	198740	37	0.507
chr1	199001	199002	23	0.5892
chr1	200983	200984	31	0.4346
chr1	201073	201074	33	0.5781
chr1	201132	201133	30	0.3116
chr1	201313	201314	29	0.3627
chr1	203040	203041	26	0.4985
chr1	203462	203463	29	0.2368
chr1	203823	203824	24	0.3806
chr1	203940	203941	30	0.4386
chr1	210683	210684	32	0.5056
chr1	210860	210861	24	0.582
chr1	210968	210969	33	0.4833
chr1	211031	211032	41	0.7182
chr1	211457	211458	33	0.5723
chr1	211554	211555	25	0.7381
chr1	211635	211636	35	0.4333
chr1	212381	212382	32	0.351
chr1	212682	212683	30	0.3172
chr1	212834	212835	23	0.2487
chr1	212946	212947	27	0.3564
chr1	214060	214061	31	0.6252
chr1	214475	214476	27	0.7732
chr1	214846	214847	32	0.6485
chr1	215070	215071	36	0.6046
chr1	216962	216963	28	0.9525
chr1	216998	216999	24	0.9387
chr1	217018	217019	34	0.82
chr1	217051	217052	35	0.9517
chr1	217098	217099	29	0.9943
chr1	217145	217146	26	0.849
chr1	217191	217192	35	0.7982
chr1	217246	217247	34	0.8513
chr1	217271	217272	36	0.8393
chr1	217305	217306	36	0.762
chr1	217321	217322	30	0.7151
chr1	217330	217331	33	0.9849
chr1	217344	217345	31	0.8271
chr1	217354	217355	35	0.95
chr1	217371	217372	25	0.8109
chr1	217404	217405	22	0.9228
chr1	217407	217408	33	0.9841
chr1	217432	217433	26	0.8511
chr1	217469	217470	26	0.8002
chr1	217507	217508	30	0.6939
chr1	217532	217533	35	0.9128
chr1	217563	217564	32	0.9721
chr1	217600	217601	22	0.9024
chr1	217610	217611	32	0.8591
chr1	217651	217652	32	0.8553
chr1	217658	217659	30	0.8369
chr1	217664	217665	30	0.8713
chr1	217712	217713	31	0.8527
chr1	217759	217760	24	0.8992
chr1	217839	217840	33	0.8534
chr1	217874	217875	33	0.8574
chr1	217902	217903	26	0.8694
chr1	217930	217931	30	0.7794
chr1	217968	217969	28	0.8418
chr1	217974	217975	21	0.9126
chr1	217984	217985	39	0.9174
chr1	218006	218007	40	0.7524
chr1	218018	218019	36	0.6992
chr1	218020	218021	20	0.9316
chr1	219080	219081	34	0.6447
chr1	219395	219396	32	0.7249
chr1	219590	219591	25	0.6261
chr1	219748	219749	28	0.5183
chr1	222887	222888	23	0.351
chr1	223359	223360	30	0.6235
chr1	223851	223852	32	0.3381
chr1	223908	223909	36	0.3701
chr1	223968	223969	26	0.3773
chr1	224018	224019	24	0.4278
chr1	225711	225712	35	0.3108
chr1	225749	225750	28	0.182
chr1	225777	225778	42	0.329
chr1	225818	225819	29	0.1692
chr1	228221	228222	26	0.1726
chr1	228599	228600	29	0.1707
chr1	228803	228804	36	0.0935
chr1	229100	229101	30	0.0955
chr1	229181	229182	31	0.056
chr1	230325	230326	29	0.7098
chr1	230455	230456	25	0.7072
chr1	230730	230731	38	0.7758
chr1	230992	230993	27	0.5895
chr1	231289	231290	27	0.8066
chr1	231368	231369	29	0.6137
chr1	233126	233127	29	0.5484
chr1	233242	233243	27	0.3525
chr1	233681	233682	34	0.5364
chr1	233920	233921	29	0.4419
chr1	234002	234003	22	0.5474
chr1	245156	245157	22	0.0119
chr1	245398	245399	30	0.0765
chr1	245489	245490	25	0.0466
chr1	245888	245889	30	0.1037
chr1	246022	246023	22	0.0187
chr1	248705	248706	28	0.4964
chr1	248896	248897	28	0.2117
chr1	249042	249043	25	0.3102
chr1	249540	249541	24	0.3089
chr1	251676	251677	26	0.4224
chr1	251720	251721	26	0.3753
chr1	251748	251749	21	0.4196
chr1	251789	251790	30	0.3899
chr1	254918	254919	27	0.8596
chr1	255363	255364	27	0.8357
chr1	255757	255758	29	0.7056
chr1	255817	255818	35	0.846
chr1	262383	262384	24	0.8877
chr1	262462	262463	27	0.6762
chr1	262799	262800	29	0.8283
chr1	263060	263061	28	0.6234
chr1	264968	264969	29	0.9532
chr1	265451	265452	31	1.0
chr1	265690	265691	21	1.0
chr1	265751	265752	23	1.0
chr1	265809	265810	26	1.0
chr1	271530	271531	35	0.6597
chr1	271969	271970	27	0.6119
chr1	272182	272183	36	0.5574
chr1	272284	272285	28	0.6068
chr1	272357	272358	37	0.5058
