chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	24	36
1	100498	+	CG	8	27
1	100915	+	CG	16	24
1	101005	+	CG	18	33
1	109610	+	CG	12	29
1	109679	+	CG	15	33
1	109784	+	CG	11	33
1	110139	+	CG	11	26
1	111833	+	CG	11	27
1	111862	+	CG	15	32
1	111864	+	CG	21	30
1	111899	+	CG	14	28
1	114313	+	CG	11	30
1	114740	+	CG	8	26
1	115133	+	CG	2	27
1	115208	+	CG	5	26
1	121699	+	CG	8	21
1	121774	+	CG	11	35
1	121957	+	CG	3	26
1	122201	+	CG	15	26
1	125700	+	CG	20	30
1	125703	+	CG	17	25
1	125744	+	CG	24	40
1	125755	+	CG	13	28
1	127337	+	CG	6	40
1	127352	+	CG	9	37
1	127429	+	CG	7	28
1	129602	+	CG	3	26
1	130034	+	CG	12	37
1	130451	+	CG	7	29
1	131228	+	CG	15	29
1	131653	+	CG	23	44
1	131970	+	CG	16	41
1	132158	+	CG	10	28
1	134051	+	CG	7	26
1	134348	+	CG	13	29
1	134636	+	CG	7	23
1	134909	+	CG	9	35
1	136165	+	CG	12	29
1	136259	+	CG	5	26
1	136451	+	CG	6	28
1	136731	+	CG	7	27
1	136989	+	CG	7	33
1	138761	+	CG	5	22
1	139064	+	CG	6	24
1	139549	+	CG	7	25
1	139682	+	CG	11	33
1	141334	+	CG	31	31
1	141558	+	CG	33	33
1	141751	+	CG	35	35
1	142106	+	CG	37	37
1	142335	+	CG	25	25
1	142389	+	CG	40	40
1	143951	+	CG	21	34
1	143969	+	CG	14	25
1	143985	+	CG	23	35
1	143994	+	CG	16	30
1	160635	+	CG	26	26
1	160692	+	CG	32	32
1	160877	+	CG	32	32
1	161201	+	CG	24	30
1	161282	+	CG	25	25
1	163124	+	CG	10	30
1	163364	+	CG	10	29
1	163469	+	CG	13	29
1	163864	+	CG	16	27
1	169714	+	CG	19	37
1	169877	+	CG	19	33
1	170241	+	CG	17	30
1	170313	+	CG	15	28
1	170735	+	CG	21	28
1	177572	+	CG	7	27
1	177575	+	CG	9	21
1	177606	+	CG	11	34
1	177612	+	CG	6	26
1	180237	+	CG	22	32
1	180614	+	CG	9	22
1	180877	+	CG	9	32
1	181075	+	CG	17	33
1	182108	+	CG	4	31
1	182245	+	CG	5	22
1	182705	+	CG	8	31
1	183071	+	CG	12	28
1	189232	+	CG	36	36
1	189507	+	CG	0	30
1	189793	+	CG	0	24
1	189987	+	CG	25	25
1	190136	+	CG	0	20
1	190990	+	CG	6	30
1	191110	+	CG	8	33
1	191606	+	CG	5	16
1	191784	+	CG	16	33
1	192626	+	CG	8	35
1	192821	+	CG	21	32
1	192913	+	CG	23	33
1	193353	+	CG	18	32
1	194630	+	CG	8	33
1	195105	+	CG	3	30
1	195378	+	CG	7	37
1	195439	+	CG	9	29
1	196498	+	CG	8	28
1	196545	+	CG	4	29
1	196588	+	CG	7	35
1	196611	+	CG	8	39
