chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	16	36
1	100498	+	CG	12	19
1	100915	+	CG	24	41
1	101005	+	CG	21	30
1	109610	+	CG	6	19
1	109679	+	CG	6	27
1	109784	+	CG	11	32
1	110139	+	CG	10	32
1	111833	+	CG	10	31
1	111862	+	CG	10	27
1	111864	+	CG	21	28
1	111899	+	CG	14	32
1	114313	+	CG	2	26
1	114740	+	CG	6	31
1	115133	+	CG	2	17
1	115208	+	CG	5	23
1	121699	+	CG	9	20
1	121774	+	CG	10	31
1	121957	+	CG	10	31
1	122201	+	CG	11	31
1	125700	+	CG	14	26
1	125703	+	CG	13	27
1	125744	+	CG	14	26
1	125755	+	CG	18	32
1	127337	+	CG	7	29
1	127352	+	CG	7	27
1	127429	+	CG	14	34
1	129602	+	CG	6	31
1	130034	+	CG	6	30
1	130451	+	CG	10	40
1	131228	+	CG	10	34
1	131653	+	CG	16	27
1	131970	+	CG	11	26
1	132158	+	CG	11	17
1	134051	+	CG	9	30
1	134348	+	CG	8	27
1	134909	+	CG	7	28
1	136165	+	CG	6	24
1	136259	+	CG	10	36
1	136451	+	CG	7	31
1	136731	+	CG	6	27
1	136843	+	CG	4	21
1	136989	+	CG	3	26
1	138761	+	CG	9	22
1	139064	+	CG	4	24
1	139549	+	CG	11	37
1	139682	+	CG	12	28
1	141334	+	CG	20	23
1	141558	+	CG	19	31
1	141751	+	CG	16	27
1	142106	+	CG	21	31
1	142335	+	CG	16	23
1	142389	+	CG	11	17
1	143951	+	CG	17	22
1	143969	+	CG	15	23
1	143985	+	CG	25	35
1	143994	+	CG	11	24
1	160635	+	CG	21	26
1	160692	+	CG	24	31
1	160877	+	CG	20	29
1	161201	+	CG	16	24
1	161282	+	CG	16	25
1	161390	+	CG	14	25
1	163124	+	CG	10	33
1	163364	+	CG	24	34
1	163469	+	CG	9	26
1	163864	+	CG	17	29
1	169714	+	CG	10	26
1	169877	+	CG	25	35
1	170313	+	CG	16	28
1	170735	+	CG	10	19
1	177572	+	CG	11	27
1	177575	+	CG	7	27
1	177612	+	CG	9	35
1	180237	+	CG	7	26
1	180614	+	CG	21	34
1	180877	+	CG	9	32
1	181075	+	CG	15	29
1	182108	+	CG	11	37
1	182245	+	CG	1	28
1	182705	+	CG	5	32
1	183071	+	CG	20	42
1	189232	+	CG	8	23
1	189507	+	CG	16	24
1	189793	+	CG	0	30
1	189987	+	CG	27	30
1	190136	+	CG	13	31
1	190990	+	CG	13	30
1	191110	+	CG	11	32
1	191606	+	CG	10	27
1	191784	+	CG	4	29
1	192626	+	CG	10	25
1	192821	+	CG	18	27
1	192913	+	CG	17	26
1	193353	+	CG	11	26
1	194630	+	CG	6	22
1	195105	+	CG	5	35
1	195378	+	CG	9	27
1	195439	+	CG	11	30
1	196498	+	CG	4	27
1	196545	+	CG	2	22
1	196588	+	CG	9	32
1	196611	+	CG	2	26
1	198042	+	CG	10	22
1	198739	+	CG	18	33
1	199001	+	CG	17	33
1	200983	+	CG	15	35
1	201073	+	CG	8	27
1	201132	+	CG	5	30
1	201313	+	CG	7	26
1	203040	+	CG	18	35
1	203462	+	CG	10	31
1	203823	+	CG	11	31
1	203940	+	CG	10	27
1	210683	+	CG	11	30
1	210860	+	CG	9	27
1	210968	+	CG	8	28
1	211031	+	CG	5	25
1	211554	+	CG	5	30
1	211635	+	CG	10	24
1	212381	+	CG	12	25
1	212682	+	CG	6	23
1	212834	+	CG	9	32
1	212946	+	CG	15	34
1	214060	+	CG	19	26
1	214475	+	CG	20	26
1	214752	+	CG	16	28
1	214846	+	CG	21	31
1	215070	+	CG	25	40
1	216962	+	CG	19	28
1	216998	+	CG	22	32
1	217018	+	CG	13	35
1	217039	+	CG	12	20
1	217051	+	CG	19	33
1	217098	+	CG	18	30
1	217145	+	CG	19	28
1	217191	+	CG	22	38
1	217233	+	CG	13	24
1	217246	+	CG	11	24
1	217271	+	CG	17	31
1	217321	+	CG	7	12
1	217330	+	CG	11	27
1	217344	+	CG	20	34
1	217354	+	CG	19	30
1	217371	+	CG	19	28
1	217404	+	CG	9	16
1	217407	+	CG	15	32
1	217432	+	CG	13	29
1	217469	+	CG	13	31
1	217507	+	CG	19	29
1	217532	+	CG	7	19
1	217563	+	CG	7	19
1	217600	+	CG	20	31
1	217610	+	CG	11	28
1	217651	+	CG	20	37
1	217658	+	CG	12	20
1	217664	+	CG	15	28
1	217712	+	CG	18	27
1	217759	+	CG	19	35
1	217807	+	CG	12	24
1	217874	+	CG	11	30
1	217902	+	CG	23	35
1	217930	+	CG	18	30
1	217968	+	CG	18	33
1	217974	+	CG	18	28
1	217984	+	CG	18	29
1	218006	+	CG	15	25
1	218018	+	CG	13	36
1	218020	+	CG	20	31
1	218853	+	CG	17	26
1	219080	+	CG	20	27
1	219395	+	CG	17	33
1	219590	+	CG	20	32
1	219748	+	CG	16	31
1	222887	+	CG	26	35
1	223359	+	CG	21	27
1	223851	+	CG	23	39
1	223908	+	CG	18	29
1	223968	+	CG	16	25
1	224018	+	CG	19	26
1	225711	+	CG	5	26
1	225749	+	CG	7	33
1	225777	+	CG	7	29
1	225818	+	CG	9	25
1	228221	+	CG	11	34
1	228599	+	CG	12	32
1	228803	+	CG	13	38
1	229100	+	CG	15	26
1	229181	+	CG	11	28
1	230325	+	CG	24	35
1	230455	+	CG	21	27
1	230730	+	CG	24	31
1	230992	+	CG	15	27
1	231289	+	CG	25	30
1	231368	+	CG	26	34
1	233126	+	CG	14	26
1	233242	+	CG	13	27
1	233681	+	CG	12	30
1	233920	+	CG	13	27
1	234002	+	CG	15	29
1	245156	+	CG	17	35
1	245398	+	CG	4	32
1	245489	+	CG	9	31
1	245888	+	CG	5	28
1	246022	+	CG	10	34
1	248705	+	CG	6	27
1	248896	+	CG	7	29
1	249042	+	CG	3	29
1	249540	+	CG	9	34
1	251676	+	CG	7	22
1	251720	+	CG	9	26
1	251748	+	CG	19	37
1	251789	+	CG	10	30
1	254918	+	CG	27	29
1	255757	+	CG	27	29
1	255817	+	CG	21	25
1	262383	+	CG	15	24
1	262462	+	CG	20	28
1	262799	+	CG	25	36
1	263060	+	CG	17	30
1	264968	+	CG	23	30
1	265451	+	CG	22	27
1	265690	+	CG	22	28
1	265751	+	CG	20	26
1	265809	+	CG	16	20
1	271530	+	CG	19	25
1	271969	+	CG	21	28
1	272182	+	CG	24	32
1	272284	+	CG	25	32
1	272357	+	CG	21	25
