chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	21	36
1	100498	+	CG	8	26
1	100915	+	CG	21	30
1	101005	+	CG	17	26
1	109610	+	CG	11	27
1	109679	+	CG	12	26
1	109784	+	CG	8	26
1	110139	+	CG	13	30
1	111833	+	CG	9	22
1	111862	+	CG	13	27
1	111864	+	CG	19	28
1	111899	+	CG	16	29
1	114313	+	CG	11	30
1	114740	+	CG	7	32
1	115133	+	CG	3	37
1	115208	+	CG	6	29
1	121699	+	CG	12	27
1	121957	+	CG	2	31
1	122201	+	CG	16	29
1	125700	+	CG	14	22
1	125703	+	CG	18	29
1	125744	+	CG	19	31
1	125755	+	CG	14	27
1	127337	+	CG	4	22
1	127352	+	CG	8	27
1	127383	+	CG	1	34
1	127429	+	CG	7	30
1	129602	+	CG	3	32
1	130034	+	CG	8	28
1	130451	+	CG	7	37
1	131228	+	CG	14	27
1	131653	+	CG	15	27
1	131970	+	CG	12	29
1	132158	+	CG	12	35
1	134051	+	CG	8	37
1	134348	+	CG	13	30
1	134636	+	CG	15	42
1	134909	+	CG	8	31
1	136165	+	CG	12	30
1	136259	+	CG	6	33
1	136451	+	CG	6	26
1	136731	+	CG	7	31
1	136843	+	CG	10	42
1	136989	+	CG	8	29
1	138761	+	CG	8	25
1	139064	+	CG	7	30
1	139549	+	CG	7	24
1	139682	+	CG	13	36
1	141558	+	CG	32	32
1	141751	+	CG	28	28
1	142106	+	CG	38	38
1	142389	+	CG	35	35
1	143951	+	CG	23	34
1	143969	+	CG	22	39
1	143985	+	CG	20	30
1	143994	+	CG	17	29
1	160635	+	CG	29	29
1	160692	+	CG	19	19
1	160877	+	CG	25	25
1	161201	+	CG	31	31
1	161282	+	CG	27	27
1	163124	+	CG	6	19
1	163364	+	CG	13	37
1	163469	+	CG	12	35
1	163864	+	CG	13	24
1	169714	+	CG	16	34
1	169877	+	CG	18	32
1	170313	+	CG	14	25
1	170735	+	CG	19	26
1	177572	+	CG	9	37
1	177575	+	CG	18	36
1	177606	+	CG	14	34
1	177612	+	CG	6	31
1	180237	+	CG	16	24
1	180614	+	CG	17	38
1	180877	+	CG	7	25
1	181075	+	CG	10	20
1	182108	+	CG	5	29
1	182245	+	CG	8	26
1	182705	+	CG	6	27
1	183071	+	CG	13	29
1	189232	+	CG	37	37
1	189507	+	CG	25	25
