chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	19	33
1	100498	+	CG	8	29
1	100915	+	CG	28	41
1	101005	+	CG	22	35
1	109610	+	CG	16	32
1	109679	+	CG	7	20
1	109784	+	CG	14	37
1	110139	+	CG	10	24
1	111833	+	CG	10	23
1	111862	+	CG	13	28
1	111864	+	CG	20	31
1	111899	+	CG	18	36
1	114313	+	CG	11	30
1	114740	+	CG	8	32
1	115133	+	CG	5	33
1	115208	+	CG	4	30
1	121699	+	CG	15	32
1	121774	+	CG	10	28
1	121957	+	CG	5	31
1	122201	+	CG	15	27
1	125700	+	CG	21	35
1	125703	+	CG	27	44
1	125744	+	CG	20	35
1	125755	+	CG	16	35
1	127337	+	CG	4	30
1	127352	+	CG	9	38
1	127383	+	CG	3	27
1	127429	+	CG	6	29
1	129602	+	CG	5	39
1	130034	+	CG	8	31
1	130451	+	CG	5	24
1	131228	+	CG	12	23
1	131653	+	CG	14	27
1	131970	+	CG	8	19
1	132158	+	CG	10	28
1	134051	+	CG	6	27
1	134348	+	CG	12	28
1	134636	+	CG	9	30
1	134909	+	CG	7	24
1	136165	+	CG	11	34
1	136259	+	CG	4	28
1	136451	+	CG	5	29
1	136731	+	CG	6	32
1	136843	+	CG	8	30
1	136989	+	CG	8	32
1	138761	+	CG	6	22
1	139064	+	CG	6	25
1	139549	+	CG	4	22
1	139682	+	CG	11	32
1	141334	+	CG	32	32
1	141558	+	CG	34	34
1	141751	+	CG	42	42
1	142106	+	CG	26	26
1	142335	+	CG	19	19
1	142389	+	CG	29	29
1	143951	+	CG	24	34
1	143969	+	CG	20	33
1	143985	+	CG	17	30
1	143994	+	CG	15	24
1	160635	+	CG	29	29
1	160692	+	CG	24	24
1	160877	+	CG	21	21
1	161201	+	CG	28	28
1	161282	+	CG	36	36
1	161390	+	CG	28	28
1	163124	+	CG	9	33
1	163364	+	CG	12	30
1	163469	+	CG	13	31
1	163864	+	CG	16	27
1	169714	+	CG	12	25
1	169877	+	CG	17	34
1	170241	+	CG	17	27
1	170313	+	CG	17	31
1	170735	+	CG	19	28
1	177572	+	CG	9	29
1	177575	+	CG	13	32
1	177606	+	CG	14	33
1	177612	+	CG	5	28
1	180237	+	CG	19	32
1	180614	+	CG	14	37
1	180877	+	CG	10	31
1	181075	+	CG	19	36
1	182108	+	CG	3	34
1	182245	+	CG	7	29
1	182705	+	CG	9	31
1	183071	+	CG	14	30
1	189232	+	CG	34	34
1	189507	+	CG	0	26
1	189793	+	CG	26	26
1	189987	+	CG	23	23
1	190136	+	CG	20	20
1	190990	+	CG	7	33
1	191110	+	CG	8	31
1	191606	+	CG	8	24
1	191784	+	CG	16	33
1	192626	+	CG	8	25
1	192913	+	CG	13	20
1	193353	+	CG	16	32
1	194630	+	CG	5	27
1	195105	+	CG	2	27
1	195378	+	CG	6	28
1	195439	+	CG	12	32
1	196498	+	CG	10	33
1	196545	+	CG	4	29
1	196588	+	CG	5	32
1	196611	+	CG	8	35
1	198042	+	CG	15	26
1	198333	+	CG	15	29
1	198739	+	CG	9	18
1	199001	+	CG	17	33
1	200983	+	CG	12	31
1	201073	+	CG	13	22
1	201132	+	CG	7	26
1	201313	+	CG	12	31
1	203040	+	CG	11	24
1	203462	+	CG	6	25
1	203823	+	CG	7	23
1	203940	+	CG	15	34
1	210683	+	CG	13	26
1	210860	+	CG	13	25
1	210968	+	CG	16	33
1	211031	+	CG	19	26
1	211554	+	CG	21	28
1	212381	+	CG	14	35
1	212682	+	CG	7	22
1	212834	+	CG	11	33
1	212946	+	CG	10	28
1	214060	+	CG	14	25
1	214475	+	CG	31	41
1	214752	+	CG	22	31
1	214846	+	CG	17	27
1	215070	+	CG	11	20
1	216962	+	CG	25	27
1	216998	+	CG	25	27
1	217018	+	CG	21	25
1	217039	+	CG	13	18
1	217051	+	CG	24	25
1	217145	+	CG	29	35
1	217191	+	CG	21	27
1	217233	+	CG	23	31
1	217246	+	CG	15	18
1	217271	+	CG	23	29
1	217321	+	CG	18	27
1	217330	+	CG	21	24
1	217344	+	CG	23	29
1	217354	+	CG	27	29
1	217404	+	CG	34	36
1	217407	+	CG	27	29
