chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	13	30
1	100498	+	CG	21	31
1	100915	+	CG	17	31
1	101005	+	CG	19	31
1	109610	+	CG	8	26
1	109679	+	CG	11	35
1	109784	+	CG	11	28
1	110139	+	CG	10	34
1	111833	+	CG	11	29
1	111862	+	CG	14	34
1	111864	+	CG	23	31
1	111899	+	CG	13	31
1	114313	+	CG	1	37
1	114740	+	CG	6	28
1	115208	+	CG	6	36
1	121699	+	CG	14	27
1	121957	+	CG	9	32
1	122201	+	CG	14	34
1	125700	+	CG	15	28
1	125703	+	CG	17	31
1	125744	+	CG	12	23
1	125755	+	CG	15	23
1	127337	+	CG	6	28
1	127352	+	CG	9	30
1	127429	+	CG	8	24
1	129602	+	CG	6	32
1	130034	+	CG	5	24
1	130451	+	CG	6	23
1	131228	+	CG	8	27
1	131653	+	CG	14	26
1	131970	+	CG	15	33
1	132158	+	CG	15	24
1	134051	+	CG	8	31
1	134348	+	CG	9	30
1	134636	+	CG	4	24
1	134909	+	CG	5	31
1	136165	+	CG	5	33
1	136259	+	CG	7	28
1	136451	+	CG	7	35
1	136731	+	CG	9	32
1	136843	+	CG	6	27
1	136989	+	CG	4	26
1	138761	+	CG	14	33
1	139549	+	CG	7	25
1	139682	+	CG	18	35
1	141558	+	CG	22	34
1	141751	+	CG	20	31
1	142106	+	CG	15	25
1	142335	+	CG	17	24
1	142389	+	CG	20	28
1	143951	+	CG	21	26
1	143969	+	CG	18	24
1	143985	+	CG	17	27
1	143994	+	CG	11	26
1	160635	+	CG	29	33
1	160692	+	CG	22	29
1	160877	+	CG	13	20
1	161201	+	CG	20	28
1	161282	+	CG	17	25
1	161390	+	CG	16	31
1	163124	+	CG	7	25
1	163364	+	CG	19	27
1	163469	+	CG	11	28
1	163864	+	CG	15	26
1	169714	+	CG	13	29
1	169877	+	CG	20	30
1	170241	+	CG	12	25
1	170313	+	CG	15	28
1	170735	+	CG	17	32
1	177572	+	CG	11	31
1	177575	+	CG	9	30
1	177612	+	CG	6	24
1	180237	+	CG	12	34
1	180614	+	CG	18	29
1	180877	+	CG	8	31
1	181075	+	CG	11	23
1	182108	+	CG	8	33
1	182245	+	CG	4	28
1	182705	+	CG	6	31
1	183071	+	CG	15	28
1	189232	+	CG	15	21
1	189507	+	CG	28	29
1	189793	+	CG	13	26
1	189987	+	CG	14	36
1	190136	+	CG	24	27
1	190990	+	CG	12	29
1	191110	+	CG	8	28
1	191606	+	CG	13	31
1	191784	+	CG	2	25
1	192626	+	CG	18	35
1	192821	+	CG	22	32
1	192913	+	CG	22	34
1	193353	+	CG	15	36
1	194630	+	CG	12	35
1	195105	+	CG	2	29
1	195378	+	CG	6	27
1	195439	+	CG	9	27
1	196498	+	CG	5	30
1	196545	+	CG	2	32
1	196588	+	CG	10	34
1	196611	+	CG	4	35
1	198042	+	CG	15	30
1	198739	+	CG	21	38
1	199001	+	CG	17	33
1	200983	+	CG	10	26
1	201073	+	CG	9	29
1	201132	+	CG	5	35
1	201313	+	CG	10	31
1	203040	+	CG	14	28
1	203462	+	CG	7	23
1	203823	+	CG	10	33
1	210683	+	CG	11	30
1	210860	+	CG	10	29
1	210968	+	CG	8	29
1	211031	+	CG	7	30
1	211457	+	CG	11	40
1	211554	+	CG	8	36
1	212381	+	CG	14	27
1	212682	+	CG	11	39
1	212834	+	CG	8	32
1	212946	+	CG	22	41
1	214060	+	CG	15	21
1	214475	+	CG	16	19
1	214846	+	CG	23	34
1	215070	+	CG	17	26
1	216962	+	CG	23	35
1	216998	+	CG	27	38
1	217018	+	CG	18	36
1	217039	+	CG	22	32
1	217145	+	CG	24	33
1	217191	+	CG	14	25
1	217233	+	CG	14	28
1	217271	+	CG	24	40
1	217305	+	CG	12	33
1	217321	+	CG	14	30
1	217330	+	CG	15	30
1	217344	+	CG	21	33
1	217354	+	CG	18	31
1	217371	+	CG	27	42
1	217404	+	CG	21	35
1	217407	+	CG	13	28
1	217432	+	CG	15	31
1	217469	+	CG	13	30
1	217507	+	CG	19	27
1	217532	+	CG	14	37
1	217563	+	CG	9	23
1	217600	+	CG	15	22
1	217610	+	CG	17	38
1	217651	+	CG	14	28
1	217664	+	CG	17	30
1	217712	+	CG	19	27
1	217759	+	CG	10	20
1	217807	+	CG	16	28
1	217874	+	CG	11	30
1	217902	+	CG	14	23
1	217930	+	CG	18	29
1	217968	+	CG	18	31
1	217974	+	CG	22	34
1	218006	+	CG	17	30
1	218018	+	CG	11	26
1	218020	+	CG	22	35
1	219080	+	CG	22	30
1	219395	+	CG	12	25
1	219590	+	CG	14	23
1	219748	+	CG	17	29
1	222887	+	CG	29	38
1	223359	+	CG	27	35
1	223851	+	CG	19	32
1	223908	+	CG	17	28
1	223968	+	CG	21	33
1	224018	+	CG	24	32
1	225711	+	CG	9	30
1	225749	+	CG	9	37
1	225777	+	CG	7	23
1	225818	+	CG	11	29
1	228221	+	CG	10	28
1	228599	+	CG	12	32
1	228803	+	CG	9	27
1	229100	+	CG	22	34
1	229181	+	CG	12	36
1	230325	+	CG	19	27
1	230455	+	CG	22	27
1	230730	+	CG	24	30
1	230992	+	CG	21	37
1	231289	+	CG	24	31
1	231368	+	CG	21	28
1	233126	+	CG	18	37
1	233242	+	CG	14	28
1	233681	+	CG	9	25
1	233920	+	CG	12	27
1	234002	+	CG	16	31
1	245156	+	CG	16	28
1	245398	+	CG	4	42
1	245489	+	CG	10	34
1	245888	+	CG	7	30
1	248705	+	CG	8	36
1	248896	+	CG	8	34
1	249042	+	CG	3	26
1	249540	+	CG	6	23
1	251676	+	CG	11	34
1	251720	+	CG	9	26
1	251748	+	CG	18	33
1	251789	+	CG	12	32
1	254918	+	CG	32	34
1	255757	+	CG	28	31
1	255817	+	CG	31	36
1	262383	+	CG	18	30
1	262462	+	CG	16	23
1	262799	+	CG	27	35
1	263060	+	CG	16	29
1	264968	+	CG	22	28
1	265451	+	CG	19	25
1	265690	+	CG	22	28
1	265751	+	CG	23	30
1	265809	+	CG	22	27
1	271530	+	CG	13	18
1	271969	+	CG	25	30
1	272182	+	CG	28	37
1	272284	+	CG	23	29
1	272357	+	CG	25	30
