chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	20	31
1	100498	+	CG	11	33
1	100915	+	CG	27	37
1	101005	+	CG	21	33
1	109610	+	CG	15	33
1	109679	+	CG	12	30
1	109784	+	CG	9	26
1	110139	+	CG	8	23
1	111833	+	CG	7	24
1	111862	+	CG	9	21
1	111864	+	CG	18	26
1	111899	+	CG	20	41
1	114313	+	CG	13	35
1	114740	+	CG	7	25
1	115133	+	CG	4	36
1	115208	+	CG	4	38
1	121699	+	CG	10	24
1	121774	+	CG	11	39
1	121957	+	CG	6	36
1	122201	+	CG	10	18
1	125700	+	CG	15	26
1	125744	+	CG	18	32
1	125755	+	CG	16	32
1	127337	+	CG	4	28
1	127352	+	CG	9	28
1	127383	+	CG	2	24
1	127429	+	CG	7	30
1	129602	+	CG	3	30
1	130034	+	CG	7	26
1	130451	+	CG	8	32
1	131228	+	CG	11	21
1	131653	+	CG	21	39
1	131970	+	CG	12	29
1	132158	+	CG	12	35
1	134051	+	CG	5	27
1	134348	+	CG	13	35
1	134636	+	CG	10	29
1	134909	+	CG	11	33
1	136165	+	CG	12	31
1	136259	+	CG	5	31
1	136451	+	CG	7	27
1	136731	+	CG	4	23
1	136843	+	CG	6	30
1	136989	+	CG	5	23
1	138761	+	CG	7	22
1	139549	+	CG	8	34
1	139682	+	CG	14	37
1	141334	+	CG	29	29
1	141558	+	CG	28	28
1	141751	+	CG	27	27
1	142106	+	CG	30	30
1	142335	+	CG	33	33
1	142389	+	CG	25	25
1	143951	+	CG	20	29
1	143969	+	CG	18	33
1	143985	+	CG	22	34
1	143994	+	CG	15	26
1	160635	+	CG	32	32
1	160692	+	CG	36	36
1	160877	+	CG	30	30
1	161201	+	CG	24	24
1	161282	+	CG	20	20
1	161390	+	CG	33	33
1	163124	+	CG	11	30
1	163364	+	CG	11	33
1	163469	+	CG	9	23
1	163864	+	CG	13	22
1	169714	+	CG	12	23
1	169877	+	CG	19	33
1	170241	+	CG	14	23
1	170313	+	CG	20	35
1	170735	+	CG	23	33
1	177572	+	CG	9	28
1	177575	+	CG	15	31
1	177612	+	CG	8	39
1	180237	+	CG	13	23
1	180614	+	CG	15	36
1	180877	+	CG	11	28
1	181075	+	CG	15	28
1	182108	+	CG	6	31
1	182245	+	CG	8	27
1	182705	+	CG	7	31
1	183071	+	CG	11	31
1	189232	+	CG	28	28
1	189507	+	CG	0	33
1	189793	+	CG	0	29
1	189987	+	CG	31	31
1	190136	+	CG	30	30
1	190990	+	CG	6	29
1	191110	+	CG	6	26
1	191606	+	CG	9	31
1	191784	+	CG	13	29
1	192626	+	CG	10	28
1	192821	+	CG	15	24
1	192913	+	CG	18	27
1	193353	+	CG	15	28
1	194630	+	CG	5	28
1	195105	+	CG	1	30
1	195378	+	CG	5	26
1	195439	+	CG	9	32
1	196498	+	CG	6	21
1	196545	+	CG	6	38
1	196588	+	CG	6	29
1	196611	+	CG	7	32
1	198042	+	CG	17	31
1	198333	+	CG	17	34
1	198739	+	CG	17	34
1	199001	+	CG	18	33
1	200983	+	CG	8	22
1	201073	+	CG	17	35
1	201132	+	CG	6	25
1	201313	+	CG	12	35
1	203040	+	CG	11	22
1	203462	+	CG	8	27
1	203823	+	CG	14	40
1	203940	+	CG	17	36
1	210683	+	CG	13	29
1	210860	+	CG	16	29
1	210968	+	CG	15	35
1	211031	+	CG	21	33
1	211457	+	CG	16	27
1	211554	+	CG	20	30
1	211635	+	CG	16	32
1	212381	+	CG	12	29
1	212682	+	CG	11	31
1	212834	+	CG	10	32
1	212946	+	CG	8	30
1	214060	+	CG	21	34
1	214475	+	CG	23	29
1	214846	+	CG	19	31
1	215070	+	CG	17	29
1	216962	+	CG	28	30
1	216998	+	CG	21	23
1	217018	+	CG	21	25
1	217039	+	CG	23	30
1	217051	+	CG	26	27
1	217098	+	CG	32	34
1	217145	+	CG	21	26
1	217191	+	CG	19	24
1	217246	+	CG	33	37
1	217271	+	CG	26	33
1	217321	+	CG	13	19
1	217330	+	CG	28	29
1	217344	+	CG	17	21
1	217354	+	CG	25	27
1	217371	+	CG	22	28
1	217404	+	CG	28	31
1	217407	+	CG	27	29
1	217432	+	CG	21	26
1	217469	+	CG	19	22
1	217507	+	CG	26	38
1	217532	+	CG	26	30
1	217563	+	CG	19	21
1	217600	+	CG	26	29
1	217610	+	CG	24	28
1	217651	+	CG	26	32
1	217658	+	CG	26	32
1	217664	+	CG	19	22
1	217685	+	CG	26	33
1	217712	+	CG	26	31
1	217759	+	CG	22	25
1	217839	+	CG	33	37
1	217874	+	CG	16	19
1	217902	+	CG	21	24
1	217930	+	CG	16	20
1	217974	+	CG	25	29
1	217984	+	CG	26	30
1	218006	+	CG	21	31
1	218018	+	CG	24	33
1	218020	+	CG	29	34
1	219080	+	CG	15	24
1	219395	+	CG	24	34
1	219590	+	CG	18	32
1	219748	+	CG	18	33
1	222887	+	CG	9	29
1	223359	+	CG	15	25
1	223851	+	CG	11	38
1	223908	+	CG	9	28
1	223968	+	CG	9	24
1	224018	+	CG	10	24
1	225711	+	CG	5	17
1	225749	+	CG	4	27
1	225777	+	CG	9	27
1	225818	+	CG	8	30
1	228221	+	CG	4	31
1	228599	+	CG	5	29
1	228803	+	CG	2	23
1	229100	+	CG	1	22
1	229181	+	CG	2	22
1	230325	+	CG	9	14
1	230455	+	CG	19	25
1	230992	+	CG	15	26
1	231289	+	CG	24	30
1	231368	+	CG	12	21
1	233126	+	CG	14	27
1	233242	+	CG	10	32
1	233681	+	CG	18	35
1	233920	+	CG	11	26
1	234002	+	CG	17	28
1	245156	+	CG	1	29
1	245398	+	CG	2	35
1	245489	+	CG	1	28
1	245888	+	CG	2	24
1	246022	+	CG	3	32
1	248705	+	CG	12	31
1	248896	+	CG	8	30
1	249042	+	CG	9	29
1	249540	+	CG	6	27
1	251676	+	CG	9	25
1	251720	+	CG	9	37
1	251748	+	CG	13	33
1	251789	+	CG	11	29
1	254918	+	CG	26	31
1	255363	+	CG	27	32
1	255757	+	CG	17	24
1	255817	+	CG	28	34
1	262383	+	CG	20	23
1	262462	+	CG	24	35
1	262799	+	CG	24	30
1	263060	+	CG	23	35
1	264968	+	CG	36	37
1	265451	+	CG	38	38
1	265690	+	CG	35	35
1	265751	+	CG	29	29
1	265809	+	CG	31	31
1	271530	+	CG	21	37
1	271969	+	CG	13	23
1	272182	+	CG	23	45
1	272284	+	CG	16	25
1	272357	+	CG	15	30
