chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	17	26
1	100498	+	CG	10	29
1	100915	+	CG	20	28
1	101005	+	CG	16	26
1	109610	+	CG	17	34
1	109679	+	CG	11	25
1	109784	+	CG	7	24
1	110139	+	CG	16	34
1	111833	+	CG	10	26
1	111862	+	CG	12	28
1	111864	+	CG	21	31
1	111899	+	CG	16	31
1	114313	+	CG	7	24
1	114740	+	CG	10	36
1	115133	+	CG	2	28
1	115208	+	CG	6	31
1	121699	+	CG	12	27
1	121957	+	CG	4	26
1	122201	+	CG	15	30
1	125700	+	CG	20	31
1	125703	+	CG	20	30
1	125744	+	CG	13	22
1	125755	+	CG	11	24
1	127337	+	CG	3	28
1	127352	+	CG	10	35
1	127383	+	CG	2	34
1	127429	+	CG	11	38
1	129602	+	CG	3	28
1	130034	+	CG	9	27
1	130451	+	CG	6	26
1	131228	+	CG	13	25
1	131653	+	CG	14	29
1	131970	+	CG	12	31
1	132158	+	CG	9	25
1	134051	+	CG	9	37
1	134348	+	CG	10	23
1	134636	+	CG	7	22
1	134909	+	CG	9	36
1	136165	+	CG	13	37
1	136259	+	CG	7	38
1	136451	+	CG	7	33
1	136731	+	CG	6	30
1	136989	+	CG	6	23
1	138761	+	CG	10	31
1	139064	+	CG	5	24
1	139549	+	CG	8	31
1	139682	+	CG	7	26
1	141334	+	CG	34	34
1	141558	+	CG	32	32
1	141751	+	CG	28	28
1	142106	+	CG	32	32
1	142335	+	CG	31	31
1	142389	+	CG	28	28
1	143951	+	CG	18	28
1	143969	+	CG	11	20
1	143985	+	CG	18	29
1	143994	+	CG	20	33
1	160635	+	CG	32	32
1	160692	+	CG	27	27
1	160877	+	CG	37	37
1	161201	+	CG	30	30
1	161282	+	CG	25	25
1	163124	+	CG	10	34
1	163364	+	CG	11	30
1	163469	+	CG	13	31
1	163864	+	CG	16	27
1	169714	+	CG	12	22
1	169877	+	CG	17	31
1	170241	+	CG	13	23
1	170313	+	CG	19	33
1	170735	+	CG	21	30
1	177572	+	CG	8	34
1	177575	+	CG	14	32
1	177612	+	CG	6	31
1	180237	+	CG	20	32
1	180614	+	CG	7	17
1	180877	+	CG	8	29
1	181075	+	CG	10	19
1	182108	+	CG	6	30
1	182245	+	CG	6	24
1	182705	+	CG	7	36
1	183071	+	CG	11	26
1	189232	+	CG	36	36
1	189507	+	CG	0	32
1	189793	+	CG	29	29
1	189987	+	CG	0	33
1	190990	+	CG	11	45
1	191110	+	CG	6	29
1	191606	+	CG	11	31
1	191784	+	CG	16	31
1	192626	+	CG	8	27
1	192821	+	CG	20	30
1	192913	+	CG	22	31
1	193353	+	CG	18	32
1	194630	+	CG	8	30
1	195105	+	CG	1	23
1	195378	+	CG	7	34
1	195439	+	CG	9	31
1	196498	+	CG	9	31
1	196545	+	CG	5	29
1	196588	+	CG	5	31
1	196611	+	CG	5	25
1	198042	+	CG	13	24
1	198333	+	CG	18	34
1	198739	+	CG	10	19
1	199001	+	CG	17	31
1	200983	+	CG	8	23
1	201073	+	CG	18	34
1	201132	+	CG	9	28
