1	100000	+	CG	17	30
1	100498	+	CG	23	36
1	100915	+	CG	19	31
1	101005	+	CG	21	32
1	109610	+	CG	10	29
1	109679	+	CG	9	30
1	109784	+	CG	7	22
1	110139	+	CG	10	30
1	111833	+	CG	10	28
1	111862	+	CG	13	33
1	111864	+	CG	29	38
1	111899	+	CG	17	34
1	114313	+	CG	2	28
1	114740	+	CG	7	28
1	115133	+	CG	0	21
1	115208	+	CG	6	28
1	121699	+	CG	15	33
1	121957	+	CG	10	29
1	122201	+	CG	10	29
1	125700	+	CG	16	29
1	125703	+	CG	17	32
1	125744	+	CG	21	34
1	125755	+	CG	19	29
1	127337	+	CG	6	30
1	127352	+	CG	9	34
1	127429	+	CG	8	27
1	129602	+	CG	10	41
1	130034	+	CG	6	32
1	130451	+	CG	11	32
1	131228	+	CG	8	27
1	131653	+	CG	16	28
1	131970	+	CG	11	25
1	132158	+	CG	8	16
1	134051	+	CG	6	22
1	134348	+	CG	7	25
1	134636	+	CG	7	28
1	134909	+	CG	6	29
1	136165	+	CG	5	33
1	136259	+	CG	7	26
1	136451	+	CG	8	36
1	136731	+	CG	6	23
1	136843	+	CG	4	18
1	136989	+	CG	4	26
1	138761	+	CG	10	25
1	139064	+	CG	5	25
1	139549	+	CG	9	30
1	139682	+	CG	16	35
1	141334	+	CG	28	32
1	141558	+	CG	18	26
1	141751	+	CG	22	38
1	142106	+	CG	25	37
1	142335	+	CG	25	37
1	142389	+	CG	26	34
1	143951	+	CG	20	28
1	143969	+	CG	21	31
1	143985	+	CG	20	28
1	143994	+	CG	15	36
1	160635	+	CG	32	38
1	160692	+	CG	28	34
1	160877	+	CG	20	30
1	161201	+	CG	23	34
1	161282	+	CG	17	24
1	161390	+	CG	13	31
1	163124	+	CG	13	37
1	163364	+	CG	18	27
1	163469	+	CG	13	33
1	163864	+	CG	17	34
1	169714	+	CG	10	23
1	169877	+	CG	26	36
1	170241	+	CG	11	20
1	170313	+	CG	25	39
1	170735	+	CG	20	39
1	177572	+	CG	12	30
1	177575	+	CG	7	26
1	177606	+	CG	18	30
1	177612	+	CG	7	34
1	180237	+	CG	11	28
1	180614	+	CG	16	26
1	180877	+	CG	9	32
1	181075	+	CG	14	30
1	182108	+	CG	9	35
1	182245	+	CG	4	37
1	182705	+	CG	5	29
1	183071	+	CG	13	28
1	189232	+	CG	2	27
1	189507	+	CG	31	33
1	189793	+	CG	34	35
1	190136	+	CG	33	34
1	190990	+	CG	12	32
1	191110	+	CG	6	23
1	191606	+	CG	10	27
1	191784	+	CG	4	29
1	192626	+	CG	18	34
1	192913	+	CG	17	26
1	193353	+	CG	11	23
1	194630	+	CG	11	32
1	195105	+	CG	3	33
1	195378	+	CG	9	34
1	195439	+	CG	11	32
1	196498	+	CG	4	30
1	196545	+	CG	3	24
1	196588	+	CG	9	34
1	196611	+	CG	4	32
1	198042	+	CG	18	36
1	198739	+	CG	18	33
1	199001	+	CG	16	33
1	200983	+	CG	11	30
1	201073	+	CG	8	25
1	201132	+	CG	5	24
1	201313	+	CG	11	31
1	203040	+	CG	14	28
1	203462	+	CG	9	32
1	203823	+	CG	11	28
1	203940	+	CG	15	34
1	210683	+	CG	10	28
1	210860	+	CG	12	32
