chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	16	25
1	100498	+	CG	8	29
1	100915	+	CG	19	29
1	101005	+	CG	17	25
1	109610	+	CG	17	34
1	109679	+	CG	13	30
1	109784	+	CG	13	34
1	110139	+	CG	7	19
1	111833	+	CG	11	28
1	111862	+	CG	9	23
1	111864	+	CG	8	12
1	111899	+	CG	16	29
1	114313	+	CG	9	31
1	114740	+	CG	7	25
1	115208	+	CG	4	24
1	121699	+	CG	15	39
1	121774	+	CG	12	33
1	121957	+	CG	4	34
1	122201	+	CG	23	41
1	125700	+	CG	20	32
1	125703	+	CG	21	32
1	125744	+	CG	16	28
1	125755	+	CG	13	29
1	127337	+	CG	4	30
1	127352	+	CG	7	29
1	127383	+	CG	1	24
1	127429	+	CG	6	25
1	129602	+	CG	2	27
1	130034	+	CG	7	26
1	130451	+	CG	8	30
1	131228	+	CG	11	20
1	131653	+	CG	21	40
1	131970	+	CG	12	29
1	132158	+	CG	10	33
1	134051	+	CG	5	27
1	134348	+	CG	16	35
1	134636	+	CG	10	33
1	134909	+	CG	7	29
1	136165	+	CG	13	31
1	136259	+	CG	5	29
1	136451	+	CG	8	30
1	136731	+	CG	6	28
1	136843	+	CG	5	27
1	136989	+	CG	9	34
1	138761	+	CG	9	37
1	139064	+	CG	9	35
1	139549	+	CG	5	22
1	139682	+	CG	10	34
1	141334	+	CG	33	33
1	141558	+	CG	26	26
1	141751	+	CG	35	35
1	142106	+	CG	27	27
1	142335	+	CG	34	34
1	142389	+	CG	36	36
1	143951	+	CG	16	24
1	143985	+	CG	14	26
1	143994	+	CG	21	36
1	160635	+	CG	22	22
1	160692	+	CG	28	28
1	161201	+	CG	22	22
1	161282	+	CG	28	28
1	161390	+	CG	30	30
1	163124	+	CG	10	31
1	163364	+	CG	12	34
1	163469	+	CG	14	32
1	163864	+	CG	22	37
1	169714	+	CG	14	28
1	169877	+	CG	17	35
1	170241	+	CG	16	27
1	170313	+	CG	12	22
1	170735	+	CG	19	26
1	177572	+	CG	8	30
1	177575	+	CG	13	30
1	177612	+	CG	6	25
1	180237	+	CG	22	34
1	180614	+	CG	16	37
1	180877	+	CG	8	27
1	181075	+	CG	13	25
1	182108	+	CG	4	30
1	182245	+	CG	6	23
1	182705	+	CG	6	30
1	183071	+	CG	14	34
1	189232	+	CG	0	26
1	189507	+	CG	0	32
1	189793	+	CG	0	27
1	189987	+	CG	24	24
1	190136	+	CG	0	30
1	190990	+	CG	6	33
1	191110	+	CG	10	37
1	191606	+	CG	11	34
1	191784	+	CG	16	34
1	192626	+	CG	8	32
1	192821	+	CG	17	25
1	192913	+	CG	21	31
1	193353	+	CG	22	40
1	194630	+	CG	8	36
