chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	16	33
1	100498	+	CG	21	34
1	100915	+	CG	19	31
1	101005	+	CG	19	29
1	109610	+	CG	6	26
1	109679	+	CG	10	31
1	109784	+	CG	10	29
1	110139	+	CG	9	33
1	111833	+	CG	10	26
1	111862	+	CG	14	35
1	111864	+	CG	31	39
1	111899	+	CG	13	30
1	114313	+	CG	1	35
1	114740	+	CG	6	26
1	115133	+	CG	1	26
1	115208	+	CG	6	28
1	121699	+	CG	16	34
1	121774	+	CG	12	31
1	121957	+	CG	9	31
1	122201	+	CG	8	24
1	125700	+	CG	16	28
1	125744	+	CG	11	20
1	125755	+	CG	17	28
1	127337	+	CG	7	31
1	127352	+	CG	5	21
1	127383	+	CG	6	31
1	127429	+	CG	8	24
1	129602	+	CG	8	37
1	130034	+	CG	5	28
1	130451	+	CG	11	33
1	131228	+	CG	11	30
1	131653	+	CG	18	28
1	131970	+	CG	14	36
1	132158	+	CG	12	20
1	134051	+	CG	10	34
1	134348	+	CG	8	27
1	134636	+	CG	7	33
1	134909	+	CG	6	31
1	136165	+	CG	4	28
1	136259	+	CG	11	36
1	136451	+	CG	6	25
1	136731	+	CG	9	37
1	136843	+	CG	4	22
1	136989	+	CG	4	29
1	138761	+	CG	14	32
1	139064	+	CG	7	33
1	139549	+	CG	8	34
1	139682	+	CG	11	24
1	141334	+	CG	19	22
1	141558	+	CG	21	31
1	141751	+	CG	20	31
1	142106	+	CG	23	38
1	142389	+	CG	28	37
1	143951	+	CG	20	27
1	143985	+	CG	20	31
1	143994	+	CG	13	28
1	160635	+	CG	36	42
1	160692	+	CG	20	26
1	160877	+	CG	26	39
1	161201	+	CG	18	30
1	161282	+	CG	21	30
1	161390	+	CG	14	29
1	163124	+	CG	8	26
1	163364	+	CG	22	33
1	163469	+	CG	10	28
1	163864	+	CG	15	28
1	169714	+	CG	13	30
1	169877	+	CG	19	29
1	170241	+	CG	14	28
1	170313	+	CG	23	41
1	170735	+	CG	17	30
1	177572	+	CG	10	32
1	177575	+	CG	9	31
1	177606	+	CG	17	27
1	177612	+	CG	8	32
1	180237	+	CG	11	30
1	180614	+	CG	13	24
1	180877	+	CG	6	26
1	181075	+	CG	16	33
1	182108	+	CG	7	33
1	182245	+	CG	2	30
1	182705	+	CG	3	26
1	189232	+	CG	31	31
1	189507	+	CG	0	38
1	189793	+	CG	31	38
1	189987	+	CG	27	29
1	190136	+	CG	23	24
1	190990	+	CG	8	21
1	191110	+	CG	10	30
1	191606	+	CG	12	30
1	191784	+	CG	3	30
1	192626	+	CG	17	35
1	192821	+	CG	17	26
1	192913	+	CG	20	29
1	193353	+	CG	12	30
1	194630	+	CG	8	23
1	195105	+	CG	3	29
1	195378	+	CG	6	30
1	195439	+	CG	11	34
1	196498	+	CG	6	27
1	196545	+	CG	2	23
1	196588	+	CG	9	33
1	196611	+	CG	3	32
1	198042	+	CG	10	24
1	198333	+	CG	15	33
1	198739	+	CG	20	40
1	199001	+	CG	15	32
1	200983	+	CG	6	18
