chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100710	100809	4	0.031	non-DMR
chr1	102151	102181	4	0.001	non-DMR
chr1	104013	104072	2	-0.038	non-DMR
chr1	107592	107635	4	-0.073	non-DMR
chr1	111094	111175	2	0.005	non-DMR
chr1	112143	112208	2	0.005	non-DMR
chr1	113727	113798	2	0.079	non-DMR
chr1	116232	116313	4	0.009	non-DMR
chr1	117528	117595	4	0.06	non-DMR
chr1	119207	119242	4	-0.02	non-DMR
chr1	120199	120269	2	0.045	non-DMR
chr1	122026	122096	2	0.007	non-DMR
chr1	124774	124884	4	0.048	non-DMR
chr1	126406	126496	4	-0.059	non-DMR
chr1	128474	128544	4	-0.073	non-DMR
chr1	129498	129557	4	-0.054	non-DMR
chr1	132740	132842	8	0.296	good-DMR
chr1	134247	134351	4	0.079	non-DMR
chr1	135423	135458	4	0.003	non-DMR
chr1	139099	139158	2	0.04	non-DMR
chr1	140518	140581	2	-0.039	non-DMR
chr1	142089	142189	6	-0.067	non-DMR
chr1	143615	143673	4	0.003	non-DMR
chr1	144234	144306	2	0.026	non-DMR
chr1	145532	145659	4	-0.02	non-DMR
chr1	147574	147619	4	0.086	non-DMR
chr1	149139	149213	2	0.068	non-DMR
chr1	150320	150392	4	0.05	non-DMR
chr1	151679	151719	4	0.068	non-DMR
chr1	152920	153000	2	-0.077	non-DMR
chr1	153853	153940	2	-0.046	non-DMR
chr1	154868	154935	2	0.089	non-DMR
chr1	155881	155954	4	-0.037	non-DMR
chr1	157557	157638	2	-0.072	non-DMR
chr1	159099	159169	4	0.01	non-DMR
chr1	161809	161870	2	0.052	non-DMR
chr1	163259	163355	2	-0.01	non-DMR
chr1	164754	164818	4	-0.033	non-DMR
chr1	167827	167926	5	0.006	non-DMR
chr1	169391	169452	2	0.07	non-DMR
chr1	170593	170653	2	0.059	non-DMR
chr1	171351	171411	4	0.051	non-DMR
chr1	173414	173477	2	0.039	non-DMR
chr1	174926	175024	6	0.034	non-DMR
chr1	176786	176823	4	0.022	non-DMR
chr1	180004	180094	2	0.056	non-DMR
chr1	181981	182076	4	-0.039	non-DMR
chr1	184903	184997	2	0.042	non-DMR
chr1	189748	189826	4	-0.025	non-DMR
chr1	191566	191643	4	-0.083	non-DMR
chr1	192318	192402	4	-0.007	non-DMR
chr1	195584	195681	2	0.071	non-DMR
chr1	198283	198391	3	-0.047	non-DMR
chr1	199234	199328	2	0.043	non-DMR
chr1	200150	200259	4	0.037	non-DMR
chr1	202102	202158	4	0.004	non-DMR
chr1	206006	206104	2	0.065	non-DMR
chr1	207756	207861	3	0.035	non-DMR
chr1	209247	209344	2	0.049	non-DMR
chr1	212571	212640	2	0.043	non-DMR
chr1	214549	214628	2	-0.009	non-DMR
chr1	215493	215573	2	0.096	non-DMR
chr1	217454	217560	4	-0.025	non-DMR
chr1	218281	218392	3	0.033	non-DMR
chr1	220365	220478	3	0.081	non-DMR
chr1	222449	222540	2	0.1	non-DMR
chr1	225265	225329	2	-0.038	non-DMR
chr1	227299	227398	2	-0.081	non-DMR
chr1	228271	228340	2	0.02	non-DMR
chr1	230228	230295	4	-0.093	non-DMR
chr1	233102	233184	4	-0.094	non-DMR
chr1	235157	235225	2	-0.022	non-DMR
chr1	236053	236127	2	-0.051	non-DMR
chr1	237527	237564	4	-0.009	non-DMR
chr1	240032	240129	4	-0.033	non-DMR
chr1	240681	240778	4	0.024	non-DMR
chr1	244400	244472	2	-0.09	non-DMR
chr1	247995	248065	2	-0.046	non-DMR
chr1	249483	249574	4	-0.005	non-DMR
chr1	252046	252119	4	0.004	non-DMR
chr1	254137	254227	4	0.038	non-DMR
chr1	255111	255196	4	0.022	non-DMR
chr1	257048	257129	2	0.05	non-DMR
chr1	257680	257737	4	0.09	non-DMR
chr1	259742	259836	2	0.01	non-DMR
chr1	260857	260898	4	0.028	non-DMR
chr1	262509	262617	8	0.221	good-DMR
chr1	264107	264212	4	0.005	non-DMR
chr1	264788	264869	2	0.082	non-DMR
chr1	265505	265576	2	-0.049	non-DMR
chr1	266718	266817	7	-0.012	non-DMR
chr1	268325	268394	2	-0.032	non-DMR
chr1	269814	269876	2	-0.074	non-DMR
chr1	271509	271608	2	0.026	non-DMR
chr1	273517	273567	2	0.036	non-DMR
chr1	275100	275188	4	0.041	non-DMR
chr1	277810	277864	4	-0.03	non-DMR
