chr	start	end	CpG_count	mean_delta_methylation	category
chr1	104865	104927	4	0.057	non-DMR
chr1	107900	108000	4	0.079	non-DMR
chr1	111588	112648	6	0.026	non-DMR
chr1	120388	121480	5	0.251	good-DMR
chr1	122374	122484	4	-0.033	non-DMR
chr1	127126	128118	5	0.191	good-DMR
chr1	129107	129993	7	-0.049	non-DMR
chr1	134654	135641	4	-0.02	non-DMR
chr1	137560	138351	4	0.01	non-DMR
chr1	139114	139175	4	-0.01	non-DMR
chr1	145080	145162	4	-0.001	non-DMR
chr1	147035	148035	4	0.052	non-DMR
chr1	150066	150911	5	0.155	good-DMR
chr1	159715	160348	4	0.025	non-DMR
chr1	163825	164621	4	0.011	non-DMR
chr1	175339	176368	4	-0.003	non-DMR
chr1	179743	180816	5	0.037	non-DMR
chr1	185217	185908	4	-0.088	non-DMR
chr1	193973	194026	4	-0.062	non-DMR
chr1	195795	196968	7	0.019	non-DMR
chr1	198593	199582	4	-0.036	non-DMR
chr1	200638	200694	4	-0.027	non-DMR
chr1	204032	204594	4	0.019	non-DMR
chr1	206801	206903	4	0.013	non-DMR
chr1	213871	214005	4	-0.045	non-DMR
chr1	216152	216250	4	0.041	non-DMR
chr1	222938	223600	4	-0.002	non-DMR
chr1	225215	225855	4	-0.096	non-DMR
chr1	230266	230330	4	0.004	non-DMR
chr1	232001	232957	38	-0.33	good-DMR
chr1	234180	234204	4	0.012	non-DMR
chr1	242865	242974	4	0.028	non-DMR
chr1	245653	245748	4	-0.017	non-DMR
chr1	251287	252297	5	0.001	non-DMR
chr1	255543	256369	4	-0.038	non-DMR
chr1	258332	258416	4	-0.085	non-DMR
chr1	260547	261337	4	0.074	non-DMR
chr1	266268	267396	47	0.274	good-DMR
chr1	269195	270219	5	-0.238	good-DMR
chr1	274078	274166	4	0.043	non-DMR
chr1	276551	277506	5	-0.03	non-DMR
chr1	278680	279360	4	-0.049	non-DMR
chr1	286434	287392	4	0.063	non-DMR
chr1	290650	291719	6	-0.005	non-DMR
chr1	293723	294760	39	-0.288	good-DMR
chr1	301568	302363	3	0.017	non-DMR
chr1	303959	305198	6	0.395	good-DMR
chr1	306720	306781	4	0.004	non-DMR
chr1	309546	310582	4	-0.072	non-DMR
chr1	314488	315285	4	-0.097	non-DMR
chr1	317932	318619	4	0.029	non-DMR
chr1	322848	323454	4	0.008	non-DMR
chr1	329551	330436	8	0.217	good-DMR
chr1	332108	332970	4	-0.031	non-DMR
chr1	334403	334498	4	-0.011	non-DMR
chr1	336754	336834	4	0.025	non-DMR
chr1	341712	342692	6	-0.001	non-DMR
chr1	343411	344338	5	0.296	good-DMR
chr1	345811	346741	4	0.072	non-DMR
chr1	352866	353396	4	0.031	non-DMR
chr1	355110	356214	6	0.273	good-DMR
chr1	364550	365659	7	-0.016	non-DMR
chr1	369005	369534	4	-0.072	non-DMR
chr1	372011	373024	5	0.176	good-DMR
chr1	376635	377066	4	-0.075	non-DMR
chr1	378375	378420	4	-0.066	non-DMR
chr1	381218	381302	4	-0.071	non-DMR
chr1	382806	383676	4	-0.065	non-DMR
chr1	387418	387465	4	-0.016	non-DMR
chr1	391686	392457	4	0.043	non-DMR
chr1	393345	393439	4	-0.09	non-DMR
chr1	395736	396837	7	0.283	good-DMR
chr1	398116	398724	4	-0.008	non-DMR
chr1	403967	404992	40	0.282	good-DMR
chr1	406774	406876	4	0.083	non-DMR
chr1	411582	412079	4	0.039	non-DMR
chr1	417532	417613	4	-0.031	non-DMR
chr1	419780	420633	4	-0.029	non-DMR
chr1	421986	422061	4	0.034	non-DMR
chr1	425729	425840	4	-0.089	non-DMR
chr1	427276	428315	6	0.173	good-DMR
chr1	429105	429884	4	0.074	non-DMR
chr1	430645	431659	7	-0.196	good-DMR
