chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	101855	102585	4	0.013	non-DMR
chr1	105436	105472	4	0.044	non-DMR
chr1	108163	109137	5	0.253	good-DMR
chr1	110859	111936	6	-0.017	non-DMR
chr1	115761	115798	4	0.01	non-DMR
chr1	117440	118310	5	0.006	non-DMR
chr1	119581	120428	4	0.064	non-DMR
chr1	123125	124128	4	0.021	non-DMR
chr1	128563	129289	4	-0.02	non-DMR
chr1	132704	132781	4	0.057	non-DMR
chr1	137035	138071	6	0.024	non-DMR
chr1	142195	143096	4	-0.006	non-DMR
chr1	144928	145607	4	-0.083	non-DMR
chr1	147555	148143	4	0.091	non-DMR
chr1	154831	154900	4	-0.029	non-DMR
chr1	158107	158938	4	0.054	non-DMR
chr1	171048	172000	6	0.26	good-DMR
chr1	173482	174542	43	0.24	good-DMR
chr1	175166	176246	5	0.26	good-DMR
chr1	180006	181053	40	0.33	good-DMR
chr1	185434	186322	3	0.03	non-DMR
chr1	188127	189170	6	-0.048	non-DMR
chr1	189861	190808	8	0.257	good-DMR
chr1	192026	192658	4	-0.017	non-DMR
chr1	194858	195512	4	-0.05	non-DMR
chr1	197315	197387	4	-0.061	non-DMR
chr1	199862	200898	5	0.27	good-DMR
chr1	204848	205537	4	0.02	non-DMR
chr1	207279	207325	4	-0.036	non-DMR
chr1	209589	210612	7	0.019	non-DMR
chr1	212156	212855	4	-0.013	non-DMR
chr1	213518	214420	4	-0.038	non-DMR
chr1	215868	215945	4	0.04	non-DMR
chr1	217522	217611	4	-0.013	non-DMR
chr1	220043	221014	5	0.084	non-DMR
chr1	226646	226726	4	0.06	non-DMR
chr1	230741	231662	3	0.091	non-DMR
chr1	232343	232930	4	0.005	non-DMR
chr1	237626	237943	4	0.086	non-DMR
chr1	241686	242565	4	-0.027	non-DMR
chr1	243214	244137	41	-0.096	inconsistent-DMR
chr1	249928	250028	4	0.016	non-DMR
chr1	258081	258157	4	0.063	non-DMR
chr1	264246	265088	6	0.303	good-DMR
chr1	266782	267118	4	0.062	non-DMR
chr1	268776	268854	4	-0.03	non-DMR
chr1	270977	272005	5	0.233	good-DMR
chr1	277444	277495	4	-0.008	non-DMR
chr1	279680	279782	4	-0.076	non-DMR
chr1	284359	285327	6	0.235	good-DMR
chr1	287832	288755	5	0.271	good-DMR
chr1	292111	292251	4	0.024	non-DMR
chr1	294130	294744	4	0.026	non-DMR
chr1	299955	300862	4	0.052	non-DMR
chr1	305940	306968	6	0.03	non-DMR
chr1	307762	308670	4	-0.035	non-DMR
chr1	313484	314060	4	0.021	non-DMR
chr1	317720	317794	4	-0.0	non-DMR
chr1	319413	319495	4	0.07	non-DMR
chr1	322178	323033	4	0.096	non-DMR
chr1	325016	325086	4	0.085	non-DMR
chr1	327531	327593	4	0.0	non-DMR
chr1	331204	332109	5	0.325	good-DMR
chr1	333377	334378	4	-0.055	non-DMR
chr1	335846	335959	4	0.02	non-DMR
chr1	340438	341257	4	0.007	non-DMR
chr1	345731	346449	4	0.026	non-DMR
chr1	348586	349621	4	-0.042	non-DMR
chr1	350411	351549	47	0.341	good-DMR
chr1	356922	357812	39	0.344	good-DMR
chr1	359401	359516	4	-0.058	non-DMR
chr1	362335	363148	5	0.23	good-DMR
chr1	367385	367458	4	0.066	non-DMR
chr1	370153	371265	5	0.241	good-DMR
chr1	374730	374797	4	0.068	non-DMR
chr1	387509	388418	42	-0.222	good-DMR
chr1	392039	393100	42	0.331	good-DMR
chr1	395032	395097	4	-0.009	non-DMR
chr1	400760	401082	4	0.037	non-DMR
chr1	402570	403528	7	0.199	good-DMR
chr1	404278	405358	44	0.297	good-DMR
chr1	409115	409955	4	0.024	non-DMR
chr1	414677	414779	4	-0.037	non-DMR
chr1	417030	417083	4	-0.065	non-DMR
chr1	418566	418637	4	0.089	non-DMR
