chr	start	end	methylation_level
chr1	100000	100001	0.4293
chr1	100498	100499	0.6362
chr1	100915	100916	0.6212
chr1	101005	101006	0.6151
chr1	109610	109611	0.3529
chr1	109679	109680	0.3052
chr1	109784	109785	0.3032
chr1	110139	110140	0.3626
chr1	111833	111834	0.3665
chr1	111862	111863	0.4324
chr1	111864	111865	0.7529
chr1	111899	111900	0.4958
chr1	114313	114314	0.087
chr1	114740	114741	0.2001
chr1	115133	115134	0.0253
chr1	115208	115209	0.2681
chr1	121699	121700	0.456
chr1	121774	121775	0.4328
chr1	121957	121958	0.2878
chr1	122201	122202	0.378
chr1	125700	125701	0.5098
chr1	125703	125704	0.5326
chr1	125744	125745	0.5805
chr1	125755	125756	0.6403
chr1	127337	127338	0.2225
chr1	127352	127353	0.3099
chr1	127383	127384	0.2342
chr1	127429	127430	0.3564
chr1	129602	129603	0.2488
chr1	130034	130035	0.1992
chr1	130451	130452	0.3781
chr1	131228	131229	0.3735
chr1	131653	131654	0.6353
chr1	131970	131971	0.4847
chr1	132158	132159	0.5972
chr1	134051	134052	0.3144
chr1	134348	134349	0.3148
chr1	134636	134637	0.1927
chr1	134909	134910	0.1903
chr1	136165	136166	0.1559
chr1	136259	136260	0.3188
chr1	136451	136452	0.252
chr1	136731	136732	0.2862
chr1	136989	136990	0.157
chr1	138761	138762	0.3887
chr1	139549	139550	0.3345
chr1	139682	139683	0.4812
chr1	141334	141335	0.9402
chr1	141558	141559	0.6613
chr1	141751	141752	0.5915
chr1	142106	142107	0.6711
chr1	142335	142336	0.7679
chr1	142389	142390	0.6889
chr1	143951	143952	0.7187
chr1	143969	143970	0.7506
chr1	143985	143986	0.7223
chr1	143994	143995	0.4309
chr1	160635	160636	0.8297
chr1	160692	160693	0.7856
chr1	161201	161202	0.7119
chr1	161282	161283	0.6275
chr1	161390	161391	0.5439
chr1	163124	163125	0.2956
chr1	163364	163365	0.6989
chr1	163469	163470	0.3952
chr1	163864	163865	0.5233
chr1	169714	169715	0.4693
chr1	169877	169878	0.7219
chr1	170241	170242	0.4895
chr1	170313	170314	0.5862
chr1	170735	170736	0.5375
chr1	177572	177573	0.383
chr1	177575	177576	0.3338
chr1	177612	177613	0.2278
chr1	180237	180238	0.3888
chr1	180614	180615	0.6336
chr1	180877	180878	0.2889
chr1	181075	181076	0.5265
chr1	182108	182109	0.2514
chr1	182245	182246	0.147
chr1	182705	182706	0.2191
chr1	189232	189233	0.0375
chr1	189507	189508	0.9926
chr1	189793	189794	0.9866
chr1	189987	189988	0.8343
chr1	190136	190137	0.9336
chr1	190990	190991	0.4459
chr1	191110	191111	0.3433
chr1	191606	191607	0.4031
chr1	191784	191785	0.0915
chr1	192626	192627	0.5476
chr1	192821	192822	0.7668
chr1	192913	192914	0.7179
chr1	193353	193354	0.4423
chr1	194630	194631	0.3196
chr1	195105	195106	0.0512
chr1	195378	195379	0.2876
chr1	195439	195440	0.2951
chr1	196498	196499	0.2064
chr1	196545	196546	0.0972
chr1	196588	196589	0.2498
chr1	196611	196612	0.1284
chr1	198042	198043	0.4716
chr1	198333	198334	0.5335
chr1	198739	198740	0.5719
chr1	199001	199002	0.598
chr1	200983	200984	0.3661
chr1	201073	201074	0.3798
chr1	201132	201133	0.2011
chr1	201313	201314	0.3435
chr1	203040	203041	0.5153
chr1	203462	203463	0.38
chr1	203823	203824	0.3666
chr1	203940	203941	0.3351
chr1	210683	210684	0.4319
chr1	210860	210861	0.3794
chr1	210968	210969	0.2914
chr1	211031	211032	0.2446
chr1	211457	211458	0.3115
chr1	211554	211555	0.1714
chr1	211635	211636	0.4133
chr1	212381	212382	0.5772
chr1	212682	212683	0.2319
chr1	212834	212835	0.3542
chr1	212946	212947	0.4715
chr1	214060	214061	0.7411
chr1	214475	214476	0.8297
chr1	214752	214753	0.5958
chr1	214846	214847	0.7152
chr1	215070	215071	0.5677
chr1	216962	216963	0.7714
chr1	216998	216999	0.7535
chr1	217018	217019	0.5531
chr1	217039	217040	0.7056
chr1	217051	217052	0.6193
chr1	217098	217099	0.6449
chr1	217145	217146	0.6982
chr1	217191	217192	0.5435
chr1	217233	217234	0.5201
chr1	217246	217247	0.4596
chr1	217271	217272	0.6066
chr1	217305	217306	0.4353
chr1	217321	217322	0.5596
chr1	217330	217331	0.5103
chr1	217344	217345	0.6234
chr1	217354	217355	0.6235
chr1	217371	217372	0.7339
chr1	217404	217405	0.5269
chr1	217407	217408	0.4872
chr1	217432	217433	0.3916
chr1	217469	217470	0.5109
chr1	217507	217508	0.6346
chr1	217532	217533	0.3726
chr1	217563	217564	0.3675
chr1	217600	217601	0.6819
chr1	217610	217611	0.5005
chr1	217651	217652	0.567
chr1	217658	217659	0.5768
chr1	217664	217665	0.5395
chr1	217712	217713	0.6954
chr1	217759	217760	0.548
chr1	217839	217840	0.7409
chr1	217874	217875	0.3324
chr1	217930	217931	0.6033
chr1	217974	217975	0.6661
chr1	218006	218007	0.6011
chr1	218018	218019	0.408
chr1	218020	218021	0.6415
chr1	218853	218854	0.665
chr1	219080	219081	0.7831
chr1	219395	219396	0.5079
chr1	219590	219591	0.6137
chr1	219748	219749	0.5634
chr1	222887	222888	0.7367
chr1	223359	223360	0.7629
chr1	223851	223852	0.6238
chr1	223908	223909	0.568
chr1	223968	223969	0.6639
chr1	224018	224019	0.7236
chr1	225711	225712	0.2734
chr1	225749	225750	0.1594
chr1	225777	225778	0.2933
chr1	225818	225819	0.3923
chr1	228221	228222	0.3519
chr1	228599	228600	0.3236
