chr	start	end	methylation_level
chr1	100000	100001	0.567
chr1	100498	100499	0.6658
chr1	100915	100916	0.6295
chr1	101005	101006	0.6809
chr1	109610	109611	0.3533
chr1	109679	109680	0.3108
chr1	109784	109785	0.3473
chr1	110139	110140	0.3488
chr1	111833	111834	0.3796
chr1	111862	111863	0.4123
chr1	111864	111865	0.7866
chr1	111899	111900	0.5169
chr1	114313	114314	0.1038
chr1	114740	114741	0.254
chr1	115133	115134	0.0195
chr1	115208	115209	0.2335
chr1	121699	121700	0.4666
chr1	121957	121958	0.3681
chr1	122201	122202	0.3728
chr1	125700	125701	0.573
chr1	125703	125704	0.5484
chr1	125744	125745	0.6283
chr1	125755	125756	0.6719
chr1	127337	127338	0.2128
chr1	127352	127353	0.2808
chr1	127429	127430	0.3128
chr1	129602	129603	0.2528
chr1	130034	130035	0.1885
chr1	130451	130452	0.3535
chr1	131228	131229	0.322
chr1	131653	131654	0.5999
chr1	131970	131971	0.4587
chr1	132158	132159	0.5542
chr1	134051	134052	0.2934
chr1	134348	134349	0.3125
chr1	134636	134637	0.2539
chr1	134909	134910	0.2353
chr1	136165	136166	0.1711
chr1	136259	136260	0.302
chr1	136451	136452	0.2476
chr1	136731	136732	0.2649
chr1	136843	136844	0.238
chr1	136989	136990	0.186
chr1	138761	138762	0.423
chr1	139064	139065	0.2369
chr1	139549	139550	0.333
chr1	139682	139683	0.4831
chr1	141334	141335	0.8845
chr1	141558	141559	0.7004
chr1	141751	141752	0.6004
chr1	142106	142107	0.6974
chr1	142335	142336	0.701
chr1	142389	142390	0.7721
chr1	143951	143952	0.7469
chr1	143969	143970	0.6799
chr1	143985	143986	0.7143
chr1	143994	143995	0.4381
chr1	160635	160636	0.8511
chr1	160692	160693	0.8366
chr1	160877	160878	0.6854
chr1	161201	161202	0.6961
chr1	161282	161283	0.736
chr1	161390	161391	0.4501
chr1	163124	163125	0.3765
chr1	163364	163365	0.6702
chr1	163469	163470	0.3954
chr1	163864	163865	0.5211
chr1	169714	169715	0.4747
chr1	169877	169878	0.7228
chr1	170241	170242	0.5626
chr1	170313	170314	0.6445
chr1	170735	170736	0.5221
chr1	177572	177573	0.4329
chr1	177575	177576	0.2925
chr1	177606	177607	0.609
chr1	177612	177613	0.2268
chr1	180237	180238	0.4265
