chr1	100000	100001	0.4448
chr1	100498	100499	0.6601
chr1	100915	100916	0.6045
chr1	101005	101006	0.7081
chr1	109610	109611	0.3565
chr1	109679	109680	0.234
chr1	109784	109785	0.3513
chr1	110139	110140	0.3316
chr1	111833	111834	0.3496
chr1	111862	111863	0.3991
chr1	111864	111865	0.76
chr1	111899	111900	0.4616
chr1	114313	114314	0.0819
chr1	114740	114741	0.1957
chr1	115133	115134	0.1274
chr1	115208	115209	0.2535
chr1	121699	121700	0.4906
chr1	121774	121775	0.3538
chr1	121957	121958	0.3461
chr1	122201	122202	0.3696
chr1	125700	125701	0.5747
chr1	125703	125704	0.5129
chr1	125744	125745	0.5652
chr1	125755	125756	0.5935
chr1	127337	127338	0.2563
chr1	127352	127353	0.2887
chr1	127429	127430	0.4163
chr1	129602	129603	0.198
chr1	130034	130035	0.2188
chr1	130451	130452	0.2559
chr1	131228	131229	0.3052
chr1	131653	131654	0.6226
chr1	131970	131971	0.4246
chr1	132158	132159	0.6708
chr1	134051	134052	0.3146
chr1	134348	134349	0.3062
chr1	134909	134910	0.2647
chr1	136165	136166	0.2511
chr1	136259	136260	0.2957
chr1	136451	136452	0.2418
chr1	136731	136732	0.2572
chr1	136843	136844	0.1988
chr1	136989	136990	0.142
chr1	138761	138762	0.4124
chr1	139064	139065	0.208
chr1	139549	139550	0.3072
chr1	139682	139683	0.4541
chr1	141334	141335	0.8727
chr1	141558	141559	0.6242
chr1	141751	141752	0.6255
chr1	142106	142107	0.6884
chr1	142335	142336	0.6958
chr1	142389	142390	0.6827
chr1	143951	143952	0.7921
chr1	143969	143970	0.6872
chr1	143985	143986	0.7144
chr1	143994	143995	0.4783
chr1	160635	160636	0.8291
chr1	160692	160693	0.8029
chr1	160877	160878	0.7102
chr1	161201	161202	0.7058
chr1	161282	161283	0.6715
chr1	161390	161391	0.5727
chr1	163124	163125	0.3324
chr1	163364	163365	0.7123
chr1	163469	163470	0.3565
chr1	163864	163865	0.5923
chr1	169714	169715	0.4012
chr1	169877	169878	0.7392
chr1	170313	170314	0.5822
chr1	170735	170736	0.5478
chr1	177572	177573	0.4224
chr1	177575	177576	0.2888
chr1	177612	177613	0.2661
chr1	180237	180238	0.2891
chr1	180614	180615	0.6286
chr1	180877	180878	0.3075
chr1	181075	181076	0.5197
chr1	182108	182109	0.3092
chr1	182245	182246	0.0714
chr1	182705	182706	0.1867
chr1	183071	183072	0.4848
chr1	189232	189233	0.3593
chr1	189507	189508	0.6778
chr1	189793	189794	0.0103
