chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	101855	102585	4	0.013	non-DMR
chr1	105436	105472	4	0.044	non-DMR
chr1	108163	109137	5	0.253	good-DMR
chr1	110859	111936	6	-0.017	non-DMR
chr1	115761	115798	4	0.01	non-DMR
chr1	117440	118310	5	0.006	non-DMR
chr1	119581	120428	4	0.064	non-DMR
chr1	123125	124128	4	0.021	non-DMR
chr1	128563	129289	4	-0.02	non-DMR
chr1	132704	132781	4	0.057	non-DMR
chr1	137035	138071	6	0.024	non-DMR
chr1	142195	143096	4	-0.006	non-DMR
chr1	144928	145607	4	-0.083	non-DMR
chr1	147555	148143	4	0.091	non-DMR
chr1	154831	154900	4	-0.029	non-DMR
chr1	158107	158938	4	0.054	non-DMR
chr1	171048	172000	6	0.26	good-DMR
chr1	173482	174542	43	0.24	good-DMR
chr1	175166	176246	5	-0.014	non-DMR
chr1	177282	178269	6	-0.009	non-DMR
chr1	179274	180414	6	0.186	good-DMR
chr1	181498	181606	4	0.042	non-DMR
chr1	190848	190930	4	-0.061	non-DMR
chr1	193600	193688	4	0.002	non-DMR
chr1	198181	199213	6	0.266	good-DMR
chr1	200541	201621	39	-0.247	good-DMR
chr1	205929	206510	4	0.058	non-DMR
chr1	207622	208389	4	-0.043	non-DMR
chr1	209597	210680	43	0.241	good-DMR
chr1	215060	215911	4	-0.0	non-DMR
chr1	216555	217503	4	-0.011	non-DMR
chr1	219409	219505	4	-0.054	non-DMR
chr1	225147	226074	5	0.23	good-DMR
chr1	232456	232530	4	-0.053	non-DMR
chr1	241151	242045	5	-0.017	non-DMR
chr1	246740	247081	4	-0.036	non-DMR
chr1	251052	251842	4	-0.012	non-DMR
chr1	252906	254002	5	0.208	good-DMR
chr1	255436	256191	4	-0.062	non-DMR
chr1	258117	258168	4	0.079	non-DMR
chr1	260389	261209	5	0.331	good-DMR
chr1	268132	268195	4	-0.05	non-DMR
chr1	276513	276622	4	0.049	non-DMR
chr1	278264	278940	4	0.075	non-DMR
chr1	280909	281018	4	0.053	non-DMR
chr1	283627	284620	4	0.001	non-DMR
chr1	293437	294634	7	0.22	good-DMR
chr1	300457	301434	6	-0.264	good-DMR
chr1	302022	303036	6	-0.015	non-DMR
chr1	304328	305116	4	-0.009	non-DMR
chr1	307172	307622	4	-0.1	non-DMR
chr1	308686	309545	36	0.299	good-DMR
chr1	314939	315925	6	0.057	non-DMR
chr1	319306	319990	4	0.005	non-DMR
chr1	321794	322758	5	0.041	non-DMR
chr1	326477	326557	4	0.006	non-DMR
chr1	328655	329815	6	0.286	good-DMR
chr1	333667	333757	4	0.011	non-DMR
chr1	335598	336624	5	-0.007	non-DMR
chr1	338359	339376	5	0.205	good-DMR
chr1	346180	347085	4	-0.028	non-DMR
chr1	352994	353990	40	0.293	good-DMR
chr1	355884	356908	6	0.006	non-DMR
chr1	358781	358824	4	0.058	non-DMR
chr1	360572	361565	5	0.206	good-DMR
chr1	362875	362977	4	0.028	non-DMR
chr1	365598	366363	5	-0.234	good-DMR
chr1	367488	368618	6	0.051	non-DMR
chr1	369521	370613	4	0.017	non-DMR
chr1	374802	375375	4	-0.018	non-DMR
chr1	377241	377788	4	0.065	non-DMR
chr1	381085	381848	4	0.005	non-DMR
chr1	383058	383762	4	-0.049	non-DMR
chr1	385289	385381	4	-0.057	non-DMR
chr1	389867	389959	4	0.075	non-DMR
chr1	396280	397338	7	0.135	good-DMR
chr1	398271	398997	4	0.015	non-DMR
chr1	400569	401494	7	0.06	non-DMR
chr1	404991	405677	4	0.004	non-DMR
chr1	406490	407380	4	0.052	non-DMR
chr1	408065	408994	6	0.352	good-DMR
chr1	410647	411500	4	-0.058	non-DMR
chr1	413037	413933	6	-0.023	non-DMR
chr1	420339	421129	4	0.03	non-DMR
chr1	425773	426776	6	0.153	good-DMR
