chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100750	4	-0.011	non-DMR
chr1	104872	105660	5	0.265	good-DMR
chr1	107488	108548	6	0.019	non-DMR
chr1	114340	115417	8	0.024	non-DMR
chr1	116093	116953	4	0.005	non-DMR
chr1	118818	119678	4	0.01	non-DMR
chr1	121273	122280	4	-0.093	non-DMR
chr1	124191	124749	4	0.044	non-DMR
chr1	126869	127779	6	-0.094	non-DMR
chr1	140143	140951	4	-0.027	non-DMR
chr1	141997	142917	4	0.085	non-DMR
chr1	144889	145662	4	0.038	non-DMR
chr1	147146	148057	4	-0.094	non-DMR
chr1	155046	156126	6	0.27	good-DMR
chr1	161239	162060	4	-0.001	non-DMR
chr1	164898	165848	5	0.281	notable-DMR
chr1	166423	167410	4	0.042	non-DMR
chr1	169943	170983	5	0.16	good-DMR
chr1	175405	176298	5	0.096	non-DMR
chr1	180023	180921	6	-0.051	non-DMR
chr1	181731	182677	4	0.041	non-DMR
chr1	183882	184527	4	-0.064	non-DMR
chr1	191682	192692	6	0.195	good-DMR
chr1	193270	194266	6	0.321	good-DMR
chr1	195270	195768	4	0.053	non-DMR
chr1	196871	197815	6	0.052	non-DMR
chr1	201541	202628	5	-0.078	non-DMR
chr1	206355	206951	4	0.095	non-DMR
chr1	208739	209574	4	-0.06	non-DMR
chr1	213174	214148	5	-0.281	notable-DMR
chr1	215481	216056	5	-0.295	good-DMR
chr1	217051	217894	4	0.038	non-DMR
chr1	219782	220817	5	-0.039	non-DMR
chr1	222130	223058	6	0.042	non-DMR
chr1	224087	225028	7	0.254	good-DMR
chr1	228285	229175	4	0.044	non-DMR
chr1	229982	230769	4	0.074	non-DMR
chr1	231730	232484	4	0.004	non-DMR
chr1	233265	234156	4	0.043	non-DMR
chr1	234741	235731	5	-0.043	non-DMR
chr1	237099	238084	7	0.217	good-DMR
chr1	240046	241191	4	-0.038	non-DMR
chr1	242231	242852	4	0.082	non-DMR
chr1	249247	250248	8	0.278	good-DMR
chr1	251151	252213	5	0.255	good-DMR
chr1	252818	254055	5	0.21	good-DMR
chr1	254913	255687	5	0.013	non-DMR
chr1	256787	257078	4	0.036	non-DMR
chr1	260163	261233	5	-0.288	good-DMR
chr1	262099	262799	4	-0.077	non-DMR
chr1	263585	264367	6	-0.085	non-DMR
chr1	268190	268971	4	0.019	non-DMR
chr1	270278	270855	4	0.068	non-DMR
chr1	273055	273534	4	0.045	non-DMR
chr1	274584	275614	7	0.232	good-DMR
chr1	280104	281209	7	0.315	good-DMR
chr1	282916	284020	6	0.041	non-DMR
