chr	start	end	CpG_count	mean_delta_methylation	category
chr1	101575	102578	5	0.216	good-DMR
chr1	106926	107988	38	0.34	good-DMR
chr1	108918	110009	4	0.076	non-DMR
chr1	113007	113945	4	0.019	non-DMR
chr1	115054	115992	5	-0.045	non-DMR
chr1	128045	128164	4	0.039	non-DMR
chr1	129474	129521	4	-0.06	non-DMR
chr1	131388	131989	4	-0.051	non-DMR
chr1	135868	136948	6	0.282	inconsistent-DMR
chr1	138684	139352	4	0.024	non-DMR
chr1	148760	149639	3	-0.038	non-DMR
chr1	154273	155224	6	0.308	good-DMR
chr1	156040	157041	7	0.01	non-DMR
chr1	158628	159650	5	0.4	good-DMR
chr1	160667	161699	5	0.333	good-DMR
chr1	163507	164562	7	-0.212	good-DMR
chr1	165670	166629	5	0.289	good-DMR
chr1	172723	173653	33	0.383	good-DMR
chr1	175601	176673	45	-0.403	good-DMR
chr1	180202	181209	44	0.306	notable-DMR
chr1	182227	182756	4	0.009	non-DMR
chr1	184703	185619	5	-0.042	non-DMR
chr1	187945	188024	5	0.29	sub-DMR
chr1	189806	190674	3	-0.054	non-DMR
chr1	195058	195164	4	0.015	non-DMR
chr1	198645	199405	4	-0.006	non-DMR
chr1	202834	203494	4	-0.048	non-DMR
chr1	204473	205616	6	0.411	good-DMR
chr1	208545	209252	4	-0.027	non-DMR
chr1	212055	212122	4	0.006	non-DMR
chr1	218115	219183	6	0.212	good-DMR
chr1	220402	221323	6	0.009	non-DMR
chr1	229413	230038	4	-0.076	non-DMR
chr1	231969	232983	49	0.367	good-DMR
chr1	233845	233919	4	-0.034	non-DMR
chr1	238336	239234	5	0.363	good-DMR
chr1	242099	242970	4	-0.09	non-DMR
chr1	246840	246949	4	0.07	non-DMR
chr1	248977	249082	4	0.052	non-DMR
chr1	250978	251051	4	-0.034	non-DMR
chr1	252805	253861	6	0.16	good-DMR
chr1	257444	258314	7	0.233	good-DMR
chr1	259581	259630	4	-0.022	non-DMR
chr1	264211	265048	4	-0.064	non-DMR
chr1	266171	266262	4	0.067	non-DMR
chr1	271271	271338	4	-0.027	non-DMR
chr1	273732	274726	7	0.277	good-DMR
chr1	282268	283320	6	-0.424	good-DMR
chr1	286698	287595	4	-0.001	non-DMR
chr1	288179	288894	3	0.057	non-DMR
chr1	290725	291690	5	-0.029	non-DMR
chr1	295582	296638	5	0.031	non-DMR
chr1	301077	301165	4	0.062	non-DMR
chr1	303941	303990	4	-0.065	non-DMR
chr1	308957	309053	4	0.038	non-DMR
chr1	313293	313354	4	-0.067	non-DMR
chr1	315759	316636	35	0.354	good-DMR
chr1	317648	318560	3	-0.063	non-DMR
chr1	321470	322467	6	-0.056	non-DMR
chr1	324423	324531	4	0.049	non-DMR
chr1	327218	328189	8	0.471	good-DMR
chr1	329388	330641	5	0.21	good-DMR
chr1	331783	332660	4	0.019	non-DMR
chr1	336304	337385	39	0.294	good-DMR
chr1	339071	339712	4	-0.02	non-DMR
chr1	341623	342645	6	0.236	good-DMR
chr1	345050	345612	4	0.038	non-DMR
