chr	pos	meth_level	coverage
chr1	100000	0.6586	36
chr1	100498	0.3052	32
chr1	100915	0.6077	24
chr1	101005	0.5814	28
chr1	109610	0.5364	24
chr1	109679	0.4672	25
chr1	109784	0.3657	32
chr1	110139	0.3808	34
chr1	111833	0.3652	26
chr1	111862	0.4838	29
chr1	111864	0.6845	28
chr1	111899	0.4915	39
chr1	114313	0.3882	29
chr1	114740	0.2938	34
chr1	115133	0.0871	30
chr1	115208	0.1945	33
chr1	121699	0.456	27
chr1	121774	0.3739	26
chr1	121957	0.1776	36
chr1	122201	0.5306	29
chr1	125700	0.6686	23
chr1	125703	0.6252	33
chr1	125744	0.6764	28
chr1	125755	0.4997	25
chr1	127337	0.1339	31
chr1	127352	0.349	33
chr1	127429	0.252	29
chr1	129602	0.1484	30
chr1	130034	0.2957	28
chr1	130451	0.1773	36
chr1	131228	0.6356	28
chr1	131653	0.5303	33
chr1	131970	0.3519	28
chr1	132158	0.3554	36
chr1	134051	0.1915	37
chr1	134348	0.4677	35
chr1	134636	0.367	36
chr1	134909	0.3411	25
chr1	136165	0.3965	28
chr1	136259	0.1657	24
chr1	136451	0.177	25
chr1	136731	0.2257	29
chr1	136843	0.1901	23
chr1	136989	0.242	35
chr1	138761	0.3475	29
chr1	139064	0.266	35
chr1	139549	0.2743	22
chr1	139682	0.3127	28
chr1	141334	1.0	32
chr1	141558	1.0	35
chr1	141751	1.0	28
chr1	142106	1.0	22
chr1	142335	1.0	29
chr1	142389	1.0	42
chr1	143951	0.6837	23
chr1	143969	0.6423	32
chr1	143985	0.5982	33
chr1	143994	0.5618	24
chr1	160635	1.0	33
chr1	160692	1.0	26
chr1	160877	1.0	25
chr1	161201	1.0	29
chr1	161282	1.0	30
chr1	161390	1.0	26
chr1	163124	0.3521	26
chr1	163364	0.3728	29
chr1	163469	0.3934	25
chr1	163864	0.5244	23
chr1	169714	0.5129	32
chr1	169877	0.529	32
chr1	170241	0.6041	27
chr1	170313	0.5916	33
chr1	170735	0.7398	40
chr1	177572	0.3148	34
chr1	177575	0.4747	23
chr1	177612	0.2669	27
chr1	180237	0.683	22
chr1	180614	0.461	29
chr1	180877	0.3163	33
chr1	181075	0.5901	27
chr1	182108	0.1448	24
chr1	182245	0.2793	32
chr1	182705	0.2454	24
chr1	183071	0.4566	32
chr1	189232	0.0	34
chr1	189507	1.0	32
chr1	189793	0.995	32
chr1	190136	1.0	31
chr1	190990	0.2425	27
chr1	191110	0.266	32
chr1	191606	0.3572	23
chr1	191784	0.4837	31
chr1	192626	0.2999	25
chr1	192821	0.6904	29
chr1	192913	0.7409	32
chr1	193353	0.542	22
chr1	194630	0.2011	28
chr1	195105	0.0841	42
chr1	195378	0.3	31
chr1	195439	0.3351	29
chr1	196498	0.2544	28
chr1	196545	0.1726	27
chr1	196588	0.1979	28
chr1	196611	0.2802	29
chr1	198042	0.5302	30
chr1	198333	0.4785	38
chr1	198739	0.507	37
chr1	199001	0.5892	23
chr1	200983	0.4346	31
chr1	201073	0.5781	33
chr1	201132	0.3116	30
chr1	201313	0.3627	29
chr1	203040	0.4985	26
chr1	203462	0.2368	29
chr1	203823	0.3806	24
chr1	203940	0.4386	30
