chr	pos	meth_level	coverage
chr1	100000	0.6039	36
chr1	100498	0.3237	26
chr1	100915	0.7042	30
chr1	101005	0.6764	26
chr1	109610	0.4321	27
chr1	109679	0.4619	26
chr1	109784	0.3427	26
chr1	110139	0.4441	30
chr1	111833	0.4143	22
chr1	111862	0.5019	27
chr1	111864	0.691	28
chr1	111899	0.5808	29
chr1	114313	0.3981	30
chr1	114740	0.2299	32
chr1	115133	0.096	37
chr1	115208	0.2185	29
chr1	121699	0.4531	27
chr1	121957	0.09	31
chr1	122201	0.5646	29
chr1	125700	0.6706	22
chr1	125703	0.634	29
chr1	125744	0.6358	31
chr1	125755	0.519	27
chr1	127337	0.1885	22
chr1	127352	0.303	27
chr1	127383	0.052	34
chr1	127429	0.24	30
chr1	129602	0.0961	32
chr1	130034	0.2861	28
chr1	130451	0.215	37
chr1	131228	0.5362	27
chr1	131653	0.5719	27
chr1	131970	0.4154	29
chr1	132158	0.3656	35
chr1	134051	0.2339	37
chr1	134348	0.4394	30
chr1	134636	0.3581	42
chr1	134909	0.2793	31
chr1	136165	0.4167	30
chr1	136259	0.2102	33
chr1	136451	0.2387	26
chr1	136731	0.2356	31
chr1	136843	0.2432	42
chr1	136989	0.3023	29
chr1	138761	0.336	25
chr1	139064	0.2473	30
chr1	139549	0.2934	24
chr1	139682	0.3776	36
chr1	141558	1.0	32
chr1	141751	1.0	28
chr1	142106	1.0	38
chr1	142389	1.0	35
chr1	143951	0.6915	34
chr1	143969	0.5673	39
chr1	143985	0.6781	30
chr1	143994	0.6003	29
chr1	160635	1.0	29
chr1	160692	1.0	19
chr1	160877	1.0	25
chr1	161201	1.0	31
chr1	161282	1.0	27
chr1	163124	0.3553	19
chr1	163364	0.3659	37
chr1	163469	0.3695	35
chr1	163864	0.5539	24
chr1	169714	0.4853	34
chr1	169877	0.5754	32
chr1	170313	0.5928	25
chr1	170735	0.7376	26
chr1	177572	0.2524	37
chr1	177575	0.5148	36
chr1	177606	0.4333	34
chr1	177612	0.2245	31
chr1	180237	0.6801	24
chr1	180614	0.4531	38
chr1	180877	0.2861	25
chr1	181075	0.5445	20
chr1	182108	0.1768	29
chr1	182245	0.3093	26
chr1	182705	0.2265	27
chr1	183071	0.4719	29
chr1	189232	1.0	37
chr1	189507	1.0	25
chr1	189793	1.0	25
chr1	189987	1.0	28
chr1	190136	1.0	29
chr1	190990	0.2949	27
chr1	191110	0.2826	32
chr1	191606	0.3585	26
chr1	191784	0.465	34
chr1	192626	0.3499	26
chr1	192821	0.6766	29
chr1	192913	0.6763	30
chr1	193353	0.5647	28
chr1	194630	0.2037	34
chr1	195105	0.1094	29
chr1	195378	0.2373	28
chr1	195439	0.3918	30
chr1	196498	0.3145	30
chr1	196545	0.1698	23
chr1	196588	0.1715	28
chr1	196611	0.2468	25
chr1	198042	0.6102	31
chr1	198333	0.528	19
chr1	198739	0.5334	24
chr1	199001	0.5271	38
chr1	200983	0.392	32
chr1	201073	0.5446	30
chr1	201132	0.2999	31
chr1	201313	0.3253	29
chr1	203040	0.4705	31
chr1	203462	0.2991	24
chr1	203823	0.3697	25
chr1	203940	0.4486	28
chr1	210683	0.5231	25
chr1	210860	0.6091	29
chr1	210968	0.4344	30
chr1	211031	0.7206	32
chr1	211554	0.7488	26
chr1	211635	0.4862	23
chr1	212381	0.4563	31
chr1	212682	0.3225	22
chr1	212834	0.3371	26
chr1	212946	0.3567	29
chr1	214060	0.5417	38
chr1	214475	0.8188	40
chr1	214846	0.6458	27
chr1	215070	0.616	18
chr1	216962	0.9562	17
chr1	216998	0.9197	30
chr1	217018	0.8396	24
chr1	217039	0.7904	33
chr1	217098	0.978	28
chr1	217145	0.8512	26
chr1	217191	0.7616	33
chr1	217233	0.747	28
chr1	217246	0.9096	25
chr1	217271	0.8156	37
chr1	217305	0.7597	19
chr1	217321	0.7256	28
chr1	217330	0.9807	35
chr1	217344	0.828	29
chr1	217354	0.9778	31
chr1	217371	0.7928	27
chr1	217404	0.9331	31
chr1	217407	0.9875	23
chr1	217432	0.8538	29
chr1	217469	0.7671	31
chr1	217507	0.6468	36
chr1	217532	0.9608	33
chr1	217563	0.971	27
chr1	217600	0.8337	30
chr1	217610	0.9137	29
chr1	217651	0.8646	27
chr1	217658	0.803	25
chr1	217664	0.8648	27
chr1	217712	0.8453	31
chr1	217759	0.8706	25
chr1	217839	0.8881	33
chr1	217874	0.9209	27
chr1	217902	0.8558	27
chr1	217930	0.7816	33
chr1	217968	0.8086	27
chr1	217974	0.89	26
chr1	217984	0.9359	35
chr1	218006	0.6962	32
chr1	218018	0.6477	21
chr1	218020	0.8927	36
chr1	218853	0.626	24
chr1	219080	0.6567	23
chr1	219395	0.699	36
chr1	219590	0.6131	31
chr1	219748	0.5099	22
chr1	222887	0.3382	31
chr1	223359	0.5694	31
chr1	223851	0.3691	42
chr1	223908	0.4053	34
chr1	223968	0.3857	37
chr1	224018	0.412	28
chr1	225749	0.2403	30
chr1	225777	0.3115	29
chr1	225818	0.1812	30
chr1	228221	0.1308	31
chr1	228599	0.1443	28
chr1	228803	0.1176	30
chr1	229100	0.0901	27
chr1	229181	0.094	30
chr1	230325	0.8001	28
chr1	230455	0.7467	25
chr1	230730	0.7484	32
chr1	230992	0.5955	26
chr1	231289	0.8337	28
chr1	231368	0.6131	40
chr1	233126	0.6141	18
chr1	233242	0.3317	32
chr1	233681	0.5706	32
chr1	233920	0.467	32
chr1	234002	0.5768	39
chr1	245156	0.1008	33
chr1	245398	0.049	32
chr1	245489	0.1355	36
