chr	pos	meth_level	coverage
chr1	100000	0.4293	27
chr1	100498	0.6362	40
chr1	100915	0.6212	31
chr1	101005	0.6151	27
chr1	109610	0.3529	34
chr1	109679	0.3052	29
chr1	109784	0.3032	25
chr1	110139	0.3626	25
chr1	111833	0.3665	29
chr1	111862	0.4324	34
chr1	111864	0.7529	26
chr1	111899	0.4958	27
chr1	114313	0.087	24
chr1	114740	0.2001	34
chr1	115133	0.0253	30
chr1	115208	0.2681	25
chr1	121699	0.456	25
chr1	121774	0.4328	18
chr1	121957	0.2878	26
chr1	122201	0.378	28
chr1	125700	0.5098	29
chr1	125703	0.5326	26
chr1	125744	0.5805	33
chr1	125755	0.6403	24
chr1	127337	0.2225	26
chr1	127352	0.3099	37
chr1	127383	0.2342	42
chr1	127429	0.3564	24
chr1	129602	0.2488	24
chr1	130034	0.1992	26
chr1	130451	0.3781	28
chr1	131228	0.3735	27
chr1	131653	0.6353	23
chr1	131970	0.4847	27
chr1	132158	0.5972	36
chr1	134051	0.3144	36
chr1	134348	0.3148	32
chr1	134636	0.1927	22
chr1	134909	0.1903	34
chr1	136165	0.1559	41
chr1	136259	0.3188	35
chr1	136451	0.252	22
chr1	136731	0.2862	39
chr1	136989	0.157	33
chr1	138761	0.3887	26
chr1	139549	0.3345	26
chr1	139682	0.4812	24
chr1	141334	0.9402	30
chr1	141558	0.6613	34
chr1	141751	0.5915	25
chr1	142106	0.6711	29
chr1	142335	0.7679	29
chr1	142389	0.6889	27
chr1	143951	0.7187	31
chr1	143969	0.7506	20
chr1	143985	0.7223	35
chr1	143994	0.4309	31
chr1	160635	0.8297	39
chr1	160692	0.7856	33
chr1	161201	0.7119	28
chr1	161282	0.6275	26
chr1	161390	0.5439	31
chr1	163124	0.2956	26
chr1	163364	0.6989	33
chr1	163469	0.3952	36
chr1	163864	0.5233	31
chr1	169714	0.4693	25
chr1	169877	0.7219	26
chr1	170241	0.4895	32
chr1	170313	0.5862	27
chr1	170735	0.5375	28
chr1	177572	0.383	27
chr1	177575	0.3338	40
chr1	177612	0.2278	30
chr1	180237	0.3888	34
chr1	180614	0.6336	25
chr1	180877	0.2889	21
chr1	181075	0.5265	27
chr1	182108	0.2514	29
chr1	182245	0.147	15
chr1	182705	0.2191	32
chr1	189232	0.0375	26
chr1	189507	0.9926	28
chr1	189793	0.9866	27
chr1	189987	0.8343	25
chr1	190136	0.9336	18
chr1	190990	0.4459	24
chr1	191110	0.3433	24
chr1	191606	0.4031	30
chr1	191784	0.0915	33
chr1	192626	0.5476	28
chr1	192821	0.7668	27
chr1	192913	0.7179	29
chr1	193353	0.4423	34
chr1	194630	0.3196	35
chr1	195105	0.0512	29
chr1	195378	0.2876	37
chr1	195439	0.2951	32
chr1	196498	0.2064	41
chr1	196545	0.0972	31
chr1	196588	0.2498	36
chr1	196611	0.1284	30
chr1	198042	0.4716	30
chr1	198333	0.5335	19
chr1	198739	0.5719	22
chr1	199001	0.598	30
chr1	200983	0.3661	21
chr1	201073	0.3798	25
chr1	201132	0.2011	19
chr1	201313	0.3435	27
chr1	203040	0.5153	25
chr1	203462	0.38	37
chr1	203823	0.3666	29
chr1	203940	0.3351	28
chr1	210683	0.4319	40
chr1	210860	0.3794	29
chr1	210968	0.2914	35
chr1	211031	0.2446	33
chr1	211457	0.3115	25
chr1	211554	0.1714	23
chr1	211635	0.4133	31
chr1	212381	0.5772	28
chr1	212682	0.2319	26
chr1	212834	0.3542	27
chr1	212946	0.4715	30
chr1	214060	0.7411	24
chr1	214475	0.8297	31
chr1	214752	0.5958	34
chr1	214846	0.7152	17
chr1	215070	0.5677	19
chr1	216962	0.7714	31
chr1	216998	0.7535	28
chr1	217018	0.5531	23
chr1	217039	0.7056	21
chr1	217051	0.6193	38
chr1	217098	0.6449	33
chr1	217145	0.6982	25
chr1	217191	0.5435	23
chr1	217233	0.5201	31
chr1	217246	0.4596	28
chr1	217271	0.6066	33
chr1	217305	0.4353	24
chr1	217321	0.5596	31
chr1	217330	0.5103	33
chr1	217344	0.6234	32
chr1	217354	0.6235	24
chr1	217371	0.7339	31
chr1	217404	0.5269	32
chr1	217407	0.4872	30
chr1	217432	0.3916	29
chr1	217469	0.5109	44
chr1	217507	0.6346	36
chr1	217532	0.3726	28
chr1	217563	0.3675	36
chr1	217600	0.6819	31
chr1	217610	0.5005	27
chr1	217651	0.567	36
chr1	217658	0.5768	30
chr1	217664	0.5395	35
chr1	217712	0.6954	28
chr1	217759	0.548	33
chr1	217839	0.7409	41
chr1	217874	0.3324	25
chr1	217930	0.6033	35
chr1	217974	0.6661	30
chr1	218006	0.6011	44
chr1	218018	0.408	31
chr1	218020	0.6415	29
chr1	218853	0.665	24
chr1	219080	0.7831	28
chr1	219395	0.5079	24
chr1	219590	0.6137	28
chr1	219748	0.5634	28
chr1	222887	0.7367	28
chr1	223359	0.7629	30
chr1	223851	0.6238	25
chr1	223908	0.568	26
chr1	223968	0.6639	26
chr1	224018	0.7236	32
chr1	225711	0.2734	31
chr1	225749	0.1594	36
chr1	225777	0.2933	33
chr1	225818	0.3923	27
chr1	228221	0.3519	22
chr1	228599	0.3236	30
chr1	228803	0.3665	26
chr1	229100	0.5771	29
chr1	229181	0.4093	29
chr1	230325	0.734	24
chr1	230455	0.7956	28
chr1	230730	0.8404	33
chr1	230992	0.56	28
chr1	231289	0.8567	33
chr1	231368	0.7866	27
chr1	233126	0.5979	22
chr1	233242	0.5399	31
chr1	233681	0.3397	28
chr1	233920	0.501	31
chr1	234002	0.5296	41
chr1	245156	0.5229	28
chr1	245398	0.1266	32
chr1	245489	0.3311	23
chr1	245888	0.24	24
chr1	246022	0.2632	33
chr1	248705	0.2354	24
chr1	248896	0.2912	27
chr1	249042	0.1854	31
chr1	249540	0.1975	35
chr1	251676	0.3193	19
chr1	251720	0.4033	38
chr1	251748	0.5102	32
chr1	251789	0.3552	29
chr1	254918	0.9247	22
chr1	255363	0.6832	25
chr1	255757	0.9382	27
chr1	255817	0.849	31
chr1	262383	0.6034	23
chr1	262462	0.6963	28
chr1	262799	0.7573	27
chr1	263060	0.5634	23
chr1	264968	0.7877	25
chr1	265451	0.7856	27
chr1	265690	0.8064	35
chr1	265751	0.77	29
chr1	265809	0.8492	32
chr1	271530	0.7571	43
chr1	271969	0.8732	24
chr1	272182	0.7879	25
chr1	272284	0.8146	27
chr1	272357	0.8592	32
