chr	pos	meth_level	coverage
chr1	100000	0.567	30
chr1	100498	0.6658	36
chr1	100915	0.6295	31
chr1	101005	0.6809	32
chr1	109610	0.3533	29
chr1	109679	0.3108	30
chr1	109784	0.3473	22
chr1	110139	0.3488	30
chr1	111833	0.3796	28
chr1	111862	0.4123	33
chr1	111864	0.7866	38
chr1	111899	0.5169	34
chr1	114313	0.1038	28
chr1	114740	0.254	28
chr1	115133	0.0195	21
chr1	115208	0.2335	28
chr1	121699	0.4666	33
chr1	121957	0.3681	29
chr1	122201	0.3728	29
chr1	125700	0.573	29
chr1	125703	0.5484	32
chr1	125744	0.6283	34
chr1	125755	0.6719	29
chr1	127337	0.2128	30
chr1	127352	0.2808	34
chr1	127429	0.3128	27
chr1	129602	0.2528	41
chr1	130034	0.1885	32
chr1	130451	0.3535	32
chr1	131228	0.322	27
chr1	131653	0.5999	28
chr1	131970	0.4587	25
chr1	132158	0.5542	16
chr1	134051	0.2934	22
chr1	134348	0.3125	25
chr1	134636	0.2539	28
chr1	134909	0.2353	29
chr1	136165	0.1711	33
chr1	136259	0.302	26
chr1	136451	0.2476	36
chr1	136731	0.2649	23
chr1	136843	0.238	18
chr1	136989	0.186	26
chr1	138761	0.423	25
chr1	139064	0.2369	25
chr1	139549	0.333	30
chr1	139682	0.4831	35
chr1	141334	0.8845	32
chr1	141558	0.7004	26
chr1	141751	0.6004	38
chr1	142106	0.6974	37
chr1	142335	0.701	37
chr1	142389	0.7721	34
chr1	143951	0.7469	28
chr1	143969	0.6799	31
chr1	143985	0.7143	28
chr1	143994	0.4381	36
chr1	160635	0.8511	38
chr1	160692	0.8366	34
chr1	160877	0.6854	30
chr1	161201	0.6961	34
chr1	161282	0.736	24
chr1	161390	0.4501	31
chr1	163124	0.3765	37
chr1	163364	0.6702	27
chr1	163469	0.3954	33
chr1	163864	0.5211	34
chr1	169714	0.4747	23
chr1	169877	0.7228	36
chr1	170241	0.5626	20
chr1	170313	0.6445	39
chr1	170735	0.5221	39
chr1	177572	0.4329	30
chr1	177575	0.2925	26
chr1	177606	0.609	30
chr1	177612	0.2268	34
chr1	180237	0.4265	28
chr1	180614	0.639	26
chr1	180877	0.311	32
chr1	181075	0.4871	30
chr1	182108	0.2693	35
chr1	182245	0.1222	37
chr1	182705	0.1894	29
chr1	183071	0.4674	28
chr1	189232	0.0777	27
chr1	189507	0.9564	33
chr1	189793	0.9975	35
chr1	190136	0.9972	34
chr1	190990	0.388	32
chr1	191110	0.2991	23
chr1	191606	0.3868	27
chr1	191784	0.1489	29
chr1	192626	0.5476	34
chr1	192913	0.6758	26
chr1	193353	0.4917	23
chr1	194630	0.3515	32
chr1	195105	0.1049	33
chr1	195378	0.2685	34
chr1	195439	0.3553	32
chr1	196498	0.146	30
chr1	196545	0.127	24
chr1	196588	0.2904	34
chr1	196611	0.1321	32
chr1	198042	0.5006	36
chr1	198739	0.5612	33
chr1	199001	0.5041	33
chr1	200983	0.3677	30
chr1	201073	0.3511	25
chr1	201132	0.2268	24
chr1	201313	0.3698	31
chr1	203040	0.5353	28
chr1	203462	0.2989	32
chr1	203823	0.3941	28
chr1	203940	0.4635	34
