chr	pos	meth_level	coverage
chr1	100000	0.6635	31
chr1	100498	0.3476	33
chr1	100915	0.7302	37
chr1	101005	0.6655	33
chr1	109610	0.467	33
chr1	109679	0.4147	30
chr1	109784	0.3605	26
chr1	110139	0.3829	23
chr1	111833	0.3321	24
chr1	111862	0.4559	21
chr1	111864	0.7001	26
chr1	111899	0.5114	41
chr1	114313	0.3825	35
chr1	114740	0.3092	25
chr1	115133	0.1156	36
chr1	115208	0.1222	38
chr1	121699	0.4339	24
chr1	121774	0.299	39
chr1	121957	0.174	36
chr1	122201	0.5604	18
chr1	125700	0.6031	26
chr1	125744	0.584	32
chr1	125755	0.5303	32
chr1	127337	0.1563	28
chr1	127352	0.3292	28
chr1	127383	0.122	24
chr1	127429	0.2459	30
chr1	129602	0.1084	30
chr1	130034	0.2854	26
chr1	130451	0.2784	32
chr1	131228	0.5499	21
chr1	131653	0.5485	39
chr1	131970	0.4385	29
chr1	132158	0.3611	35
chr1	134051	0.2166	27
chr1	134348	0.3795	35
chr1	134636	0.3555	29
chr1	134909	0.3562	33
chr1	136165	0.4034	31
chr1	136259	0.1727	31
chr1	136451	0.2603	27
chr1	136731	0.2044	23
chr1	136843	0.2023	30
chr1	136989	0.2411	23
chr1	138761	0.3202	22
chr1	139549	0.2421	34
chr1	139682	0.3871	37
chr1	141334	1.0	29
chr1	141558	1.0	28
chr1	141751	1.0	27
chr1	142106	1.0	30
chr1	142335	1.0	33
chr1	142389	1.0	25
chr1	143951	0.7205	29
chr1	143969	0.5748	33
chr1	143985	0.6605	34
chr1	143994	0.5812	26
chr1	160635	1.0	32
chr1	160692	1.0	36
chr1	160877	1.0	30
chr1	161201	1.0	24
chr1	161282	1.0	20
chr1	161390	1.0	33
chr1	163124	0.3976	30
chr1	163364	0.3359	33
chr1	163469	0.4196	23
chr1	163864	0.5956	22
chr1	169714	0.5497	23
chr1	169877	0.5933	33
chr1	170241	0.6236	23
chr1	170313	0.5787	35
chr1	170735	0.7245	33
chr1	177572	0.3331	28
chr1	177575	0.4887	31
chr1	177612	0.2191	39
chr1	180237	0.6018	23
chr1	180614	0.4287	36
chr1	180877	0.3954	28
chr1	181075	0.5686	28
chr1	182108	0.1949	31
chr1	182245	0.3039	27
chr1	182705	0.2382	31
chr1	183071	0.3636	31
chr1	189232	1.0	28
chr1	189507	0.0	33
chr1	189793	0.0	29
chr1	189987	1.0	31
chr1	190136	1.0	30
chr1	190990	0.2207	29
chr1	191110	0.2613	26
chr1	191606	0.3112	31
chr1	191784	0.4651	29
chr1	192626	0.3784	28
chr1	192821	0.6481	24
chr1	192913	0.676	27
chr1	193353	0.54	28
chr1	194630	0.199	28
chr1	195105	0.054	30
chr1	195378	0.2117	26
chr1	195439	0.3059	32
chr1	196498	0.2964	21
chr1	196545	0.1821	38
chr1	196588	0.2194	29
chr1	196611	0.2462	32
chr1	198042	0.5732	31
chr1	198333	0.5051	34
chr1	198739	0.5234	34
chr1	199001	0.5618	33
chr1	200983	0.3929	22
chr1	201073	0.5059	35
chr1	201132	0.2791	25
chr1	201313	0.3612	35
chr1	203040	0.5357	22
chr1	203462	0.3316	27
chr1	203823	0.3676	40
chr1	203940	0.4723	36
chr1	210683	0.4586	29
chr1	210860	0.5827	29
chr1	210968	0.4448	35
chr1	211031	0.6498	33
chr1	211457	0.597	27
chr1	211554	0.6779	30
chr1	211635	0.5197	32
chr1	212381	0.4165	29
chr1	212682	0.3692	31
chr1	212834	0.3153	32
chr1	212946	0.267	30
chr1	214060	0.6371	34
chr1	214475	0.8153	29
chr1	214846	0.6231	31
chr1	215070	0.6028	29
chr1	216962	0.9348	30
chr1	216998	0.9337	23
chr1	217018	0.8578	25
chr1	217039	0.7903	30
chr1	217051	0.997	27
chr1	217098	0.9553	34
chr1	217145	0.8268	26
chr1	217191	0.8318	24
chr1	217246	0.9142	37
chr1	217271	0.7981	33
chr1	217321	0.6881	19
chr1	217330	0.9915	29
chr1	217344	0.8126	21
chr1	217354	0.949	27
chr1	217371	0.7896	28
chr1	217404	0.9199	31
chr1	217407	0.9413	29
chr1	217432	0.8251	26
chr1	217469	0.8702	22
chr1	217507	0.6997	38
chr1	217532	0.8755	30
chr1	217563	0.9151	21
chr1	217600	0.9093	29
chr1	217610	0.8759	28
chr1	217651	0.8161	32
chr1	217658	0.8373	32
chr1	217664	0.8725	22
chr1	217685	0.7898	33
chr1	217712	0.8507	31
chr1	217759	0.8917	25
chr1	217839	0.9049	37
chr1	217874	0.8898	19
chr1	217902	0.8945	24
chr1	217930	0.8161	20
chr1	217974	0.8915	29
chr1	217984	0.8946	30
chr1	218006	0.6941	31
chr1	218018	0.7387	33
chr1	218020	0.8642	34
chr1	219080	0.6359	24
chr1	219395	0.7239	34
chr1	219590	0.5694	32
chr1	219748	0.5694	33
chr1	222887	0.3151	29
chr1	223359	0.6316	25
chr1	223851	0.3092	38
chr1	223908	0.3472	28
chr1	223968	0.376	24
chr1	224018	0.4217	24
chr1	225711	0.2978	17
chr1	225749	0.1712	27
chr1	225777	0.3429	27
chr1	225818	0.2715	30
chr1	228221	0.132	31
chr1	228599	0.2068	29
chr1	228803	0.1222	23
chr1	229100	0.0825	22
chr1	229181	0.1	22
chr1	230325	0.7069	14
chr1	230455	0.7799	25
chr1	230992	0.6106	26
chr1	231289	0.8082	30
chr1	231368	0.5733	21
chr1	233126	0.5437	27
chr1	233242	0.3378	32
chr1	233681	0.516	35
chr1	233920	0.4366	26
chr1	234002	0.6159	28
chr1	245156	0.041	29
chr1	245398	0.0806	35
chr1	245489	0.0607	28
chr1	245888	0.0974	24
chr1	246022	0.1024	32
chr1	248705	0.4122	31
chr1	248896	0.2829	30
chr1	249042	0.3405	29
chr1	249540	0.2454	27
chr1	251676	0.398	25
chr1	251720	0.2573	37
chr1	251748	0.4147	33
chr1	251789	0.3894	29
chr1	254918	0.8489	31
chr1	255363	0.8729	32
chr1	255757	0.7274	24
chr1	255817	0.8481	34
chr1	262383	0.879	23
chr1	262462	0.6888	35
chr1	262799	0.8317	30
chr1	263060	0.6747	35
chr1	264968	0.9977	37
chr1	265451	1.0	38
chr1	265690	1.0	35
chr1	265751	1.0	29
chr1	265809	1.0	31
chr1	271530	0.5918	37
chr1	271969	0.5851	23
chr1	272182	0.5256	45
chr1	272284	0.6603	25
chr1	272357	0.501	30
